[0.57s -> 2.84s]  How are you doing?
[2.84s -> 8.02s]  How are we? Hold on, wait, wait, wait, wait, wait, wait, wait, wait, now we're good.
[8.02s -> 13.27s]  What's going on? Happy New Year, everybody.
[13.99s -> 21.22s]  Officially, right? Last time I saw you, it was still December 31st, Pacific time.
[24.81s -> 30.39s]  Catboy. Yeah, I know, I know. Look. Look.
[31.46s -> 33.94s]  I didn't tell you when I had that- I didn't say,
[33.94s -> 37.38s]  hey guys, the next stream is gonna be me in a catboy outfit.
[38.65s -> 41.61s]  I just said, at some point, over the years,
[43.10s -> 46.62s]  over the years, I was gonna get into a catboy costume.
[47.42s -> 50.04s]  No, it has to happen this year. Don't worry.
[54.54s -> 56.86s]  It's gonna happen in the next- Okay, I'll give you a-
[58.46s -> 61.42s]  Look, it's gonna happen in the next, like, three to six months, okay?
[63.61s -> 66.49s]  I didn't say I'm gonna wear a catboy costume next weekend.
[69.35s -> 70.71s]  You won't even know when it's gonna happen.
[72.44s -> 75.96s]  It's just going to one day. And I don't want you to know the date.
[81.03s -> 87.53s]  Scammed? Dude, chat is in shambles right now.
[92.06s -> 94.06s]  But yeah, hopefully you had a good New Year's Eve.
[94.62s -> 98.55s]  I bought you for Eastern time, but took off around 10 or 11 PM Pacific.
[99.27s -> 109.26s]  And today, we're gonna do something that I haven't really done on this channel before.
[109.98s -> 114.28s]  I mean, I've kind of done a version of it, but I saw this little device,
[115.08s -> 118.20s]  and I had to have it, and I have to play it.
[120.07s -> 126.36s]  This is a knockoff Nintendo. It's shaped like the Nintendo.
[127.00s -> 129.32s]  It looks like the Nintendo. I just had to own it.
[131.11s -> 134.95s]  There are 620 fake Nintendo games on this console.
[135.75s -> 143.62s]  I don't know how many of them are real. I just saw this and I had to get it.
[143.62s -> 147.06s]  I've seen Vinny do this shit before. I've seen Joel do this shit before.
[147.06s -> 148.74s]  And these are usually a fucking mess.
[149.86s -> 152.66s]  They are the kings of these devices, I would say.
[152.66s -> 154.66s]  I'm just a measly peasant in their presence.
[156.44s -> 159.24s]  So I have no idea what this one is. I just saw it and I had to buy it.
[166.02s -> 169.30s]  Yeah, I've done the 700,000 games before, but never a-
[169.30s -> 171.06s]  Never like one you just plug into your TV.
[174.71s -> 176.55s]  Eat a Whopper? Tomorrow's the Whopper stream.
[177.19s -> 178.31s]  I gotta tweet this stream out. Hold on.
[178.87s -> 182.70s]  Yeah, this is called the Family Computer System.
[185.96s -> 187.32s]  Yeah, tomorrow is Whopper's stream.
[193.82s -> 196.38s]  A few weeks ago, I played that game, Black Masses,
[196.38s -> 200.38s]  and that joke is gonna happen tomorrow.
[200.38s -> 203.18s]  So a bunch of people probably have no idea what's gonna happen with that
[203.74s -> 204.86s]  routine, in quotes.
[205.58s -> 208.81s]  But for those of you that were there, cool.
[209.37s -> 210.89s]  I think I'm gonna have fun. I don't even care.
[212.60s -> 213.16s]  Oh, my God.
[215.26s -> 216.46s]  I can't fucking wait.
[216.46s -> 218.54s]  That's gonna be like my favorite stream of the year.
[219.26s -> 225.91s]  Part of me only wants that stream to be an hour long.
[226.81s -> 227.77s]  It's just the whole thing.
[228.41s -> 230.70s]  But we'll see. I don't know.
[230.70s -> 232.22s]  Let's see how much that makes me laugh.
[233.02s -> 236.34s]  Catboy stream.
[236.34s -> 237.86s]  You'll get the Catboy stream.
[238.42s -> 241.94s]  Okay, guys, okay, let me just break this down for you.
[242.98s -> 247.11s]  So yesterday, two days ago was New Year's Day.
[248.47s -> 251.43s]  But you expected me to go get an entire Catboy costume
[251.43s -> 255.59s]  and have Catboy makeup put on me in 24 hours?
[259.53s -> 261.69s]  No, I'm doing this legit.
[261.69s -> 264.41s]  I'm not just gonna go get a pair of ears at the dollar store, okay?
[265.21s -> 268.70s]  Just hold on, give me some time.
[275.22s -> 276.10s]  He's dedicated.
[277.66s -> 283.11s]  Yeah, well, it's gonna be my version of that image.
[283.83s -> 285.03s]  All right, let's go.
[285.03s -> 285.83s]  Let's play.
[285.83s -> 286.55s]  It's time to play.
[289.59s -> 291.67s]  So this is gonna be an interesting thing we do here.
[291.67s -> 294.23s]  I'm just gonna play this the way that I'm gonna play it on the screen right now,
[294.23s -> 296.07s]  or two random number generators.
[298.06s -> 300.46s]  Remember, there are 620 on this console.
[302.81s -> 306.01s]  And how this is gonna work is I'm going to roll this.
[306.01s -> 307.53s]  This is just whatever this lands on.
[307.53s -> 308.73s]  This is what I'm gonna play.
[308.73s -> 310.36s]  And whatever one this is on,
[310.36s -> 313.34s]  this is the amount of time I have to play it in minutes, okay?
[314.33s -> 315.61s]  People say, show the console, sure.
[317.22s -> 319.62s]  I'll show the family computer system.
[319.62s -> 327.14s]  So here it is.
[327.14s -> 329.38s]  Is it right here?
[330.31s -> 330.87s]  Can you see it?
[332.39s -> 334.07s]  Not the Nintendo Entertainment System,
[334.07s -> 339.37s]  the family computer system.
[339.37s -> 343.27s]  So, you know, well, hopefully this is fun.
[347.16s -> 350.92s]  I have to delay my audio by almost two and a half full seconds, by the way,
[350.92s -> 354.15s]  to be able to stream this and capture it.
[354.79s -> 357.43s]  So we might be completely out of sync right now.
[357.43s -> 358.71s]  I have no idea.
[358.71s -> 360.15s]  I tried desperately.
[360.15s -> 360.87s]  Let's test it.
[360.87s -> 362.79s]  One, two, three, four, five.
[362.79s -> 363.69s]  How's that?
[363.69s -> 364.89s]  Do I have to adjust it?
[364.89s -> 368.49s]  One, two, three, four.
[368.49s -> 375.70s]  One, two, three, four, one.
[375.70s -> 376.18s]  Good?
[376.18s -> 377.06s]  All right, let's go.
[377.06s -> 378.34s]  All right, good, good, good, good.
[378.34s -> 379.62s]  All right, so what do we got first?
[379.62s -> 387.56s]  The first one we're going to play, we're going to go to 162.
[387.56s -> 391.93s]  And I have to play 162 for two minutes.
[391.93s -> 392.49s]  Okay, good.
[392.49s -> 392.97s]  That's good.
[392.97s -> 396.49s]  All right, let's go to 162.
[396.49s -> 400.81s]  By the way, Mortal Kombat 4 with a C.
[400.81s -> 403.38s]  That's, I mean, there's a lot here.
[403.38s -> 403.86s]  Oh, what is it?
[403.86s -> 404.66s]  162?
[408.42s -> 409.46s]  162.
[413.18s -> 414.54s]  This one's called Duck.
[415.40s -> 416.44s]  This might be just Duck Hunt.
[416.44s -> 417.48s]  Oh, I'll show the controller too.
[417.48s -> 419.46s]  The controller's funny.
[419.46s -> 422.12s]  Look at this fucking thing.
[422.12s -> 425.96s]  So it looks kind of normal until they decided to add, like, mirror buttons.
[425.96s -> 428.25s]  They'll look here.
[432.86s -> 433.90s]  Oh, what the fuck?
[433.90s -> 438.07s]  There's just four buttons.
[438.07s -> 441.51s]  And it's A, B, T, A, and T, B.
[441.51s -> 444.55s]  And I tried to read the instruction manual to find out what the fuck that meant.
[444.55s -> 451.27s]  I have no idea what that means.
[451.27s -> 457.29s]  It gives, like, an incredibly unclear explanation of what that actually is.
[457.29s -> 457.69s]  Turbo?
[457.69s -> 458.81s]  Yeah, but it doesn't do anything.
[458.81s -> 461.22s]  All right, let's go to Duck.
[461.22s -> 463.98s]  It's time for Duck, and I got to play this for two minutes.
[463.98s -> 466.54s]  By the way, when I get to a point where I want to see
[466.54s -> 468.62s]  times up spammed in chat, please.
[468.62s -> 470.54s]  When I get the time, I probably shouldn't have told you to do that.
[470.54s -> 471.26s]  Whatever, Duck.
[471.26s -> 475.16s]  I already love it.
[475.16s -> 480.04s]  It's like Dig Dug?
[480.04s -> 482.70s]  Oh, shit, I got to get these off screen.
[485.38s -> 486.10s]  Stage one.
[487.00s -> 487.64s]  Duck.
