[0.31s -> 13.76s]  Hey, what is going on, everybody? Jerma here with a gameplay commentary.
[13.76s -> 17.76s]  I'm not gonna be honest, I have absolutely no idea what's gonna be in the background.
[17.76s -> 22.94s]  And I have to apologize because my voice probably sounds like shit.
[22.94s -> 26.94s]  And there's a reason for that, I actually just got back from PAX.
[26.94s -> 31.43s]  I slept an entire day. I haven't done that.
[31.43s -> 41.15s]  Let me tell you, I have not slept an entire day, like a full 16-hour period since I got diagnosed with Crohn's disease.
[41.15s -> 45.15s]  This has not happened in a long time. I was really tired.
[45.15s -> 52.15s]  For good measure, I had a fantastic time at PAX at a blast all four days in Seattle.
[52.15s -> 54.15s]  And I want to tell you guys my thoughts on some things.
[54.15s -> 60.58s]  First of all, this is gonna be pretty casual. My last video was a casual commentary as well.
[60.58s -> 64.58s]  But as you can imagine, I've been away for almost a full work week.
[64.58s -> 70.58s]  I've been almost gone for five days. So I haven't had a whole lot of time to make any content or do any real videos.
[70.58s -> 72.58s]  I had some things go up over the weekend.
[72.58s -> 77.76s]  And I do apologize for that because I like to get like three, four, five videos uploaded every week.
[77.76s -> 80.76s]  And I'm gonna get back into it today. I actually have a lot of things planned.
[80.76s -> 87.76s]  So stay tuned. And before I forget about it, while I was at PAX, I passed 150,000 subscribers.
[87.76s -> 95.19s]  So huge thank you, everybody. It seems like just yesterday I was at 100,000 subscribers.
[95.19s -> 100.19s]  And I just woke up one day, looked at the thing, and I was like, wow, we're at 150,000 subscribers right now.
[100.19s -> 105.43s]  That's unbelievable. And it's happening faster. My channel's growing.
[105.43s -> 111.61s]  It's crazy, guys. It really is. I can't thank you all enough for everything you do for this channel.
[111.61s -> 117.61s]  Every day when I wake up and I look at how many views or how many likes or how much my channel's grown,
[117.61s -> 123.30s]  it's one of the most humbling experiences of my entire life is doing this YouTube thing.
[123.30s -> 126.60s]  It's one of the reasons why I like meeting you guys so much.
[126.60s -> 130.60s]  Like the guys at PAX Prime, there was a couple dozen of you guys that ended up flagging me down.
[130.60s -> 136.60s]  We did a couple little meetups. It's awesome to see you guys face to face and what you guys look like,
[136.60s -> 141.60s]  how you guys act, what you guys think about games and where you're from and how you got there, how you're going home.
[142.60s -> 150.60s]  I love that shit so much. So if you ever see me at an event or on the street, just come say hello.
[150.60s -> 154.60s]  I will talk to you for as long as I can. And that means a lot to me.
[154.60s -> 158.60s]  So we're going to move on from that, though, guys. Thank you all so much again for 150k.
[158.60s -> 163.60s]  And we're going to talk about PAX. We're going to talk about the things at PAX that I really liked
[163.60s -> 169.60s]  and the things at PAX that I really didn't like. And we'll start with the good news and the bad news.
[169.60s -> 174.21s]  We'll start with the bad news first. Mugenics was not playable.
[174.21s -> 180.21s]  Mugenics had a very, very stuffed in the corner, like pretend we're not here booth at PAX Prime.
[180.21s -> 185.21s]  And that was one of the most saddening things of the entire weekend for me because a lot of you guys know
[185.21s -> 189.21s]  I was so excited for Mugenics. I was so happy to see that they were going to bring it out there.
[189.21s -> 193.21s]  Maybe they were going to show some stuff. It was going to be like playable or it was going to be cool.
[193.21s -> 200.58s]  No. The only thing they really had there was T-shirts and Super Meat Boy on two or three computers
[200.58s -> 205.58s]  in the back of their booth. That was really it. They showed a little teaser trailer, like a little cinematic
[205.58s -> 210.58s]  for Mugenics, and they had a big cutout post thing where you could put your face in a cat's ass.
[210.58s -> 215.58s]  And that's funny and all, but I wanted to really play it. I wanted to talk to them about the development of the game.
[215.58s -> 219.58s]  I wanted to really put myself in their shoes, and I really wanted to play the game, but I couldn't play it
[219.58s -> 222.39s]  because I wasn't playable. You get the idea.
[222.39s -> 230.27s]  For the good, I will say my top few things at PAX are definitely in the top three, at least WildStar.
[230.27s -> 237.27s]  WildStar looks like it's going to be fantastic. I didn't get a chance to play it because the problem with MMOs
