[22.33s -> 23.53s]  Hey, what's up?
[23.53s -> 25.70s]  Still late?
[25.70s -> 29.62s]  Oh, I am very late. I'm sorry, but you know, hold on. I'm like gonna fuck up
[30.18s -> 44.68s]  Uh, I had I had to use the bathroom
[45.40s -> 53.54s]  I had to uh, whatever. I'll do it. Who cares?
[54.18s -> 57.06s]  I really need to tell you what I was doing
[59.26s -> 61.26s]  Let me just let me just tell you it was gross
[62.06s -> 64.62s]  Anyways, how you doing? Welcome to a stream
[65.99s -> 67.99s]  How are you? Good to see you again
[74.81s -> 77.37s]  Dude what the fuck tmi what stop
[79.66s -> 84.18s]  Oversharing
[84.18s -> 85.30s]  um
[85.30s -> 87.06s]  For all, you know
[87.06s -> 91.03s]  I don't know. I could have been brushing my teeth
[91.93s -> 93.93s]  And I like oh my breath was bad
[94.33s -> 97.27s]  What where's your why is your mind?
[98.31s -> 99.53s]  so
[99.53s -> 102.02s]  Where are you going? Stop?
[108.76s -> 110.44s]  Anyways, how you doing?
[110.44s -> 112.44s]  Welcome to another stream
[112.44s -> 120.81s]  I had a lot to go over today
[120.81s -> 122.65s]  first of first of all
[122.65s -> 124.65s]  Let's talk about this
[124.73s -> 127.43s]  Uh
[127.43s -> 131.35s]  Playing hylix tonight. You probably saw by the incredible title
[131.91s -> 134.09s]  Which I have not updated
[134.17s -> 137.59s]  Uh one of the mods will fix it probably like an hour
[141.74s -> 142.78s]  Oh, yeah
[142.78s -> 144.31s]  I
[144.31s -> 146.63s]  It is the way it is the way that it's gonna be for now
[148.14s -> 150.14s]  Yeah, i've heard this game is very weird
[150.30s -> 153.42s]  I've been told it's gonna be right up my alley. It's not that long, but we'll see
[154.14s -> 155.74s]  I've heard that before
[155.74s -> 159.61s]  I've heard it's very good
[159.61s -> 162.81s]  There's also a sequel. So if I like this
[163.69s -> 164.73s]  then
[164.73s -> 167.34s]  I have probably played the sequel at some point
[170.01s -> 173.13s]  We have grotto beast stuff to go over a little bit later as well
[175.10s -> 176.20s]  kind of a
[176.20s -> 178.20s]  secondary clarification
