[3.45s -> 13.29s]  Hey, what's happening guys? It's Jerma again. I got a one life gameplay for you.
[13.29s -> 20.31s]  This is the series I'm continuing from before where I show you one life from one class and with a particular loadout that I choose.
[20.37s -> 25.85s]  This is a soldier gameplay with one life. I kill 22 people in one life.
[25.85s -> 32.41s]  It's an absolute massacre of a gameplay and you'll see right off the back at Kritzkrieg and I just destroyed two or three people.
[32.41s -> 35.61s]  I know that you can't kill sentries with the Kritzkrieg.
[35.61s -> 38.97s]  I know there's no bonus to the Kritzkrieg if you are killing a sentry.
[38.97s -> 43.89s]  I know that so don't worry. This pyro goes down and I'll tell you the loadout for the match.
[43.89s -> 49.33s]  The loadout is the Liberty Launcher, the whip, and the buff banner. As you can see here
[49.33s -> 53.42s]  I have the buff banner ready to go, but we are just really really crushing them right now.
[53.42s -> 56.38s]  So I don't really see a need for it, but right here there's a lot of people coming up.
[56.38s -> 60.58s]  So I switch it out, blow the horn, and here we go. Time for some complete domination.
[61.10s -> 64.14s]  I love the sound it makes when other people get Kritz. It's awesome.
[64.22s -> 69.26s]  So all these people, my screen starts lagging because I just couldn't handle it. Kill one person here, get this demo man.
[69.58s -> 74.90s]  Sorry, I think I get the pyro. I get the pyro. Sorry. Now we're spawn camping now and this is bad news.
[74.90s -> 78.62s]  Get that engineer with a nice shot. This is bad news. In the middle here
[78.62s -> 81.02s]  I kind of tell people I say, you know what, let them come out of the spawn,
[81.02s -> 86.50s]  but we have our fun for a good five or six minutes. So Smart Soldier comes out with the battalion's backup.
[86.50s -> 89.66s]  He blows it. They make a great push, but it's just not enough.
[89.66s -> 94.50s]  I actually have like two pocket medics in this particular gameplay. Not right now,
[94.50s -> 96.70s]  but this guy right here, he's a good, this guy, Swift,
[96.70s -> 102.23s]  he's my pocket medic for a while here. Kill a couple more people and then he pops the uber and
[102.51s -> 104.67s]  there's nothing I can really do here. I kill this heavy.
[104.67s -> 110.47s]  There's no one really around. Get the heavy with one shot. He tries to run away and I get him. This pyro,
[110.47s -> 112.95s]  I believe he gets killed by the heavy right next to me, and then I get Kritzkrieg'd.
