[20.41s -> 22.41s]  We're in Sunnydale, California.
[22.41s -> 24.41s]  Welcome, ladies and gentlemen, to the first ever
[24.41s -> 26.41s]  Germa Rumble Live Action.
[26.41s -> 28.41s]  You know how it works.
[28.41s -> 30.41s]  20 contestants enter the ring.
[30.41s -> 32.41s]  Every 60 seconds, another competitor is going to come in.
[32.41s -> 34.41s]  And if you get thrown out of the ring,
[34.41s -> 36.41s]  you're out.
[36.41s -> 38.41s]  Last man standing wins, getting all the glory.
[38.41s -> 40.41s]  My name is Germa985.
[40.41s -> 42.41s]  I will be the host of the festivities tonight.
[42.41s -> 44.41s]  Thank you for joining us.
[44.41s -> 46.41s]  The whole event, by the way, is sponsored by Fruit.
[46.41s -> 48.41s]  Eat it up.
[48.41s -> 50.41s]  So let's begin the rumble.
[50.41s -> 52.41s]  Thank you again to our sponsor, Fruit,
[52.41s -> 54.41s]  for making this all possible, and for giving us that wonderful
[54.41s -> 56.41s]  Fruit table for our contestants to snack on.
[56.41s -> 58.41s]  And speaking of contestants, here comes the
[58.41s -> 60.41s]  first contestant.
[60.41s -> 62.71s]  The Disco Diaper.
[62.71s -> 64.71s]  Making his first ever appearance in a Germa
[64.71s -> 66.71s]  Wrestling event, as he does his patented
[66.71s -> 68.71s]  Definitely Not Disco.
[68.71s -> 70.71s]  Point to the left and point to the right dance.
[70.71s -> 72.71s]  And wow, listen to that crowd.
[72.71s -> 74.71s]  They are really behind him right now, and can you really
[74.71s -> 76.71s]  blame them? This guy bleeds charisma.
[76.71s -> 78.71s]  Former tap dance artist, former dance
[78.71s -> 80.71s]  instructor, so he's got it all.
[80.71s -> 82.71s]  He's got everything you could possibly want in a
[82.71s -> 84.71s]  competitor.
[84.71s -> 86.71s]  As he finishes up his entrance, we have the
[86.71s -> 88.71s]  second competitor coming in, number two.
[88.71s -> 90.71s]  This is Jay Buffay.
[90.71s -> 92.71s]  AKA The Wine Guy.
[92.71s -> 94.71s]  Germa's Grand Theft Auto character.
[94.71s -> 96.71s]  And look, just smashing a glass.
[96.71s -> 98.71s]  This is somebody I don't want to be in the ring with.
[98.71s -> 100.71s]  He is dangerous, he's unpredictable,
[100.71s -> 102.71s]  and he is incredibly strong.
[102.71s -> 104.71s]  And with that, we're going to get started here.
[104.71s -> 106.71s]  Get ready to ring that bell.
[106.71s -> 108.71s]  Ladies and gentlemen, welcome to the first
[108.71s -> 111.53s]  Hey! He didn't even ring the bell.
[111.53s -> 114.22s]  That was disgusting.
[114.22s -> 116.22s]  That was absolutely deplorable behavior.
[116.22s -> 118.22s]  Inexcusable. What's he have to say for himself?
[118.22s -> 120.22s]  He's a shit character.
[120.22s -> 122.22s]  He's calling him a shit character.
[122.22s -> 124.22s]  And you know, I will have to agree with Jay Buffay here.
[124.22s -> 126.22s]  He is a shit character.
[126.22s -> 128.22s]  But that is no excuse for that type of behavior.
[128.22s -> 130.22s]  We haven't even started the rumble.
[130.22s -> 132.22s]  And it pains me that our first
[132.22s -> 134.22s]  fruit, eaten up on the replay, is gonna
[134.22s -> 136.22s]  have to be of this situation.
[136.22s -> 138.22s]  Let's break it down here.
[138.22s -> 140.22s]  Jay Buffay gets into the ring and sneakily comes
[140.22s -> 142.22s]  behind the Disco Diaper, who is just trying
[142.22s -> 144.22s]  to have some fun with the crowd and clocks him
[144.22s -> 146.22s]  right in the back of the skull, hitting him so hard
[146.22s -> 148.22s]  that he punched all the blood out of the
[148.22s -> 150.22s]  front of his face, something that I didn't think
[150.22s -> 152.22s]  was even possible until tonight.
[152.22s -> 154.22s]  As Jay Buffay is
[154.22s -> 156.22s]  just taunting and gloating, causing
[156.22s -> 158.22s]  and he just kicked the Disco Diaper while he was down.
[158.22s -> 160.22s]  What a disgusting, pathetic person.
[160.22s -> 162.22s]  And he's doing a butt sumo drop on him now.
[162.22s -> 164.22s]  As the next contestant is coming.
[164.22s -> 166.22s]  What is this music? This music is terrible.
[166.22s -> 168.22s]  Did I pick this music?
[168.22s -> 170.22s]  Backstage
[170.22s -> 172.22s]  might potentially be on fire.
[172.22s -> 174.22s]  I just want to make that very clear. Jerma seems to be pretty
[174.22s -> 176.22s]  upset about something. And he's here
[176.22s -> 178.22s]  the three time Jerma Wrestling Federation
[178.22s -> 180.22s]  Champion is coming in at number three.
[180.22s -> 182.22s]  We are so excited to have him here. He is a
[182.22s -> 184.22s]  top seed. Staring down
[184.22s -> 186.22s]  Jay Buffay. This is an interesting
[186.22s -> 188.22s]  composition. You have master and
[188.22s -> 190.22s]  creator. And I think we're finally
[190.22s -> 192.22s]  going to get to see some wrestling here in the
[192.22s -> 194.22s]  first ever Jerma Rumble live action.
[194.22s -> 196.22s]  Jerma? Jerma's
[196.22s -> 198.22s]  looking to maybe do a test of strength here with Jay
[198.22s -> 200.22s]  Buffay. They're going to do it. He's got his
[200.22s -> 202.22s]  right hand here. Jerma is grasping
[202.22s -> 204.22s]  with his left hand now, showing some
[204.22s -> 206.22s]  strength. He did mention
[206.22s -> 208.22s]  Jerma made multiple tweets talking about how
[208.22s -> 210.22s]  he was going back to the gym. He was getting
[210.22s -> 212.22s]  stronger. He was going to get back into shape.
[212.22s -> 214.22s]  And it looks like that is absolutely
[214.22s -> 216.22s]  not the case. Because at this point
[216.22s -> 218.22s]  he looks like a Pelican Jerry Seinfeld.
[218.22s -> 220.22s]  As wow he gets pushed back by Jay
[220.22s -> 222.22s]  Buffay. The strength of Jay. Just tossing
[222.22s -> 224.22s]  him into those ropes into the corner.
[224.22s -> 226.58s]  Jerma is yelling into the
