[0.31s -> 14.53s]  Hey, what is going on, everybody? Jirban here with a Team Fortress 2 gameplay commentary.
[14.53s -> 22.88s]  And tonight, I'm gonna be playing as the Soldier with the black box, the Conqueror, and the halfs of Taichi.
[22.88s -> 29.88s]  And tonight we're gonna talk about some stuff today, not really to do with the Soldier, or really to do with TF2 that much.
[29.88s -> 33.88s]  But we're gonna talk about it regardless. And before I even get started, I wanna make a couple of points here.
[33.88s -> 39.88s]  Number one, Happy New Year. Happy New Year, it's 2014, probably when you're watching this. I don't know when it's gonna get uploaded.
[39.88s -> 45.88s]  It'll probably get uploaded either a few hours before New Year's, or a day after New Year's Eve, or something.
[45.88s -> 50.88s]  I don't know, but regardless, Happy New Year, welcome to 2014. And we'll move on from that.
[50.88s -> 57.12s]  Hopefully you saw the ball drop. Hopefully my balls dropped. They already did. I did hit puberty already.
[57.12s -> 64.30s]  So secondly, if you happen to miss the Grandpa Christmas Story, which was an animation, it was a fully animated short,
[64.30s -> 70.30s]  that was animated by my buddy Blordow, I highly suggest you go check it out. There's gonna be a link in the description.
[70.30s -> 74.47s]  If you did happen to miss it, that's pretty much all I wanna say, because I wanna give that more attention.
[74.47s -> 78.47s]  I feel like a lot of people just kinda skipped over it, because it was like, oh, well, I don't even know what the fuck this is,
[78.47s -> 82.47s]  so I'm just not gonna watch it. But it's there in the description. Please go give it some love.
[82.47s -> 91.14s]  And now, we can talk about the actual point of this video. The whole reason why I decided to make this video has to do with money.
[91.14s -> 95.14s]  We're gonna talk about cash. We're gonna talk about paper in this video. We're gonna talk about that real cheddar cheese.
[95.14s -> 100.14s]  So sit back and relax, and open the discussion up in the comments section if you wanna add to this.
[100.14s -> 104.14s]  But it's gonna talk about gaming money. It's not like in-game currency.
[104.14s -> 113.14s]  It's gonna talk about gaming and the monetary value of games, and how it's really changed a lot in the last few years.
[113.14s -> 116.14s]  It has changed insanely in the last few years.
[116.14s -> 124.64s]  Hop in a time machine with me. Let's go inside Jerma's big fat hot tub time machine, and let's go back to a time in the mid to late 90s.
[124.64s -> 131.64s]  We're gonna go to like 1995 or 1996, when the cartridge consoles were kind of still relevant.
[131.64s -> 134.64s]  We're gonna talk about like Nintendo 64.
[134.64s -> 142.01s]  Those of us that are old enough to remember going into the stores and buying games or being young and having your parents buy.
[142.01s -> 144.01s]  Like, I want that one. Okay, honey. I love you.
[144.01s -> 152.16s]  You will remember Cartridge Games GoldenEye 007 was $79.
[152.16s -> 161.16s]  It was $80 fucking dollars off the shelf retail at a place like a GameStop or electronics boutique, I think is what it used to be called.
[161.16s -> 164.66s]  We were totally okay with paying that.
[164.66s -> 168.66s]  I never saw a complaint of anybody really talking about how that's not worth it.
[168.66s -> 175.66s]  Oh my god, $80. I'm gonna fight the system. No goddamn way I'm paying $80 for GoldenEye.
[175.66s -> 181.66s]  Everybody did it because that's just what it cost. That's what the games costed back then, especially if it was a cartridge.
[181.66s -> 189.01s]  Now, you can get out of my time machine. We can go back to like 2012, 2013, 14, whatever year you want to say it is.
[189.01s -> 198.79s]  And if a game was gonna cost $80 nowadays, that thing had better have some goddamn collector's edition shit inside of that box.
[198.79s -> 204.79s]  You better open that box and there's like a little figurine of Solid Snake and he has a button on his arm and you hit it and you go to Kung Fu Action.
[204.79s -> 210.79s]  Like, there better be that in that goddamn box or you're gonna be pissed off if the game is $80 at retail.
[210.79s -> 214.46s]  And I was thinking about this the other day. What happened?
[214.46s -> 219.70s]  Why did we just become not okay with paying that much money for a video game?
[219.70s -> 223.70s]  And now I'm not saying that that's that, oh man, I wish games were $80 still.
