[3.13s -> 4.33s]  All right, let's go.
[4.33s -> 6.01s]  Okay. All right. Welcome to.
[9.02s -> 9.74s]  Welcome, everybody.
[9.74s -> 15.37s]  Welcome to filter myth. A tale of dragons and danger.
[15.37s -> 17.29s]  And guess what? I'm like five minutes early.
[17.29s -> 18.81s]  It said somewhere around 12 to one.
[19.77s -> 20.73s]  Let's go. Here we are.
[20.73s -> 21.69s]  Hi, everybody.
[21.69s -> 24.25s]  How do you got a character in mind?
[24.25s -> 25.85s]  Do we have like a whole race selection?
[26.57s -> 26.89s]  I don't know.
[27.61s -> 28.81s]  We're going to make our character.
[28.81s -> 30.01s]  Your character is important.
[30.57s -> 32.17s]  We can either randomize our characters,
[32.17s -> 33.53s]  but I think it might be better if we make them.
[34.81s -> 35.45s]  I think that's fun.
[38.62s -> 39.74s]  Oh, I got to tweet this too.
[40.30s -> 43.80s]  Okay. We got a couple options here.
[46.06s -> 47.82s]  We have the age of old tricks.
[47.82s -> 48.54s]  I think we should do that.
[48.54s -> 50.30s]  That's like the standard campaign.
[51.18s -> 52.78s]  Let's go with that.
[52.78s -> 53.74s]  Sounds good.
[53.74s -> 54.46s]  How do you spell this?
[55.34s -> 56.46s]  Wilder.
[56.46s -> 59.91s]  Is it not on the top left of your screen right now?
[62.78s -> 65.98s]  Yeah, dude, I'm looking down at my phone and I'm like,
[67.18s -> 68.06s]  how do you spell it?
[68.70s -> 70.30s]  Oh, there it is.
[70.30s -> 73.38s]  Okay. Wilder myth sounds fun.
[74.58s -> 75.86s]  Okay, let's go.
[75.86s -> 81.80s]  Okay. Right.
[81.80s -> 84.12s]  So you guys should, you guys see the screen right now?
[84.12s -> 84.76s]  Yes.
[84.76s -> 89.18s]  Okay. So we're going to allocate one, two, three.
[89.90s -> 92.30s]  You guys are now in control of your characters.
[92.30s -> 93.66s]  So you want to, you can click them
[94.30s -> 96.06s]  and you can start customizing.
[96.06s -> 97.14s]  Oh, okay.
[97.86s -> 98.98s]  So the top left.
[98.98s -> 101.22s]  I clicked randomize once and I'm happy.
[101.22s -> 103.46s]  Okay. So the top left, you can scroll along
[103.46s -> 106.10s]  and you can kind of like auto people.
[108.14s -> 112.22s]  And then you've got like the bottom left is the most important
[112.22s -> 113.90s]  and this is probably why you don't want to randomize stuff
[113.90s -> 117.34s]  is because you need to customize your like aspects.
[117.98s -> 120.54s]  His name is Alunga and it looks like me.
[121.42s -> 122.62s]  Like I'm done.
[122.62s -> 123.42s]  I don't even have a chat.
[123.42s -> 124.78s]  Okay. You don't want to customize
[124.78s -> 126.54s]  like any aspect of his personality.
[126.54s -> 129.56s]  You happy with him?
[130.81s -> 133.29s]  Oh, okay. There's a whole, there's a huge thing here.
[133.29s -> 134.23s]  Okay.
[134.23s -> 136.87s]  Yeah. So the bit you're going to, you can,
[136.87s -> 138.55s]  if you want to write a backstory, you can.
[138.55s -> 141.51s]  That normally the randomly generated ones are pretty funny.
[141.51s -> 142.84s]  Okay.
[142.84s -> 145.40s]  And then the biggest thing is you go to history
[145.94s -> 148.02s]  and you can pick like three traits.
[149.88s -> 155.37s]  So you can pick like, you know, potential library and brash.
[155.93s -> 158.38s]  So this is pretty detailed then.
[158.38s -> 160.62s]  Yeah. And like picking all this stuff will determine
[161.90s -> 166.18s]  like it will determine like your character interactions,
[166.18s -> 167.86s]  how he behaves, what might happen to him,
[167.86s -> 170.66s]  the decisions he'll make all that stuff.
[170.66s -> 178.01s]  Is there, where does your class come in?
[178.01s -> 183.14s]  Like that comes in later.
[183.14s -> 188.74s]  So essentially this is a RPG DND AI roguelike
[188.74s -> 191.70s]  that we're going to be playing and it's in the same realm.
[191.70s -> 192.57s]  Yeah.
[193.51s -> 195.75s]  I just turned my stream on and I haven't been talking so.
[195.75s -> 197.43s]  Yeah. Relationship simulator.
[197.43s -> 198.38s]  Okay.
[198.38s -> 201.34s]  So there will be combat.
[201.34s -> 203.66s]  It'll be kind of like tactics based.
[203.66s -> 205.74s]  If you've played like a Final Fantasy tactics or game like that,
[205.74s -> 212.39s]  it's like, it'll be like a top down, like hex board.
[212.39s -> 214.39s]  And then the combat's pretty fun.
[215.61s -> 218.01s]  But between the combat will be long periods of story
[218.01s -> 220.89s]  and what we'll do is we'll voice our own characters
[220.89s -> 223.69s]  and the AI will generate our dialogue and our.
[223.69s -> 224.09s]  Really?
[224.09s -> 224.97s]  And what happens.
[224.97s -> 225.96s]  Yeah.
[225.96s -> 227.16s]  Why have I never heard of this game?
[227.16s -> 229.24s]  That sounds, that sounds, this sounds amazing.
[229.24s -> 231.96s]  It's such a charming game, but like not many people have heard.
[231.96s -> 233.22s]  Okay.
[233.78s -> 235.14s]  Yeah. I kind of forgot about it.
[235.14s -> 240.02s]  I'm like a youth.
[240.02s -> 240.52s]  Yeah.
[240.52s -> 242.18s]  Currently locked in.
[242.18s -> 247.85s]  So if right now we've got Starr is the hunter
[247.93s -> 249.53s]  and Gemma is the mystic.
[249.53s -> 250.25s]  Wait, where am I?
[250.25s -> 251.46s]  I am the warrior.
[251.46s -> 254.18s]  See where it says at the top, future warrior, hunter and mystic.
[254.18s -> 255.38s]  Where do you change that?
[257.46s -> 259.30s]  If you don't want to be a hunter.
[259.30s -> 260.90s]  I don't know if you can change it.
[264.38s -> 266.46s]  I'm cool with being the mage.
[266.46s -> 268.57s]  That's cool with me.
[268.57s -> 271.98s]  If you want to be the warrior though so we can swap.
[271.98s -> 278.01s]  Oh, no, I think it just gives you one of each
[278.01s -> 279.88s]  and then we can assign them.
[279.88s -> 283.50s]  Is there a hair, a hair color?
[283.50s -> 287.02s]  Normally we can pick them, but this is like the base campaign.
[287.02s -> 287.98s]  So it's kind of like.
[287.98s -> 288.38s]  Oh, okay.
[288.46s -> 289.82s]  So this is a tutorial too.
[289.82s -> 297.99s]  So we like locked in.
[297.99s -> 298.31s]  All right.
[298.31s -> 299.43s]  I think, I think that's wait.
[299.43s -> 300.87s]  Should I have a beard or something?
[300.87s -> 303.78s]  All right.
[303.78s -> 304.26s]  That's good.
[305.13s -> 309.14s]  No, that's good.
[309.14s -> 309.86s]  I did my history.
[309.86s -> 310.98s]  What did you guys do for your history?
[313.02s -> 314.62s]  Can you write it?
[314.62s -> 315.82s]  Yeah, you can if you want.
[315.82s -> 320.52s]  Oh, no, I was talking about the like the three drop downs.
[320.52s -> 328.26s]  Yeah, I'm going to do destiny, shame, but also.
[332.22s -> 335.98s]  I did dreamer, clown and nostalgic.
[337.56s -> 338.76s]  That yeah, that sounds like you.
[339.64s -> 341.08s]  I thought you said streamer.
[343.08s -> 343.56s]  Streamer.
[347.24s -> 347.64s]  Oh, shit.
[347.64s -> 347.96s]  All right.
[347.96s -> 350.44s]  I think so is the names are here.
[352.07s -> 352.71s]  Yeah, I'm excited.
[352.71s -> 353.67s]  This is going to be fun.
[353.67s -> 366.31s]  Is there any other customizations?
[366.31s -> 366.79s]  We should.
[366.79s -> 369.67s]  Jesus, are there any other customers?
[369.67s -> 371.83s]  The way they said that, like, oh my goodness.
[371.83s -> 375.66s]  Are there any other customizations that we can do?
[375.66s -> 381.05s]  I think you get more if we.
[381.05s -> 383.85s]  This is like just the first campaign to kind of show you the ropes.
[383.85s -> 386.33s]  Oh, we can do hair color and everything like that.
[386.33s -> 387.93s]  Yeah, you can do hair color and all that kind of stuff.
[392.28s -> 396.84s]  The main thing is the three the three aspects in history is like important.
[396.84s -> 400.04s]  And then if you got to customize, you've got like size, color,
[400.04s -> 401.48s]  head and face and then your name.
[404.52s -> 409.19s]  Man, if you could do character creator before you were born,
[409.19s -> 411.78s]  how long would you spend in it?
[411.78s -> 412.58s]  Days.
[412.58s -> 414.33s]  That sounds like weird.
[415.05s -> 417.82s]  Wait, would you just hit the randomize button?
[417.82s -> 421.02s]  No, I just named my character Smushman, but it was just like, I don't know.
[422.66s -> 423.86s]  I already have that character name.
[425.02s -> 425.98s]  Nine months.
[425.98s -> 428.22s]  Yeah, you got nine months of character creation.
[428.22s -> 429.02s]  Yeah, that's true.
[430.28s -> 433.72s]  What if like you had nine months and then like you were one day
[433.72s -> 436.36s]  from the nine month limit and you accidentally hit like randomize
[436.36s -> 439.40s]  and everything, all your hard work was just like undone, like bam.
[442.25s -> 443.77s]  Oh, I forgot to save.
[445.26s -> 446.22s]  Oh, that's not good.
[447.50s -> 457.32s]  I'm just going to get born like that name in dogwood details.
[457.32s -> 457.96s]  OK, all right.
[457.96s -> 460.12s]  Well, this is just a trial run we're doing, right?
[460.92s -> 462.76s]  Yeah. Yeah, let's go.
[462.76s -> 465.24s]  No, this is literally who you will be for the rest of your life.
[465.24s -> 465.96s]  OK, let's go.
[469.86s -> 472.34s]  Welcome to Wildermyth.
[472.98s -> 477.94s]  OK, so the best way to do this is like one person will kind of be in control of
[478.82s -> 480.34s]  when we go to the next slide.
[480.90s -> 481.22s]  OK.
[481.22s -> 484.50s]  If either of you want to be that guy or you just want me to do it and then
[486.38s -> 487.26s]  kind of read along.
[489.40s -> 491.08s]  I'm not ready for that responsibility.
[491.08s -> 494.04s]  I think somebody should be like the bookkeeper.
[494.04s -> 495.08s]  I'll be the guy.
[495.08s -> 497.80s]  If you guys click read along with leader, that checkbox,
[498.94s -> 500.78s]  then it will bring you with me.
[500.78s -> 501.18s]  Perfect.
[501.74s -> 503.40s]  Oh, we have our own little mouses.
[504.41s -> 505.05s]  Yeah.
[505.05s -> 507.13s]  So did you see the change page?
[507.13s -> 507.69s]  Yep.
[507.69s -> 512.30s]  OK, there's room in it for another story.
[513.02s -> 513.82s]  It's cold.
[513.82s -> 514.70s]  I'm stuck here.
[515.50s -> 516.70s]  Oh, this is you.
[516.70s -> 517.18s]  Oh, OK.
[517.74s -> 520.76s]  So you got to read it.
[520.76s -> 521.64s]  I am.
[521.64s -> 523.32s]  I'm trying to think of what I do for a voice for this person.
[523.32s -> 524.76s]  OK, like get in character.
[524.76s -> 525.48s]  Deep breath.
[525.48s -> 526.92s]  Have a feel for yourself.
[526.92s -> 528.28s]  Figure out what you want to sound like.
[529.08s -> 529.98s]  The audio.
[529.98s -> 530.86s]  How do I turn the audio down?
[534.34s -> 534.66s]  All right.
[534.66s -> 535.06s]  All right.
[535.06s -> 535.54s]  All right.
[535.54s -> 536.74s]  That's one thing he doesn't know.
[536.74s -> 537.14s]  Anything.
[539.05s -> 539.45s]  Anything.
[539.45s -> 540.33s]  Should it be like a...
[540.33s -> 540.97s]  OK.
[540.97s -> 541.69s]  Just make it you.
[541.69s -> 542.17s]  Just be you.
[542.17s -> 542.65s]  Just be you.
[542.65s -> 544.25s]  Anything to prove I lived, I guess.
[544.81s -> 545.69s]  Not that.
[545.69s -> 546.65s]  Not that I'm giving up.
[547.46s -> 548.42s]  Someone will come.
[548.42s -> 549.54s]  Maybe my friends.
[549.54s -> 556.06s]  It's still you.
[556.06s -> 557.26s]  Oh, I thought this was the narrator.
[557.98s -> 558.54s]  But all right.
[559.26s -> 565.37s]  This is how I'd started here in my yandering country.
[565.37s -> 567.85s]  Something in the woods is very strange.
[567.85s -> 572.76s]  I don't have any lines.
[574.94s -> 576.06s]  A line?
[576.06s -> 579.72s]  Concerned only with the depth and echo of his own thoughts,
[579.72s -> 583.96s]  a young man named Inan takes the seasonal road to the town of Thunderost.
[583.96s -> 585.48s]  Wait, wait, wait, wait, wait, wait, wait, wait.
[586.12s -> 588.28s]  His whole character introduction is...
[588.28s -> 589.72s]  There's something going on in the woods.
[591.72s -> 592.22s]  Yeah.
[592.76s -> 593.26s]  OK.
[593.26s -> 594.36s]  There's a timeless problem.
[594.36s -> 595.48s]  The stone in the shoe.
[596.82s -> 598.50s]  When should one bend and remove it?
[598.50s -> 600.20s]  When is it finally time?
[600.28s -> 603.16s]  Where's that threshold between discomfort and laziness?
[603.16s -> 604.68s]  I could write a treatise, probably.
[606.22s -> 607.66s]  Breeze is light that day.
[607.66s -> 608.46s]  Birds are timid.
[609.50s -> 613.58s]  In fact, the whole world is taking a breath, ready to leap in the sea.
[613.58s -> 616.12s]  I'm there already, huh?
[616.12s -> 617.16s]  Here's the hard part.
[617.16s -> 618.68s]  Getting a longus out of bed.
[618.68s -> 623.69s]  Or worse, if I have to dislodge him from a book or smoke.
[625.22s -> 627.94s]  Fluttering flames roost among the far-off rooftops.
[627.94s -> 630.74s]  Inan hurries towards town, thinking of a longus,
[630.74s -> 636.62s]  a young man whom he's known since boyhood.
[636.62s -> 638.22s]  OK, so now I can choose...
[638.22s -> 639.82s]  Wait, you have to choose this?
[639.82s -> 640.32s]  Yeah.
[641.38s -> 645.06s]  I can choose to increase my rivalry, my friendship, or some romance.
[648.84s -> 650.12s]  Let's do friendship.
[650.12s -> 653.98s]  If we've known each other all our lives, I doubt we'd be rivals.
[653.98s -> 655.66s]  He must have tried to cook breakfast again.
[655.66s -> 656.38s]  There we go.
[656.38s -> 658.55s]  A longus!
[658.55s -> 659.43s]  You all right?
[659.43s -> 661.27s]  I'll get you out and just make a little noise.
[661.99s -> 663.76s]  OK.
[665.08s -> 666.74s]  Wait, what?
[666.74s -> 670.18s]  So it looks like my introduction is a burning village,
[670.18s -> 674.90s]  and I'm going to be in a solo combat situation looking for a longus.
[674.90s -> 676.26s]  So who is a longus?
[676.26s -> 676.98s]  Is that you, Ster?
[676.98s -> 677.46s]  That's me.
[678.10s -> 679.06s]  That's Ster.
[679.06s -> 682.66s]  So the game has decided that we are childhood friends, just randomly.
[682.66s -> 683.16s]  OK.
[684.71s -> 686.87s]  So now you can kind of get a feel for, like, the combat.
[686.87s -> 690.07s]  This is kind of the combat map, and it's all time-based,
[690.07s -> 696.62s]  and we all act at the same time, and then the enemies act at the same time.
[696.62s -> 698.06s]  Oh, so it should go pretty quick.
[698.06s -> 699.66s]  So this is a longus' house?
[701.62s -> 702.42s]  Yeah, look.
[702.42s -> 705.40s]  His house is still standing, at least.
[705.40s -> 706.44s]  A longus!
[706.62s -> 707.26s]  Fire right here.
[707.26s -> 708.22s]  You're not sleeping, are you?
[709.18s -> 715.26s]  What's going on here?
[715.82s -> 717.82s]  This is me, a longus.
[717.82s -> 718.70s]  He doesn't know.
[721.05s -> 723.77s]  Why is no one?
[723.77s -> 724.89s]  Hey, do you not smell the...
[725.45s -> 726.97s]  I smell the smoke.
[726.97s -> 727.69s]  Get inside.
[734.36s -> 736.12s]  Yeah, my bow.
[736.84s -> 738.84s]  The blaze is secondary.
[738.84s -> 740.60s]  It's doom's detail.
[740.60s -> 746.50s]  A herd of these hideous, afflicted-looking beasts.
[746.50s -> 747.00s]  Garoo!
[749.43s -> 751.03s]  They stampeded in.
[751.03s -> 753.75s]  I managed to trap one behind the house.
[753.75s -> 754.87s]  Small victory.
[754.87s -> 758.47s]  Staying in here is not really an option.
[759.77s -> 760.33s]  Right, so.
[761.05s -> 763.21s]  Here, I've got some tools around.
[763.21s -> 764.57s]  You're stronger than I am.
[764.57s -> 766.81s]  You can swing something pretty good.
[766.81s -> 768.65s]  I bet we can at least drive it off.
[768.65s -> 773.64s]  Okay, do I grab the pitchfork, the pickaxe, or the frying pan?
[773.64s -> 775.08s]  I'm going pickaxe here.
[775.08s -> 779.93s]  If it breaks stars, it'll break bones.
[779.93s -> 782.22s]  It can be killed, right?
[782.22s -> 784.94s]  If we're steady and methodical, we can manage it.
[786.07s -> 788.73s]  Steady and methodical beating of an animal.
[788.73s -> 790.17s]  Let's get it done.
[790.17s -> 794.49s]  I hope it just cuts to me and I've been eaten.
[797.26s -> 798.94s]  Our first enemy is a roe.
[798.94s -> 801.22s]  It looks like it's just a deer.
[801.22s -> 803.14s]  And we're going out the back of the house.
[803.14s -> 806.76s]  So that's the end of my turn.
[806.76s -> 807.80s]  I'm out of actions.
[807.80s -> 812.15s]  You should be in control of your character right now.
[812.15s -> 815.35s]  Okay, I will get behind you.
[815.35s -> 816.47s]  Okay.
[816.47s -> 817.35s]  With my bow.
[817.35s -> 822.15s]  I'm going to open the door and head out.
[822.15s -> 824.76s]  Enemy revealed.
[824.76s -> 825.80s]  Bow card.
[825.80s -> 829.11s]  That's my turn.
[829.11s -> 830.52s]  You have a shot?
[830.52s -> 831.16s]  Nope.
[831.16s -> 834.97s]  Your come out is going to be really interesting, because you're a wizard.
[834.97s -> 838.89s]  What you can do is you can like basically like you click on it.
[838.89s -> 839.85s]  Why did he go in the house?
[841.05s -> 842.33s]  Get out of my house.
[842.33s -> 842.81s]  Wait, what?
[843.61s -> 844.73s]  I'm going to strike it.
[844.73s -> 846.18s]  Oh, it's over there.
[849.56s -> 850.20s]  Where am I?
[850.76s -> 851.80s]  Holy shit.
[851.80s -> 853.00s]  You're so strong.
[853.00s -> 855.88s]  To get the AI has written out of our story already.
[855.88s -> 858.36s]  Okay, I leveled up so I can choose one of these three abilities.
[860.98s -> 861.62s]  That seems cool.
[863.99s -> 868.25s]  You're leveling up and you're in your room like, oh, I live near the forest.
[868.25s -> 869.53s]  Yeah, I looked out my window.
[869.53s -> 870.81s]  That's my whole story arc.
[870.81s -> 872.17s]  You leveled up as well?
[872.17s -> 873.13s]  With my level.
[877.37s -> 884.63s]  Everyone's saying you guys gave me the unplugged controller.
[884.63s -> 885.27s]  You're playing, dude.
[885.27s -> 886.55s]  Trust me, you're playing.
[886.55s -> 887.51s]  Oh, it's not my turn.
[887.51s -> 894.66s]  Okay.
[894.66s -> 896.18s]  Did you see that thing?
[896.18s -> 898.50s]  What could have wrought such a change?
[899.14s -> 901.06s]  Why did it go in my house?
[901.06s -> 902.50s]  The creature's death is quiet.
[902.50s -> 905.94s]  It seems to slip from life in a few stunned and hazy blinks.
[907.37s -> 909.93s]  Spend a piece of the day getting the flames under control.
[909.93s -> 911.61s]  The damage isn't as bad as it could have been.
[912.25s -> 915.61s]  Townsfolk emerge from hiding to fight fires and clear debris.
[915.61s -> 917.29s]  Some full of curiosity.
[917.29s -> 919.85s]  Others visibly haunted by what they've seen.
[919.85s -> 920.25s]  Geez.
[921.62s -> 922.58s]  We should go.
[922.58s -> 923.70s]  Thomas is alone.
[923.70s -> 927.22s]  Unless you think, I mean, I'm not sure who's safer suddenly.
[927.22s -> 928.90s]  Who the hell is Thomas?
[929.94s -> 932.34s]  It's like that kid that just sits in his window.
[932.34s -> 939.30s]  This is you, man.
[940.50s -> 942.38s]  I changed the line.
[942.38s -> 942.94s]  Oh, okay.
[942.94s -> 945.10s]  Oh, he did a little bit of improv.
[945.18s -> 946.14s]  Let's start one out.
[946.14s -> 947.66s]  Thomas will be waiting for us.
[947.66s -> 949.66s]  What happened today could be happening everywhere, couldn't it?
[951.64s -> 954.86s]  Something about that tower is just stuck in my mind.
[954.86s -> 962.84s]  It's like when you get an apple skin in your teeth.
[962.84s -> 963.80s]  Oh, some of these.
[964.89s -> 966.89s]  It unchecked the read-along with leader, I think.
[966.89s -> 967.69s]  Okay.
[967.69s -> 969.43s]  Are you caught up?
[969.43s -> 971.75s]  I know the sensation you describe.
[971.75s -> 972.55s]  Huh?
[972.55s -> 973.96s]  Yeah.
[973.96s -> 977.08s]  Anyway, I just think we said we'd meet him, so we should.
[977.08s -> 978.28s]  The towers and the hills.
[978.28s -> 978.92s]  You've been there?
[980.22s -> 981.86s]  Yeah, once.
[981.86s -> 984.42s]  Actually looking at the tracks, they come and they go.
[984.50s -> 986.78s]  That direction.
[986.78s -> 989.51s]  Oh, no.
[989.51s -> 993.59s]  And on and along us follow the pounded path of the monstrous feet,
[993.59s -> 997.27s]  hoping for the best and dreading every other possibility.
[997.27s -> 1001.90s]  Okay, this is your choice here.
[1001.90s -> 1003.42s]  How do you tell who's choosing?
[1005.13s -> 1014.09s]  Your character is front and center, so it's related to you.
[1014.09s -> 1018.18s]  If you have a rivalry with Thomas, a friendship, or maybe a romance.
[1018.18s -> 1018.82s]  A romance.
[1018.82s -> 1020.39s]  Okay.
[1020.39s -> 1025.94s]  A worthless while passes between them, but the quiet only heightens their worry.
[1025.94s -> 1027.78s]  You've always been a little fond of him, I thought.
[1027.78s -> 1028.34s]  Of Thomas.
[1031.48s -> 1032.78s]  What have I?
[1032.78s -> 1036.44s]  You've noticed.
[1036.44s -> 1037.16s]  Is that true?
[1037.72s -> 1040.46s]  I do find he's grown on me.
[1040.46s -> 1043.82s]  Always kind of looking for an angle, a way to get ahead.
[1043.82s -> 1044.94s]  He's not mean.
[1044.94s -> 1049.13s]  There's just kind of this unapologetic self-interest with him.
[1049.13s -> 1054.01s]  That makes me laugh.
[1054.01s -> 1063.54s]  And plus, it seems like no matter where he goes, we tend to have adventures.
[1063.54s -> 1064.10s]  All right.
[1064.10s -> 1064.90s]  Okay.
[1064.90s -> 1068.26s]  So now our next mission is to find Thomas at the tower.
[1069.51s -> 1073.59s]  It's kind of explained to us that the way we do this is we're going to scout the next area.
[1076.84s -> 1080.58s]  And then it takes some travel time.
[1080.58s -> 1082.50s]  And then sometimes we can be intercepted on the way,
[1082.50s -> 1084.18s]  but most of the time we'll just travel there.
[1084.18s -> 1088.78s]  And then we reveal and trigger the next kind of chapter.
[1088.78s -> 1089.50s]  He's not there.
[1089.50s -> 1092.41s]  He said he'd be here on time.
[1092.41s -> 1093.29s]  Previous night.
[1093.29s -> 1093.79s]  Eh?
[1094.41s -> 1097.21s]  The tower where Thomas had arranged to meet Inanna and along us
[1097.21s -> 1100.97s]  is a place he often used to escape to as a boy.
[1100.97s -> 1103.94s]  He knows its rooms and floors so well.
[1103.94s -> 1105.86s]  He could survive being chased through them.
[1112.50s -> 1113.78s]  And now I wait, I suppose.
[1117.27s -> 1122.15s]  The dust gets deep as rain puddles in here.
[1122.15s -> 1130.76s]  Alive is alive until that beast breaks through.
[1130.76s -> 1131.88s]  You're a rare beast.
[1138.84s -> 1140.20s]  Folks would pay to see you.
[1140.20s -> 1141.32s]  I'd pay not to.
[1141.32s -> 1145.77s]  The tower is an heirloom of an earlier people.
[1145.77s -> 1148.25s]  The locals have lost the legend of it.
[1148.25s -> 1150.49s]  The emptiness is deep and fragrant.
[1150.49s -> 1154.17s]  The odor of 10,000 rains soaked into the stone.
[1154.17s -> 1158.98s]  But as the old will tell you,
[1158.98s -> 1161.83s]  precious things go overlooked in a ruin.
[1161.83s -> 1164.07s]  But lodges amid the bones of failure
[1164.07s -> 1165.75s]  is often the dream that drove it.
[1165.75s -> 1169.53s]  What's this over here?
[1169.53s -> 1170.01s]  That book.
[1171.08s -> 1171.88s]  Why have I never?
[1174.81s -> 1175.69s]  Easy there.
[1175.69s -> 1179.46s]  I guess you're wondering why I'm talking to myself,
[1180.18s -> 1180.90s]  beast.
[1180.90s -> 1184.04s]  I'm also wondering too.
[1184.04s -> 1185.94s]  Thomas bends down.
