[0.31s -> 15.20s]  Oh my god, what just- hey, what's going on everybody? Jerma here with Facecam Fortress 2.
[15.44s -> 18.64s]  I'm so confused right now. What the hell just even happened right there?
[18.64s -> 25.86s]  I just shot a spy and he like flipped backwards into a bunch of stuff and like broke all- that was as if I threw him
[25.86s -> 31.44s]  Into a table. What the hell was that? But yeah, Facecam Fortress 2 Mondays edition. How you guys all doing?
[31.44s -> 39.04s]  How you guys having a fantastic Monday? And they're gonna get that first point. No! Zeppelin, you gotta stop him.
[39.04s -> 42.68s]  Me and Zeppelin are gonna drop a friggin' Zeppelin on their heads. Oh
[44.61s -> 55.76s]  No, don't disconnect, please. Please don't disconnect. Please Zeppelin. Here we go. Headshot! Yeah!
[56.40s -> 63.43s]  That's what I like to say. This soldier is a headshot. If I'd waited another second, I wouldn't have had him.
[63.51s -> 70.16s]  Whoa, that was a little bit of laggy lag right there. Not too keen on that.
[72.01s -> 76.68s]  Disp- I think people are just disconnecting left and right here. Hey, I'll use it to my advantage.
[77.80s -> 83.65s]  Oh, that's three in a row. I call that a three in a row. Welcome to hell!
[83.65s -> 93.28s]  I'm actually doing pretty- pretty well right now. Question is, can you keep it going? It's the age-old question right there.
[93.56s -> 105.01s]  That's another headshot. Gotta get that guy. Get him off that point. Get him offa. Damn. Whoa, whoa, whoa. No!
[106.21s -> 113.18s]  That was a pretty good run though. I killed like five or six people. I think they are going to get it, unfortunately.
[115.16s -> 120.75s]  Unfortunately, no. Two soldiers. Oh well. What can you do, right?
[122.40s -> 129.55s]  So today, my drink of choice is a delicious iced tea. Not just any iced tea, it's the pure leaf stuff.
[130.07s -> 137.51s]  If you never had pure leaf, it is probably the best iced tea you could ever drink. And he had to move. He had to move, didn't he?
[138.75s -> 146.19s]  You are stuck in there, my friend. Should have hit him with that. Oh, he's still alive. Oh, and there's a-
[149.72s -> 156.75s]  No, I'm kind of- I'm going to eat a pretzel. I got- Oh, by the way, do you guys reme- Speaking of stuff that I drink and eat and stuff like that,
[156.79s -> 162.84s]  Who remembers these things? Do you remember these things? The pretzels in the box?
[162.84s -> 169.15s]  I remember when I was like five or six years old, I used to eat these every day. Oh my god. Oh my god.
[169.15s -> 172.72s]  They're gonna win. Notify if I have anything to say about it. Oh,
[173.44s -> 185.12s]  chaos. It's just absolute chaos. Oh, I figured I could have done something about that. By the way, these are so stale.
