[0.31s -> 16.76s]  Hey, what is going on everybody? Jerma here with Super Meat Boy.
[16.76s -> 21.58s]  What the hell was that? Super Meat Boy here. We're gonna play the Dark World.
[21.58s -> 29.58s]  Chapter 2. I wonder if I'm going to freak out. I think I'll be able to get through like I said in the last video.
[29.58s -> 32.58s]  Probably through the first few chapters of Dark World.
[32.58s -> 38.14s]  And then I might rage quit in the fourth. I don't know. We don't know. We don't know. But yeah, the Dark World.
[38.14s -> 50.73s]  Here we go. Chapter 2 Dark World. So let's get going here, huh? Let's do it.
[50.73s -> 58.03s]  Gotta go backwards in this one? Backtrack. Everybody's gonna backtrack. Whoa, this is weird.
[59.03s -> 69.34s]  Alright, fine. You want to play that game? I'll play that game. Go!
[69.34s -> 80.81s]  Wow, how am I? Really? There we go. That's not so bad. That's not so bad at all.
[80.81s -> 90.89s]  Don't want to get myself killed. Let's do it all in one try. Dark World. One try Dark World.
[90.89s -> 97.26s]  I've actually seen YouTube videos of guys that just smoke through the whole...
[97.26s -> 107.68s]  Damn, man. This is so hard. Yeah, I've seen Cotton Alley Dark World videos on YouTube.
[107.68s -> 115.80s]  I don't know how the hell those guys pull that off. I mean, you're talking about, like, that is just incredible.
[115.80s -> 130.50s]  Buzz cut. Okay. What do I do here? Jump! Jump! Whoa! Whoa! Whoa, whoa, man. Are you serious?
[130.50s -> 138.18s]  How am I supposed to... I gotta, like, jump through like a friggin' circus act? Like, jump through the loop?
[138.18s -> 148.25s]  This is fantastic. I can't wait to do this. Okay, okay. I made it. I made it. I made it. Oh, God. It's down here too.
[148.25s -> 167.16s]  Oh! I did it. Blown. Okay. Hooray! Yay! Yeah! Oh, I gotta... No, no. This is not... I gotta start from the beginning.
[167.16s -> 177.74s]  Straight up! And then... No. What? I'm confused. Straight up and then over? Okay. And then... No, God. I don't even know...
[177.74s -> 185.68s]  There's a Band-Aid right there, though. I have no idea what to do here. Oh, my God. This is, like, impossible.
[185.68s -> 204.60s]  All right. I know you're supposed to start here. Why else would you be right here? No. Not quite. Not quite. Oh, my God.
[204.60s -> 222.24s]  There it is. There it is. There it is. Come on. Keep it going. Come on. Oh! No! Well, that's what you have to do as insanely hard as this is.
[222.24s -> 245.15s]  Wow. No, I had it. I had it. I had it. Right here. There we go. Straight up. No. Oh! Same thing. Oh, my God.
[245.15s -> 259.64s]  Agent Orange. Go, go! Hmm... I'm trying to think of what they want me to do here. Looks like they want me to get blown over that way.
[259.64s -> 274.87s]  I don't know. I just don't know. Okay. Maybe? No. Can I make that? No, absolutely not. So, you gotta get blown across the whole map.
[274.87s -> 284.53s]  That means I have to come down from the bottom. Oh, my goodness gracious. I keep, like, slipping off the damn edge.
[284.53s -> 308.05s]  Get it together here, Jerma. What are you doing? No, that's not good enough. That's not gonna work. There we go. There we go. Nope.
[308.05s -> 317.91s]  Oh, someone's getting arrested. I have no idea how you're supposed to do this. Like, not the slightest clue of how you're supposed to do this.
[317.91s -> 335.06s]  Like that. Oh! There's a warp zone up there, too. What if I just grab onto the right side? Can I do that? I bet you I can just do that and get out of here.
