[4.73s -> 11.34s]  Oh, mega early. Very early, mega early. Yeah, kinda.
[11.34s -> 26.25s]  You remember, hold on. What? I almost just said, never mind, I was gonna say, start.
[26.25s -> 31.70s]  I'm gonna say it, I'm not gonna say it, then I'm gonna say it five seconds, I'm not gonna say it, then I'm gonna say it. Anyways.
[31.70s -> 41.20s]  Whatever, just pretend you knew what I was gonna say. There's no music? Oh shit, hold on.
[41.20s -> 44.29s]  I got, don't worry, I've got you covered.
[44.45s -> 50.41s]  Do-Ga-Duh DidDit, Do-Ga-Duh-Dit, Do-Ga-Duh-Dit, Do-Ga-Duh-Did-Dit, Do-Ga-Duh-Dit, Do-Ga-Duh-Dit, Do-Ga-Duh-Dit-Did, Do-Ga-Duh-Dit.
[52.58s -> 60.23s]  Here ya go. Fuck yeah.
[60.23s -> 62.05s]  Hello, yes hi everybody.
[62.05s -> 72.89s]  Today is going to be a very short stream. It will be very quick and to the point, well not even really to the point.
[72.89s -> 79.84s]  We've got some things to do today, a couple of very interesting things that I find incredibly interesting.
[79.84s -> 88.46s]  Are there a couple of websites that I came across I have to do with this community and I really really want to do them
[89.04s -> 94.12s]  Because one of them is very relevant to like a week ago, and the other one is just cool
[94.58s -> 103.05s]  So this is not the final stream. No no no now. This is the this is it. This is the last one
[103.59s -> 109.65s]  Hold on these like cat ears are so itchy God
[110.17s -> 114.23s]  I'm just getting this no fucking cat ears
[114.87s -> 120.78s]  You see they look at the chat the chat just went insane the chat just went boom
[121.34s -> 129.36s]  No, I do not have a catboy costume on right now. You say the words catboy and all of a sudden
[129.36s -> 137.85s]  Oh my god here come the floodgates of chat messages prove it. I'm gonna prove it. I'm gonna put the camera on
[139.51s -> 141.51s]  The first thing we're gonna do
[141.55s -> 146.19s]  So this this stream is gonna be probably like an hour maybe tops
[146.31s -> 151.07s]  It depends on how long it takes me to do the greatest video games of all time tier list
[151.75s -> 161.05s]  That could take like four hours. I don't know that's fine
[164.00s -> 168.85s]  But we'll see one hour Andy
[170.17s -> 183.24s]  No, there's no catboy today. We're just gonna hang out is everything okay? Everything is fine
[183.80s -> 186.68s]  Guys the streams not 45 minutes because like something is wrong
[187.72s -> 190.11s]  guys, I only got like 45 minutes and
[191.87s -> 196.07s]  Something is very wrong, and I'm please help me
[196.51s -> 207.72s]  Let's get a bunch of community stuff. Thank you up mega dial for the 20 community subs whoo zero. Thank you
[207.72s -> 214.32s]  That's a lot the first thing I want to do is very relevant to what we did it
[214.32s -> 222.64s]  Well, let's just go over here. You know what hey, hi. How are you so oh, he's got the cat ears
[222.64s -> 230.64s]  No, I got the twitch TV shirt on how you doing. How's everybody doing? What a letdown
[230.64s -> 237.34s]  I this this is not a cat boy stride didn't make that clear that this was a cat boy stream
[237.34s -> 242.00s]  I look a little stuffed in here though
[242.04s -> 245.92s]  Don't I don't I kind of look like I don't fit in here
[245.92s -> 252.74s]  I feel like I'm wearing like a sleeping bag or something like oh, I'm here for the sleepover
[253.14s -> 261.38s]  Just put a just put a pillow behind me, okay
[261.38s -> 268.28s]  Is it extra small take it off and reveal the cat where no this is not a scenario
[268.36s -> 272.92s]  We're like all the reason why he looks like he's got a bunch of clothes on he's gonna unzip this is gonna be a full
[272.92s -> 287.72s]  Catboy made outfit what are they even in is it a made outfit? Did I just say that it is a made outfit it is okay?
[288.20s -> 290.26s]  You wish
