[0.31s -> 12.46s]  Hey, what is going on everybody? Jerma here with FaceCamp Fortress 2.
[15.58s -> 21.48s]  Damn it. Anyways, playing as the Soldier on Barn Blitz.
[22.08s -> 26.20s]  Using the, let's just take a look, Beggar's Bazooka, the buff banner, and the escape plan.
[26.64s -> 31.32s]  Also got on my something special for someone special. Helmet without a home and these summer shades.
[31.76s -> 36.64s]  So, what do I want to talk? Oh, yeah, I wanted to bring up the fact that I just got back from Virginia.
[37.18s -> 42.50s]  Sister's birthday party was a success. Thank you to everybody that said happy birthday to my sister.
[42.58s -> 50.60s]  She really appreciates it as well as me. Now, let's get out here. These pyros! Give me that health!
[52.29s -> 60.10s]  Come on, please heal me. Oh, this is starting out starting very badly. Oh, wow, we're dead. Let's go ahead.
[60.10s -> 62.10s]  We're on Barn Blitz right now, right?
[62.38s -> 69.32s]  Let's go ahead and make some animal noises. How does that sound? Ready? So we're gonna go with a cow first.
[69.68s -> 74.12s]  So, how does a cow, what does a cow do? My god, we can't even get out of spawn.
[74.92s -> 79.66s]  Let me just do my cow noises. I think we're gonna get spawn trapped this whole game.
[79.66s -> 82.78s]  I don't think we're gonna get out. Hold on. Rain check on those noises.
[83.30s -> 86.70s]  Get up there.
[86.70s -> 90.93s]  Where's the soldier? Get out of here.
[91.21s -> 93.37s]  Somebody...
[93.37s -> 103.30s]  Okay, I'm going up here. I'm going around the other side. Forget this. Oh, there's a sentry! Got it. Get this pyro.
[103.38s -> 115.28s]  Got him. Oh, I got him too. Somebody please cap the cart. Come on. We need this extra time. There you go. There you go.
[115.28s -> 121.76s]  There you go. Uber on the cart. This is fantastic. Oh, I'm all like giddy right now.
[123.30s -> 131.18s]  Excellent boys and girls. You did it. So, I was gonna do barnyard noises because we're in Barn Blitz. That's a spy.
[132.04s -> 134.32s]  I always think snipers are spies every time. Oh.
[136.27s -> 142.23s]  They are! Snipers are spies every single time you see one. If there's a sniper that you see that looks like he's on your team,
[142.23s -> 148.19s]  he's a spy. That's like the case 99% of the time for me. All right, let's get out of here.
[148.87s -> 150.78s]  Two.
[150.78s -> 152.78s]  Three. Go!
[152.86s -> 162.58s]  Give me that. Give me that. Come on. No medic. No medic. No! No, I refuse to be burned to death.
[165.84s -> 170.54s]  Before I die, all right. Now I can do the barnyard noises. I promised you I would do this.
[170.54s -> 174.63s]  I didn't really promise, but... All right, so here we go. Let's start with a cow.
[178.38s -> 179.98s]  Moo.
[179.98s -> 188.50s]  That doesn't sound like a cow at all. That sounds like a cow on like crack. First, hold on. Let me burp.
[188.54s -> 194.77s]  Let's do a chicken. Of course, chickens are on farms as well. Sorry, let's go with the chicken already.
[194.81s -> 198.63s]  Why am I holding down the button?
[201.99s -> 203.99s]  I can do a chicken pretty damn well.
[206.71s -> 211.90s]  What does that look like on camera? I probably look like a fool. And a pig. Let's do a pig.
