[22.33s -> 23.67s]  Somebody said,
[23.67s -> 25.67s]  Hey, I want to talk to your manager.
[25.67s -> 27.67s]  You're three minutes late.
[27.67s -> 31.51s]  I am the manager.
[31.51s -> 41.28s]  What do you got to say?
[41.28s -> 43.28s]  Wait, the title is... Oh, the first...
[43.28s -> 46.48s]  I liked my title. It was
[46.48s -> 48.72s]  having fun farming.
[48.72s -> 50.72s]  Alright. That's all I need to say.
[50.72s -> 56.61s]  I got the tweet out already. I was prepared.
[56.61s -> 64.42s]  Hi, how are you?
[64.42s -> 67.24s]  How's it going?
[67.24s -> 70.44s]  Tonight's going to be a comfy night.
[70.44s -> 72.80s]  And you can tell that
[72.80s -> 74.80s]  because I've got a raspberry tea right here
[74.80s -> 77.68s]  and it's hot.
[77.68s -> 80.88s]  If I'm drinking hot tea,
[80.88s -> 82.88s]  it's guaranteed to be a comfortable night.
[82.88s -> 85.12s]  It's just the way it is.
[85.12s -> 91.01s]  Raspberry tea?
[91.01s -> 94.72s]  This bro's farming L's.
[94.72s -> 98.68s]  Yeah. It's alright though.
[98.68s -> 104.82s]  Is it hibiscus?
[104.82s -> 106.82s]  It's raspberry zinger.
[106.82s -> 109.32s]  It's the celestial brand.
[109.32s -> 111.62s]  It's good.
[111.62s -> 113.62s]  I think it's hibiscus, rose,
[113.62s -> 117.27s]  petals,
[117.27s -> 122.77s]  some other stuff.
[122.77s -> 124.77s]  It's good. It doesn't need anything.
[124.77s -> 126.77s]  Don't put sugar in it. Don't put anything in it.
[126.77s -> 128.77s]  It's just good. It just tastes good.
[128.77s -> 135.67s]  Raspberry zinger.
[135.67s -> 138.48s]  House Flipper came out
[138.48s -> 142.07s]  with an update, as you know.
[142.07s -> 144.07s]  Anytime House Flipper gets
[144.07s -> 146.07s]  a major, major update.
[146.07s -> 148.37s]  I am there day one
[148.37s -> 150.80s]  playing it. Hour number one.
[150.80s -> 153.68s]  This DLC released
[153.68s -> 155.68s]  two or three weeks ago.
[155.68s -> 158.95s]  So I missed it by a little bit.
[158.95s -> 163.04s]  But it's alright. We're good.
[163.04s -> 167.33s]  Are you going to make a Family Guy house again?
[172.20s -> 181.20s]  Well, build your own farm.
[181.20s -> 184.34s]  Fake fan.
[187.41s -> 189.41s]  Every time I restart
[189.41s -> 191.41s]  House Flipper,
