[37.37s -> 39.17s]  Hello, everyone. Hello.
[39.57s -> 42.65s]  Hi. He's alive.
[43.83s -> 46.79s]  Yeah. Yeah.
[51.15s -> 54.90s]  Welcome back. Been gone for a little while.
[57.09s -> 68.02s]  Been a little busy, but, you know, those of you that saw all the streamer awards was there in Los Angeles.
[69.02s -> 70.78s]  Ooh, he was in L.A.
[74.10s -> 78.26s]  I always feel like that's such a, I don't know, those of you that live in L.A.
[78.86s -> 83.02s]  You just live in L.A., but those of us that visit L.A., it's I went to L.A.
[83.50s -> 84.94s]  Yeah, I was in L.A.
[85.34s -> 86.46s]  Cool. Isn't that cool?
[87.34s -> 90.38s]  It's like a cool thing to go do for people that don't live there.
[93.03s -> 95.91s]  Every time you tell somebody you were in L.A., they go, really?
[97.10s -> 98.54s]  Los Angeles, California.
[99.34s -> 100.78s]  Yeah. Wow.
[101.94s -> 107.35s]  Really? No one lives there.
[108.88s -> 114.24s]  That would be weird considering it's one of the most populated cities in the entire country of the United States.
[115.08s -> 117.16s]  That'd be interesting. What you said is true.
[126.54s -> 128.30s]  But yeah, it was a great weekend.
[130.12s -> 134.16s]  Took a little bit of time. I probably will take a little bit more time, if I'm honest with you.
[135.32s -> 138.24s]  Not right now, obviously, but we'll go for the week.
[141.46s -> 143.66s]  Yeah, I'm just turning the stream on just to be like, hey, what's up?
[143.66s -> 147.04s]  And then I'm out of here. I'm kidding. Stop.
[148.47s -> 150.51s]  Please address the goblin picture.
[152.39s -> 154.23s]  I know there's a lot to address.
[161.13s -> 168.87s]  I kind of had one of those moments where with the thing picture and
[169.59s -> 171.11s]  it's like, no, that's not real.
[171.55s -> 173.75s]  That's not a real picture of a person.
[173.83s -> 175.03s]  That's not a picture of me.
[179.42s -> 180.10s]  But it is.
[183.17s -> 184.37s]  If you'd. All right.
[184.37s -> 189.29s]  Let's let me just talk about the close up Ren and Stimpy detailed spongebob picture.
[191.25s -> 194.01s]  Or, you know, I've seen a lot of people, I've seen a lot of takes on it.
[194.69s -> 205.61s]  The CEO rushing out of the courtroom with all the bodyguards trying to get into a limousine to avoid the interviews and the news cameras because of the scandal that they are involved in.
[206.79s -> 219.88s]  I've heard it all, seen many of them, but yeah, I don't take.
[219.88s -> 222.48s]  OK, you guys already know this.
[222.84s -> 225.16s]  I don't take good pictures.
[225.52s -> 227.64s]  I never have and I never will.
[228.52s -> 235.28s]  When a photo was taken of me, my face morphs into something else.
[235.28s -> 236.68s]  It's not even my face anymore.
[238.52s -> 240.76s]  Me on video versus me in pictures.
[241.66s -> 245.50s]  It's almost like it's two completely different people that I've never gotten it.
[245.50s -> 246.26s]  I mean, it doesn't make sense.
[250.58s -> 252.86s]  You can't take a picture because it's his true form.
[252.86s -> 254.98s]  He morphs. He doesn't want you to see his true form.
[254.98s -> 256.30s]  You're literally Bigfoot.
[262.74s -> 267.14s]  I have my face is really angular, too, like it just depends on what angle you take it from.
[267.14s -> 269.50s]  You got a bunch of flash in the face, right?
[270.56s -> 272.08s]  It's all good. I think it's funny that I'm here.
[281.94s -> 282.98s]  I have a pointy face.
[282.98s -> 284.14s]  Yeah, I kind of do.
[286.67s -> 289.67s]  It doesn't also help that I don't even know what I was.
[289.91s -> 291.39s]  It almost sounds like I'm leaning.
[291.83s -> 295.11s]  It looks like I'm leaning in, pointing at my ear.
[296.62s -> 298.46s]  Saying, could you say that again?
[299.26s -> 301.78s]  Like I didn't hear what the person said.
[301.78s -> 302.38s]  I don't know.
[306.26s -> 307.22s]  But yeah, it was a good day.
[307.38s -> 308.02s]  It was a good weekend.
[310.42s -> 314.22s]  That legacy award is something I honestly had no idea was happening.
[316.29s -> 323.19s]  It's kind of funny because I started to understand what was going on when the two
[323.19s -> 328.35s]  camera guys started leaning down in front of the table we were sitting at and like
[328.55s -> 332.35s]  rack focusing the camera directly in front of me, like on my face.
[332.95s -> 333.91s]  Like just right in front of me.
[333.91s -> 335.35s]  And I'm like, why is this person here?
[335.99s -> 340.75s]  This person is literally focusing like I can see them moving the dial and they're
[340.75s -> 342.39s]  right in front of me. Why are they here in front of me?
[348.34s -> 349.50s]  So it's really cool.
[349.50s -> 354.18s]  I don't, you know, obviously there's a lot of people in the streaming world and in
[354.18s -> 357.86s]  the content creation world that deserve that award.
[358.91s -> 361.71s]  I'm just surprised and shocked that it was me.
[362.15s -> 363.11s]  There's a lot of other people here.
[368.55s -> 370.71s]  I wish I could tell you more.
[371.03s -> 372.23s]  I wish I could say more.
[374.47s -> 380.35s]  But people have been incredibly nice to me, incredibly supportive to me for a decade.
[380.47s -> 386.53s]  More than that. And a lot of times I look at it and I kind of, I don't know, it's
[386.53s -> 387.61s]  like, do I deserve it?
[388.45s -> 391.77s]  I don't know. It's a weird feeling sometimes.
[394.42s -> 399.58s]  But I really do hope that whoever's here, whether you started watching 10 years ago,
[399.58s -> 401.94s]  12 years ago, or you found the channel a month ago.
[403.11s -> 405.62s]  Cool. I hope you'll like it.
[406.14s -> 407.14s]  That's all I care about.
[410.95s -> 414.59s]  Other streamers have come up and said a lot of really nice things that it was, it was
[414.59s -> 417.89s]  really, I just hope, I hope people like it.
[418.01s -> 418.81s]  That's all I care about.
[419.65s -> 424.58s]  And the thing about like other streamers, too, there's a lot of really, really funny
[424.58s -> 427.70s]  people, really, really interesting people that do this.
[428.63s -> 433.63s]  And I kind of want to make sure they understand that they are fucking awesome.
[434.45s -> 436.49s]  There's lots of really cool people in this space.
[438.21s -> 444.06s]  And although I don't get a lot of opportunity to tell them that, I hope I could this
[444.06s -> 469.17s]  past weekend. I met people that I watch that say things to me about like how I'm
[470.23s -> 474.84s]  awesome at what I do, but they are, too.
[477.31s -> 478.47s]  They really fucking are.
[488.10s -> 489.58s]  Dude, just cry already.
[489.62s -> 492.10s]  I knew when I turned this, I was waiting to turn the stream.
[492.10s -> 494.26s]  I was like, fuck, man, I'm going to talk about those that are going to cry.
[495.02s -> 502.14s]  No, I'm good. But yeah, I want to make people aware that there's a lot of other
[502.14s -> 504.74s]  people that do really interesting things, and I want them to know that, too.
[505.90s -> 509.46s]  Especially the people that I've watched that I have seen lots of their content before.
[510.46s -> 513.42s]  And it's funny because people are almost surprised when they hear that I've seen
[513.42s -> 514.26s]  some stuff that they do.
[515.26s -> 516.62s]  Like, wait, what? How?
[516.66s -> 518.10s]  You've never seen me. What are you talking about?
[519.02s -> 521.62s]  Yeah, I have. And what you do is fucking cool.
[529.06s -> 531.93s]  But anyways, it was a it was a great weekend.
[533.36s -> 535.12s]  He's always watching.
[541.64s -> 543.64s]  Tony said, you're the you do you guy.
[546.74s -> 547.66s]  But it's true.
[547.70s -> 551.78s]  There's a lot of people that should be recognized that are doing amazing things.
[562.26s -> 563.94s]  It's time for a staring contest.
[571.89s -> 573.37s]  Who is your successor?
[575.94s -> 577.42s]  There is no successor.
[577.42s -> 580.66s]  There are tons of people that are already doing their own thing very well.
[581.54s -> 583.22s]  Nobody has to succeed me.
[583.22s -> 584.66s]  I don't I don't like that.
[584.66s -> 587.66s]  It's that's weird. That's a weird thing to think about.
[591.32s -> 593.36s]  Yeah, I saw the Bill Clinton kid, too.
[593.40s -> 594.20s]  That was interesting.
[596.58s -> 597.94s]  At first, I didn't know what was going on.
[597.94s -> 599.54s]  I was really tired after the awards.
[600.66s -> 603.33s]  And I was just kind of like, you know,
[603.33s -> 607.73s]  had a couple of drinks and he kind of leaned in.
[607.73s -> 610.33s]  He was like, hey, he was trying to get me to talk into the camera.
[611.25s -> 613.85s]  And I think I was like, oh, yeah, what I'm going to do is I'm going to go
[613.85s -> 616.13s]  and I'm going to get a massage.
[616.49s -> 618.01s]  I was just saying words.
[618.01s -> 621.48s]  I don't even know if they were.
[621.48s -> 630.69s]  I go to like fucking talking about
[630.69s -> 631.89s]  it was a vodka pineapple.
[631.89s -> 642.82s]  Yeah, Bansley interview.
[642.82s -> 644.06s]  That's right. I did.
[644.06s -> 646.62s]  I need to like think of other things to talk about
[646.62s -> 649.31s]  when I have nothing really to talk about.
[649.31s -> 652.15s]  You know, the drink of choice is a vodka pineapple.
[652.35s -> 653.47s]  Yeah, it's very clean.
[653.47s -> 655.63s]  It's like, is there anything else you could talk and the gorillas?
[656.07s -> 658.87s]  Oh, yeah. Plastic Beach is my favorite album.
[660.27s -> 662.02s]  OK, dude.
[662.02s -> 667.05s]  What else do you have anything else to say to anybody? Yeah.
[673.85s -> 676.61s]  We all have the things that we default to, I think.
[681.56s -> 683.76s]  Plastic Beach, really basic.
[685.23s -> 686.23s]  I like Plastic Beach.
[686.23s -> 688.33s]  I think Plastic Beach was hold on.
[688.33s -> 695.21s]  Don't say that easy.
[695.21s -> 700.73s]  I don't say that the Demon Days fans are going to be very upset with me.
[704.45s -> 708.05s]  I think they're both equally fantastic albums.
[713.06s -> 718.79s]  They go. Yeah, there's not too much more to say.
[718.79s -> 721.27s]  I'm just overwhelmed with the support that people give me.
[722.84s -> 726.54s]  And I just hope it's worth it.
[726.54s -> 729.61s]  I think about it every single day.
[729.61s -> 732.73s]  How to improve stuff, how to be funnier, better.
[734.74s -> 736.98s]  But I don't want to get too much in my own head, though,
[736.98s -> 739.62s]  because I think that's where you get into trouble.
[739.62s -> 742.14s]  Because I told you before that I got to be funnier.
[742.14s -> 743.70s]  I've got to be better. I've got to be faster.
[743.70s -> 744.82s]  I've got to be stronger.
[744.82s -> 747.34s]  I've got to. At some point, you end up flying into the sun.
[747.66s -> 749.31s]  And I don't want to do that.
[749.31s -> 752.11s]  Part of the reasons for telling you guys that this year was going to be
[752.31s -> 754.71s]  a little slower was because of that.
[758.74s -> 765.06s]  And then some. So, dude, just keep doing you.
[765.46s -> 768.62s]  Exactly. Exactly. You get it.
[772.86s -> 774.26s]  I mean it, though, I really do.
[774.26s -> 777.53s]  I really do. I promise you do.
[777.53s -> 787.75s]  That's hey, I'm telling you, it's true.
[787.75s -> 790.27s]  There's been people that have been here for a decade.
[790.27s -> 793.49s]  And I don't know.
[793.49s -> 796.27s]  It's hard to put into words, overwhelming.
[796.27s -> 797.71s]  That's why I pull out a lot.
[797.71s -> 802.35s]  That's why I disconnect so often because I need to.
[804.25s -> 806.49s]  I don't want to get too overwhelmed that I end up.
[807.65s -> 810.41s]  All right. I pulled back from the Internet.
[810.41s -> 811.37s]  All right. That's what I was trying to say.
[811.37s -> 814.41s]  I pull out from the Internet.
[814.45s -> 815.77s]  I can't. Come on. Come on.
[815.77s -> 821.14s]  Come on. Excuse me.
[821.14s -> 821.98s]  Cry on camera.
[821.98s -> 826.16s]  What if I turn the camera on was bawling for 10 straight minutes?
[832.46s -> 837.06s]  What people think that would be weird.
[837.06s -> 840.62s]  And I just I like have the I'm holding the trophy.
[841.34s -> 843.02s]  I'm holding the award.
[843.02s -> 844.30s]  It's just crying.
[844.30s -> 846.42s]  What if that's how I started this stream?
[846.42s -> 849.50s]  And then I moved on after about 20 straight minutes.
[851.15s -> 853.15s]  And then I get like I get like I look at it.
[853.15s -> 856.34s]  I like start to look at the reflection in it and stuff.
[856.34s -> 858.46s]  And I just sit there and I turn it so you can see me looking
[858.46s -> 864.66s]  in the reflection into the metal.
[864.66s -> 866.34s]  Would people leave the chance?
[866.34s -> 867.06s]  Would you leave?
[867.06s -> 868.74s]  Would you be like, all right, this is fucking weird.
[868.74s -> 871.22s]  I'm leaving this. This guy's a weirdo.
[871.74s -> 875.42s]  I don't want to really be here anymore.
[875.42s -> 879.18s]  How long into the 20 minute cry with the award in my hands
[879.38s -> 890.55s]  that before you leave this stream for hours?
[891.11s -> 894.47s]  My God. All right.
[894.47s -> 894.99s]  We can move on.
[894.99s -> 897.43s]  I just wanted to talk a little bit briefly about the streamer awards.
[897.47s -> 899.67s]  There's a lot of awesome people in this industry.
[899.71s -> 901.79s]  And I like telling people that
[902.59s -> 905.76s]  because I genuinely watch a lot of different people.
[905.76s -> 909.92s]  And I'm shocked that this many people think that I'm cool enough to
[910.04s -> 913.08s]  or nice enough or interesting enough to even just decide
[913.08s -> 915.20s]  that that's something that I should have received.
[915.20s -> 916.64s]  Shocked. I'm floored.
[916.64s -> 918.52s]  And thank you, everybody that's been here for this long.
[918.52s -> 920.68s]  Even if you don't like it, even if you fucking came here
[920.68s -> 923.76s]  and you're like, this guy sucks, this guy's not funny.
[923.76s -> 925.68s]  Thanks for checking me out in the first place.
[925.68s -> 930.80s]  I appreciate it. Thank you.
[930.84s -> 932.84s]  So now we're going to play Diablo 4 if we can
[933.04s -> 941.40s]  and not get booted in 10 minutes from the server.
[941.40s -> 943.92s]  We have a contingency plan.
[943.92s -> 948.46s]  If Diablo 4 does not work, if I get booted and can't play it,
[949.98s -> 951.78s]  some of you are going to be really excited over this.
[951.78s -> 953.86s]  And I don't even know if I want to say it,
[953.86s -> 956.26s]  because I feel like it's going to derail the entire stream.
[956.86s -> 960.13s]  And I'm just going to play D4.
[960.13s -> 964.41s]  But I do have to tell you about the contingency plan.
[964.41s -> 967.41s]  If we do get booted and there's like a 60 minute wait time,
[967.41s -> 970.13s]  I'm going to go back into the queue
[970.13s -> 971.93s]  and we're going to play Nancy Drew,
[971.93s -> 977.77s]  Mystery of the Icicle Wolf in between in the downtime.
[987.90s -> 989.98s]  By the way, I don't even know if I can capture that game.
[989.98s -> 992.30s]  I tried to three or four times and it was kind of a mess,
[992.30s -> 994.18s]  but I got it to work very briefly.
[994.18s -> 996.26s]  So we'll see if it works.
[996.26s -> 998.58s]  We're going to hit downtime in the Diablo 4 server,
[999.02s -> 1002.22s]  and it's going to take me 40 minutes to capture this Nancy Drew game.
[1003.18s -> 1005.86s]  So it might not even be worth it at all.
[1005.86s -> 1008.06s]  We're also going to talk about Grotto Beast a little bit later.
[1008.62s -> 1013.04s]  There's a couple of little things to kind of show you
[1013.04s -> 1015.49s]  or to let you know exist,
[1015.49s -> 1017.53s]  some stuff that something people have been waiting for.
[1017.53s -> 1020.42s]  So that's cool.
[1020.42s -> 1021.38s]  And I think it's time to play.
[1021.38s -> 1024.06s]  This is I don't want to say I'm excited for Diablo 4
[1024.06s -> 1026.54s]  because I told you a week or two ago when this was a thing
[1027.64s -> 1031.44s]  that I don't want to be excited for this because I refuse to be excited
[1031.44s -> 1035.80s]  over a game like this because my entire life revolved around Diablo 2.
[1036.94s -> 1041.44s]  And Diablo 3 was like, eh, is that right?
[1042.62s -> 1045.26s]  They made a bunch of improvements to it over the years,
[1045.26s -> 1047.42s]  but it just wasn't it.
[1049.89s -> 1053.05s]  Diablo Immortal came out, thought it was awful.
[1056.12s -> 1058.64s]  So Diablo 4 comes out awful.
[1059.54s -> 1061.58s]  So let I'm just I have zero.
[1061.58s -> 1066.78s]  We're going in with zero expectations. Zero.
[1066.78s -> 1069.58s]  I'm here we are.
[1069.58s -> 1073.86s]  OK, ready? Character creator.
[1073.86s -> 1075.78s]  I wanted to make sure I was in the game,
[1075.78s -> 1077.66s]  so I had to kind of get into the character creator
[1077.66s -> 1080.10s]  because there was a 70 plus minute wait to get in here.
[1081.43s -> 1086.74s]  I wanted to name the character internal temp, 145 degrees.
[1088.53s -> 1090.69s]  But as like, oh, yeah, like a fire character.
[1090.69s -> 1093.63s]  I don't know. I mean, this is Sorceress.
[1093.63s -> 1095.63s]  We're just going to go with internal temp.
[1095.63s -> 1097.27s]  We've probably already seen the cut scene before.
[1097.27s -> 1098.19s]  You've probably already seen it.
[1098.19s -> 1101.11s]  If you haven't, then I mean, this is probably on YouTube.
[1104.38s -> 1106.70s]  145 degrees. That's that's meat, right?
[1107.06s -> 1109.06s]  Internal temperature of 145.
[1109.06s -> 1111.62s]  Is that accurate? Or is that 160, 165?
[1114.86s -> 1116.06s]  Give him a real name.
[1116.06s -> 1116.98s]  It's the best.
[1116.98s -> 1119.78s]  This character is going to get deleted probably in three days.
[1120.06s -> 1123.98s]  What do you mean? It needs to be a real name.
[1123.98s -> 1126.46s]  This guy is getting deleted, probably.
[1127.68s -> 1130.63s]  It's 145, isn't it? All right, let's go.
[1130.91s -> 1133.07s]  I am not excited.
[1133.59s -> 1135.76s]  Don't get excited ever.
[1135.76s -> 1137.76s]  Just let's start at zero. Here we go.
[1137.76s -> 1145.90s]  You ready? I mean, it's this one, right?
[1146.65s -> 1148.14s]  World tier.
[1148.14s -> 1149.58s]  This may be changing anytime for the characters.
[1149.58s -> 1151.98s]  So, OK, this is like normal nightmare hell.
[1152.14s -> 1156.45s]  Imagining enemies are more challenging, more experience.
[1156.45s -> 1159.20s]  I mean, we're doing this one.
[1159.20s -> 1162.59s]  Hey, here we go.
[1162.59s -> 1174.71s]  I'm not. I don't get excited.
[1174.71s -> 1179.39s]  Come on. Sanctuary was never meant for humankind.
[1179.43s -> 1180.79s]  It's all right. I'm not.
[1180.79s -> 1183.91s]  It was forged as a refuge from the war
[1185.48s -> 1188.02s]  and the burning hells.
[1188.02s -> 1193.40s]  Instead, it became a new battleground in this eternal conflict.
[1194.62s -> 1199.94s]  A secretive group called the Haradrim has kept mortal safe.
[1201.23s -> 1205.75s]  But now this once powerful order is a husk of what it was.
[1206.75s -> 1209.87s]  And centuries, ancient creators have returned
[1210.31s -> 1213.35s]  to claim the hearts of humankind. All right.
[1215.18s -> 1218.38s]  This is the story of their downfall.
[1232.65s -> 1233.85s]  It's Decker Cane in this game.
[1233.85s -> 1251.45s]  Tell me it's Decker Cane in the game.
[1251.45s -> 1253.53s]  I just jump scared to shitload of people.
[1253.53s -> 1264.72s]  I'm sorry. Well, it's a cut scene.
[1264.72s -> 1268.62s]  What am I even doing here?
[1268.62s -> 1271.90s]  Decker Cane. If you didn't play Diablo 3, let me tell you something.
[1271.90s -> 1274.98s]  Decker Cane. Something happens to him in the third game.
[1278.09s -> 1285.21s]  Oh, that's me.
[1285.45s -> 1287.57s]  That's not my computer.
[1289.70s -> 1291.94s]  I thought I was telling me my computer was overheating.
[1299.04s -> 1300.36s]  How did I forget that already?
[1300.36s -> 1302.84s]  I need to drink some fucking water. Jesus.
[1302.84s -> 1338.10s]  All right. What are the controls?
[1338.10s -> 1356.23s]  Oh, I am so excited. I don't even care.
[1356.39s -> 1358.95s]  If this game sucks or whatever, I'm here.
[1363.75s -> 1366.23s]  I just want to collect loot on the ground and have a go.
[1366.23s -> 1371.04s]  Wiggle, wiggle, wiggle, wiggle.
[1371.04s -> 1372.96s]  His internal temperature is way too low.
[1374.30s -> 1394.52s]  True. The only dialogue we've had this whole cut scene
[1394.52s -> 1396.56s]  has been gasping and heavy breathing.
[1399.12s -> 1404.37s]  Oh, I should find better shelter before I freeze.
[1405.62s -> 1411.76s]  OK, well, I'm going to give you my initial assessment here.
[1412.44s -> 1416.99s]  How far can I pull the camera out?
[1416.99s -> 1423.46s]  OK, melee range is very big.
[1425.91s -> 1433.82s]  Oh, a fine shelter in a nearby town.
[1433.82s -> 1438.90s]  OK, let's go. So I'm a I'm a sorcerer.
[1440.18s -> 1445.13s]  Melee range is not melee.
[1445.13s -> 1448.65s]  I guess. It's like a little.
[1449.85s -> 1453.33s]  What is this? Oh, it's just a that's just attack.
[1456.51s -> 1459.75s]  OK, you're going to do face cam.
[1459.75s -> 1462.43s]  I'm doing I'm only doing face cam for like the first 10 minutes.
[1463.95s -> 1465.67s]  It's just game viewership.
[1465.67s -> 1467.23s]  And then it's going off.
[1476.36s -> 1481.42s]  Oh, OK, I don't want to hold all.
[1481.42s -> 1484.74s]  All right, I'll tell you that my initial reactions to the one swing,
[1484.74s -> 1490.10s]  the few swings on enemies and stuff, I love it.
[1490.98s -> 1494.10s]  Well, hold on. No, no, no. Wait, wait, wait, wait.
[1494.10s -> 1496.30s]  That's a weird way to say that.
[1496.30s -> 1498.58s]  So one thing that they added in this game that I don't know if, you know,
[1498.58s -> 1500.94s]  you could turn it off in Diablo three.
[1500.94s -> 1503.02s]  You're probably noticing that every time I attack an enemy,
[1505.10s -> 1507.30s]  they don't light up like a Christmas tree.
[1509.51s -> 1513.35s]  I'm so glad that I can turn that off.
[1513.35s -> 1516.19s]  I don't know why we decided to put that in in games.
[1516.75s -> 1519.15s]  Like, let me I'm so glad I can just turn it off.
[1519.15s -> 1521.55s]  I hate that so much.
[1521.55s -> 1524.18s]  Everywhere, things in the dark.
[1525.67s -> 1527.35s]  Keep it on now.
[1527.35s -> 1528.59s]  And there's no screen shake either.
[1528.59s -> 1534.50s]  I turn that off, too. He's a wild one.
[1534.50s -> 1535.70s]  I said, is it too loud?
[1535.70s -> 1548.74s]  I think it's too loud.
[1548.74s -> 1551.22s]  What's going on here? What's it to you?
[1551.22s -> 1553.86s]  Also, and hush.
[1553.86s -> 1556.10s]  I'm sorry, Wanderer.
[1556.10s -> 1558.58s]  You've come at a difficult time.
[1559.59s -> 1563.23s]  This madman just stumbled into town and started causing trouble.
