[5.24s -> 15.18s]  Here we go. Oh man, that was not a good idea.
[15.18s -> 20.06s]  Hey, this is gonna take me like five minutes to do this.
[20.06s -> 24.62s]  No, actually I'm... timer. Let's see how long it takes me to clear this room
[24.62s -> 28.86s]  because I kind of have to because look at all the stuff you get.
[28.86s -> 34.54s]  This is ridiculous. This is gonna take me like 15 minutes to do this,
[34.54s -> 41.59s]  isn't it? I don't know. Alright, so here we are guys.
[41.59s -> 46.55s]  You want to talk about value of an item early? Oh my god.
[46.55s -> 50.87s]  If you get card against humanity and you have a room that is this big,
[50.87s -> 54.07s]  a big room like this, and you go in and you use it,
[54.07s -> 57.94s]  I don't even know how much money is on the ground here and how many
[57.94s -> 61.70s]  like spirit hearts and evil hearts. Like, let's find out.
[61.70s -> 65.14s]  Ready? Look at the timer too. I only used two bombs.
[65.14s -> 67.94s]  This took me like seven and a half minutes. Let's see. Ready? Look at the
[67.94s -> 71.72s]  counter. There's like dimes in here and stuff.
[71.72s -> 76.47s]  Like, I'm gonna break the game. Can you go past 99?
[76.47s -> 81.61s]  Because I'm going to. Like, really. Hey, what is going on everybody?
[81.61s -> 85.69s]  Jirba here with the Binding of Isaac Rebirth.
[85.69s -> 90.81s]  This is the reimagining and redoing of the Binding of Isaac.
[90.81s -> 95.05s]  It's now on Steam. I'm sure you've probably heard of this game by now.
[95.05s -> 100.01s]  It's pretty popular. It's become a somewhat cult phenomenon.
[100.01s -> 103.13s]  This game has been over the last couple of years with good reason.
[103.13s -> 106.49s]  Because it's fun, it's really interesting, and it has a lot of replayability. I
[106.49s -> 109.22s]  think I put somewhere around a hundred hours or two
[109.22s -> 113.61s]  hundred hours or so into the last Binding of Isaac game.
[113.61s -> 117.21s]  And this is not a sequel. So this is just the read.
[117.21s -> 121.59s]  Ooh, already right off the bat. We got a robo baby.
[121.59s -> 125.67s]  So I really don't think I need to explain what this game is.
[125.67s -> 130.17s]  Because a majority of us all know what it is. It's just a better version of the
[130.17s -> 133.29s]  Binding of Isaac. With a ton of extra stuff and a bunch
[133.29s -> 137.91s]  more content. And I'm playing as Sampson, who is an unlockable character.
[138.23s -> 141.03s]  I don't know if this was a good idea for me to do this or not because I'm
[141.03s -> 145.48s]  not particularly great with the low damage characters, but he gets this thing
[145.48s -> 148.44s]  called rage where the more you hit people, the more you go
[149.00s -> 152.01s]  and you see, for instance I'm getting hit already.
[152.01s -> 156.17s]  Jerma just talks and then just gets hit by enemies that are incredibly easy to
[156.17s -> 159.48s]  dodge. It's time to happen again. I told you.
[159.48s -> 163.98s]  Told you! Alright, but I'm going for a mom killer, I'm going for a heart
[163.98s -> 167.82s]  kill. And let's hope we can get that in this live session, because that's what
[167.82s -> 172.18s]  this is. I'm just recording the game. Maybe I'll
[172.18s -> 207.80s]  make a bunch of- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm
[207.80s -> 242.04s]  I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm- I'm
[242.04s -> 245.98s]  Actually, wait, hold on a second. Hold on. Just a second here
[246.68s -> 253.13s]  Just a second. I can't believe that fly was hitting me. I really can't believe it
[254.10s -> 257.84s]  Famine. All right, time to be quiet because Jerma can't talk and play games at the same time
[262.44s -> 267.47s]  This guy's not bad. He just spawns the flies and I've got technology, baby
[267.89s -> 274.25s]  So this should go fairly well and I have rage as you can see my character is getting even angrier at the situation at hand
[274.63s -> 276.25s]  So he does more damage
[276.25s -> 285.22s]  There we go. Okay things are back on track as they say and I got the bandage which if you remember from the last game
[285.34s -> 288.14s]  This is the super meat boy
[288.66s -> 297.53s]  Equivalent of it being bandage girl. So let's go. Mmm spiders spiders
[298.05s -> 301.22s]  Damn it when I play this game
[301.22s -> 305.79s]  I feel like I need to have a swear jar because when I'm not recording if that just happened right there
[305.79s -> 311.23s]  I would have been like fuck so I need to open up like a swear jar fund
[311.25s -> 319.97s]  Like donate it to charity or something. What's going on? What the fuck is happening right now? What is going on?
[320.21s -> 324.29s]  What the hell was that? He's so
[325.35s -> 334.45s]  All right, that was odd. Why did my game just speed up by like three times? Ooh, I will take that money
[334.45s -> 343.67s]  I really don't know what the hell was that. I'm gonna like watch that back and probably throw up
[346.31s -> 353.85s]  Don't get hit by the easiest enemy. Come on now secret room could be up there, but I'm not gonna do it
[353.85s -> 358.91s]  I don't want to see what else I potentially can do in these other rooms
[359.19s -> 366.82s]  Okay, I like how I can see how long this video is so far four minutes. All right, speed it up
[366.82s -> 370.46s]  Let's go. You gotta get to them. We gotta get a mom's heart in like ten minutes
[370.46s -> 372.33s]  It's not gonna happen
[372.33s -> 377.30s]  I do want to keep those guys locked in over on the right because I don't want to open that up
[377.38s -> 383.76s]  Because once that opens the other guy will run out and make my day very very bad. I don't want a bad day
[383.76s -> 390.78s]  I want a good day. Damn it. Can you can that go through rocks? No, I guess not. I
[392.19s -> 399.12s]  Guess not. Okay, you are now free. I have 99 bombs. What are you doing? Just blow them up
[399.38s -> 404.97s]  Did I like forget that I had 99 bombs and you know
[404.97s -> 406.97s]  I thought for a second because I was talking I thought that was
[407.21s -> 412.63s]  The blast damage one not the actual 99 bombs one, but that should get rid of all of them
[412.63s -> 422.68s]  It does. All right secret room hunt time. I'm gonna say it's right here. Nope. I was wrong. No, it must be down here
[422.68s -> 431.55s]  Oh, I don't know actually it's to happening again. What is going on?
[432.05s -> 442.32s]  Why is my cave doing that? Do I have like a some messed up item that's doing this? I have technology
[442.32s -> 447.54s]  I have the T or Samson rage the bombs and the
[448.38s -> 459.29s]  Bandage something's going on here. Something is aloof because I don't have an answer to that. Ah
[466.65s -> 470.11s]  I don't know how to stop this
[470.11s -> 474.44s]  I
[482.01s -> 483.53s]  Don't know what to do
[483.53s -> 490.47s]  You know what? I think is actually going on right now guys cuz I'm running the games running at 120 frames
[490.67s -> 492.39s]  It's now back down to 60
[492.39s -> 496.32s]  It is speeding my game up when my frames per second go up
[496.40s -> 505.41s]  What on earth that happening at random times during when I need to dodge some of these harder boss fights is
[505.67s -> 507.97s]  Is not gonna be good
[508.45s -> 510.37s]  It's not gonna be great
[510.37s -> 518.04s]  It actually might get me killed but whatever we're just going to let it just do that. I guess
[518.56s -> 528.23s]  We'll see if it happens again. I'm gonna assume it's gonna happen again. Cuz why wouldn't it? It's happened like four times now, damn it
[530.40s -> 533.76s]  I can't whistle fun fact guys. I don't know how to whistle
[534.24s -> 543.71s]  I've tried to learn many times and it just never has happened. What is this matchbook evil up? Okay
[544.99s -> 546.67s]  So from my understanding
[546.67s -> 553.68s]  The evil stat in this game is the more evil you have the more chance you're gonna spawn a devil room
[553.68s -> 558.09s]  I believe I think let me just take a sip of my iced coffee and then maybe that maybe I'll figure it out that way
[558.09s -> 564.34s]  Yeah, yeah, it's the more evil you have the devil rooms will spawn
[564.82s -> 569.75s]  More or something and I guess you can get evil points by doing evil things
[570.15s -> 576.05s]  Like if you blow up the beggar, I think that gives you evil points. These are just think I don't know
[576.43s -> 582.80s]  There's a whole lot of secrets in this game as all of us are aware and I don't know like
[584.00s -> 587.24s]  75,000 percent of them. I only know a few things. I don't have very much stuff unlocked
[587.24s -> 594.26s]  I have I think I've only beaten the game like three or four times and now we're in super fast super speed mode
[594.26s -> 600.71s]  And what do I want now? I'm gonna blow both these so I can get the key
[600.71s -> 609.05s]  I apologize if that's like off-putting maybe it's because I'm recording in 60 frames a second or something
[609.11s -> 613.61s]  Maybe you know what? I'm gonna hold on a second
[613.61s -> 620.58s]  I'm gonna try to like fix this 60 what happens if you record a 60 frames per second video on YouTube and then it goes
[620.58s -> 628.79s]  To 30 frames per second halfway through the video. Is that gonna like break? Is my like channel gonna explode? I have no idea
