[0.00s -> 1.52s]  Wait, talk. I don't think people can hear you.
[3.02s -> 5.38s]  Oh shit, talk. I don't think people can hear you.
[7.86s -> 16.02s]  And I have one of those too. Oh shit. I don't think people can hear you. Oh shit. I don't think I can do that too. Oh shit. I don't think people hear you.
[18.28s -> 19.04s]  It didn't do anything.
[19.50s -> 26.92s]  No, I didn't miss it. I didn't. I'm here. We're here. I know you're here. I'm just, you know, I just, this was my big break.
[26.92s -> 28.92s]  Xbox and
[29.24s -> 32.40s]  All right, look hold on I got I got how do I turn this down?
[32.40s -> 37.40s]  Both of them so much individually and I'm really curious to see what that I'm here
[38.36s -> 41.28s]  They and how different it might be from pretty much in the wrong place
[45.28s -> 49.64s]  60 seconds see you don't ever go to the movie with the previews are on
[50.20s -> 55.00s]  Well, I really need to see the Gemini man trailer like ten more times. I've already seen it
[55.68s -> 62.10s]  This is the same amount of time when we travel together like how much time was left in boarding
[63.16s -> 65.16s]  Yeah, you get right on the plane
[66.12s -> 68.81s]  You get right on the plane
[70.81s -> 75.69s]  Get to the terminal fucking like two hours early. No you get right on the plane
[76.81s -> 78.81s]  Yeah, but what about?
[80.01s -> 81.13s]  Hillary's email
[81.13s -> 87.15s]  What about the people that don't know that you were gonna stream and come in late and then okay on my stream
[88.49s -> 94.33s]  We've got a no chatter left behind policy and if you don't start early you're leaving people behind who didn't know
[94.33s -> 110.33s]  No, they were here. No early
[111.73s -> 116.53s]  What do you know? How do I do it? What's fun? I'm gonna talk during the cut
[116.53s -> 119.77s]  I have to meet I have to be able to deafen you during the big reveal of Elden Ring
[119.77s -> 124.09s]  Okay. Well, you've got you've got 60 seconds to figure out how to do it. All right, let me figure it out
[124.09s -> 126.09s]  I have to tweet that I'm here. I
[127.05s -> 131.41s]  Got a tweet. I can tweet my mother that like we're about to get on the plane. Okay. Yeah, I
[132.25s -> 134.62s]  Got a I got a story for you, by the way
[135.66s -> 140.58s]  Just I don't know why I was late. I have a lot that I wanted to talk to you about but I don't really have the time
[140.58s -> 144.50s]  We got the after show. That's what that's for. We sit and we talk about our what our thoughts were
[150.78s -> 152.78s]  Yeah
[152.78s -> 156.58s]  Well, not dead silent you can like coffins they make like old man noises
[160.10s -> 162.10s]  Seats on the plane
[166.60s -> 170.44s]  Anyways, hi guys. Welcome to e3 shows gonna begin at 55 seconds
[175.70s -> 178.08s]  Yeah, I got to turn you up this down
[178.74s -> 190.38s]  Yeah, what do you guys want to hear more?
[190.66s -> 199.36s]  What if I did it? Okay. All right. I got it. What do you guys want to hear more me and stars hood?
[199.36s -> 203.86s]  Larry is banter. We're like I want to hear they want to hear
[204.34s -> 208.70s]  What is the future of gaming with more ways to play than ever before?
