[5.50s -> 9.48s]  Is it? It is.
[9.48s -> 12.92s]  My dad had over 100 hours in that game, he'll crush you.
[12.92s -> 13.88s]  I'm sure it's fun.
[14.76s -> 18.36s]  The online play probably takes it up a whole another letter grade or two.
[18.36s -> 21.24s]  I would say. At least.
[21.24s -> 24.18s]  Black screen, it is.
[24.18s -> 26.65s]  Yes, it is.
[29.24s -> 30.52s]  Okay, you guys ready?
[30.52s -> 34.42s]  All right, what do we got here? Let's see.
[40.12s -> 41.56s]  I did a couple of these already, as you see.
[41.56s -> 43.40s]  This one's five by five, let's just go for it.
[44.12s -> 44.84s]  It'll be simple.
[45.72s -> 48.20s]  It's just gonna be simple.
[49.08s -> 50.63s]  Use the hint roulette.
[50.63s -> 51.13s]  No.
[52.01s -> 56.67s]  Okay, so how does this work?
[56.67s -> 57.63s]  Well, with the controller.
[58.19s -> 58.99s]  How do I like move?
[61.58s -> 63.18s]  How do you move?
[69.24s -> 79.02s]  Uh, is this the stick?
[79.02s -> 80.94s]  Okay, left stick is select because this is...
[80.94s -> 82.06s]  Okay, that's up?
[82.06s -> 82.56s]  Maybe.
[83.66s -> 84.46s]  Right?
[84.46s -> 84.96s]  No?
[85.74s -> 87.21s]  Touch the screen.
[87.21s -> 90.33s]  It is a screen touch game, but I have a controller, so I wonder how this works.
[91.53s -> 92.25s]  Push in the stick?
[93.05s -> 95.04s]  This is a touch only game.
[96.00s -> 99.04s]  I have to touch the TV.
[100.64s -> 102.08s]  The d-pad does the same thing.
[102.08s -> 102.58s]  Hold on.
[103.28s -> 107.29s]  Oh, here we go.
[110.38s -> 110.88s]  Yes.
[113.37s -> 113.87s]  Uh...
[115.79s -> 116.51s]  How do I do this?
[118.89s -> 120.62s]  Hint roulette.
[120.62s -> 121.18s]  Navigation.
[121.90s -> 123.45s]  Auto-correct mistakes.
[124.09s -> 124.81s]  Also controls.
[124.81s -> 125.45s]  Input mode.
[125.45s -> 126.25s]  Touch.
[126.25s -> 126.49s]  Buttons.
[126.49s -> 126.97s]  There we go.
[127.69s -> 130.06s]  I think that's good.
[130.70s -> 132.52s]  All right, we're good.
[135.55s -> 136.59s]  There we are.
[136.59s -> 137.79s]  All right, very cool, very cool.
[137.79s -> 138.59s]  Okay, so here we go.
[139.23s -> 141.31s]  Those who don't know how to play Picross.
[142.67s -> 143.71s]  Watch and learn.
[143.71s -> 149.21s]  It's about marking stuff down.
[151.10s -> 152.30s]  I actually can't even describe it.
[152.30s -> 153.82s]  My brain's like really slow today.
[154.54s -> 156.38s]  All right, let me explain it.
