[0.31s -> 13.78s]  Hey, what is going on, everybody? Jerma here with a Team Fortress 2 gameplay commentary.
[13.78s -> 19.58s]  And tonight, I'm gonna be playing as the Scout. And this is gonna be a kind of a special Scout video.
[19.58s -> 22.58s]  And not so much special in the sense, I mean, the gameplay is pretty good.
[22.58s -> 29.58s]  But it's my first really tip video for the Scout. I've done one or two of these before, but I never really went into that much detail.
[29.78s -> 34.78s]  So this is gonna be a detailed look at how I play Scout and why I do the things that I do.
[34.78s -> 43.34s]  So really before we get into this at all, I gotta preface this by saying I am not the most fantastic Scout player in the world.
[43.34s -> 51.34s]  I am not like a competitive Scout player. I can only give you the advice that I've learned by experimenting and by just playing in pubs.
[51.34s -> 58.51s]  So I guess take this video with a grain of salt, I guess, because like I said, I'm not a comp player. I never plan on being one.
[58.71s -> 62.71s]  But this is just for the new guys, some of the people that are trying to improve their Scout game.
[62.71s -> 68.19s]  And I'll start off by saying this. Sensitivity does not really matter.
[68.19s -> 74.43s]  A lot of people will ask, Jerma, what is the sensitivity plate to play on on Scout? Do I need a certain sensitivity?
[74.43s -> 77.43s]  And in general, the answer to that question is always gonna be no.
[77.43s -> 84.43s]  You don't have to have some secret magic sensitivity to play any of the classes or to play Scout more specifically.
[84.63s -> 95.00s]  So instead of asking what a sensitivity you should play on, you should find a sensitivity that you're comfortable using and stick with it and never change it.
[95.00s -> 98.00s]  That's the number one thing. I see people do that all the time.
[98.00s -> 105.00s]  They change their sensitivity from 4.2 to 3.1 all the way up to 5.8.
[105.00s -> 112.00s]  And when you do that, you're just kind of relearning the game again because you have to read your muscle memory from your brain to your hand.
[112.20s -> 115.20s]  It has to reconfigure everything it's already learned.
[115.20s -> 120.63s]  So just grab a sensitivity that you like that you can play with all the classes and just stick with it.
[120.63s -> 131.26s]  So now I want to talk about aiming as the Scout and how to improve it and how to make your game a little more cleaner and not so crazy and, you know, ripping the mouse all over the place.
[131.26s -> 135.26s]  This is what I do as the Scout as you'll see on the screen here.
[135.26s -> 140.50s]  You want to do as little mouse movement as humanly possible when you shoot someone.
