[0.31s -> 9.95s]  Do you trade carnival?
[9.95s -> 13.51s]  Do you trade carnival? It's my favorite map.
[13.51s -> 15.51s]  You can just turn on the weird, don't you?
[15.51s -> 22.46s]  No, I have to be in the mood, don't you know? I have to be in the mood to make videos. Do you understand that?
[22.46s -> 27.41s]  I have to be in the mood. For you.
[27.41s -> 29.41s]  Hey, did you see that top comment?
[29.41s -> 33.41s]  German wants to be in the mood for starting well.
[33.41s -> 41.17s]  Look at all these snipers, dude. Oh, baby. This is how we do a little bit of shlob.
[41.17s -> 45.18s]  Wow, did you just kill a sniper who was standing still?
[45.18s -> 47.67s]  Shut the fuck up. I didn't see you kill him.
[47.67s -> 50.23s]  Yeah, because I wasn't in the game.
[50.23s -> 57.23s]  Look, I don't need to take advice from you, okay? You give terrible advice. Your advice is for the fucking birds, okay?
[57.23s -> 59.73s]  What do you mean my advice is for the birds?
[59.73s -> 65.73s]  If I was a bird, I would take advice from you. That's what I'm saying.
[65.73s -> 69.73s]  What kind of advice do you give to a bird, is what I'm saying.
[69.73s -> 75.73s]  I've never heard birds in your background before, and you just got all these birds going...
[75.73s -> 78.73s]  I've got this window open.
[78.73s -> 82.73s]  Do you want some advice for the birds? Shut your fucking window.
[82.73s -> 87.85s]  The plan is to be lob shlobs inside of their vent.
[87.85s -> 89.85s]  Do you know what that means?
[89.85s -> 91.85s]  I don't know what that means. No one knows what that means.
[91.85s -> 94.85s]  Don't get headshot.
[94.85s -> 95.85s]  Yeah, I don't know how to do that.
[95.85s -> 97.85s]  So stand right here.
[97.85s -> 98.85s]  Right here?
[98.85s -> 99.85s]  Right here.
[99.85s -> 100.85s]  Okay.
[100.85s -> 104.85s]  Oh my god, you have the worst plan.
[104.85s -> 110.50s]  There's no way they could get behind us, because we're blocking off the only entrance.
[110.50s -> 111.50s]  Yeah, we're blocking the entrance.
[111.50s -> 117.87s]  Where a lot of people are actively playing the game.
[117.87s -> 119.87s]  Welcome to the lob shlob den.
[119.87s -> 122.18s]  I can just...
[122.18s -> 127.50s]  You know that spy. That spy is going to come around for sure.
[127.50s -> 132.50s]  But there is something to be said, though. Whoever comes down this hall...
