[0.31s -> 13.38s]  Hey, what is going on, everybody? Jermaw here with a Team Fortress 2 gameplay commentary.
[13.38s -> 20.38s]  And tonight, gonna be playing as the Scout with the Soda Popper, the Mad Milk, and the Candy King.
[20.38s -> 25.68s]  So this video is gonna touch upon a couple of different things. It's always a couple things with me.
[25.68s -> 28.68s]  It's never three, never four, never one, always two.
[28.68s -> 34.68s]  The first thing is gonna be soda popper tips, and how I use this thing, and how I've gotten better with this thing.
[34.68s -> 38.68s]  And pretty much things to avoid when you do use this thing.
[38.68s -> 41.68s]  And the second thing is gonna talk about managing stress.
[41.68s -> 47.68s]  Stress in everyday life, stress in gaming. I really just stress in general in how I manage it.
[47.68s -> 51.68s]  And I guess we will touch on that first, because I'll talk about last night.
[51.68s -> 54.68s]  If you were at the stream last night, you probably know what I'm talking about.
[54.68s -> 58.68s]  I was given some codes to give away on Smite Game.
[58.68s -> 63.68s]  There were 400 gem codes, and I was given 10 of them by the fine people at Hi-Rez.
[63.68s -> 67.68s]  And what happened was I got about maybe a third of the way through the codes.
[67.68s -> 72.68s]  And I accidentally showed them on stream, and it was just bang like that. They were pretty much all gone.
[72.68s -> 79.92s]  So what I ended up saying is I said, look, if I rolled your name, and you tried to put the code in and it didn't work,
[79.92s -> 83.92s]  please let me know, and I will just buy you a gem code with my own money.
[83.92s -> 87.92s]  Because, I mean, before I go any further, I want to make this very clear.
[87.92s -> 92.92s]  When I do stuff like this, guys, I want to make sure that you actually get what I say is gonna happen.
[92.92s -> 99.92s]  It's so important to me that stuff like this does go through, and stuff like this does happen without major hitches.
[99.92s -> 104.92s]  And if it does, and that's the first point I have to make about dealing with stress and managing stress,
[104.92s -> 107.16s]  things are never gonna go according to plan.
[107.16s -> 114.40s]  Even if you have the most concrete plan that you think is never gonna go wrong, chances are it's not gonna go 100%.
[114.40s -> 116.40s]  It's not gonna go completely according to your plan.
[116.40s -> 122.40s]  And that's the first thing you need to realize when you're managing something like a stressful situation or stress in daily life.
[122.40s -> 125.40s]  Always plan for your plan to not work.
[125.40s -> 130.40s]  Now, that's pretty ironic because I just said all plans never really go according to plan,
[130.40s -> 134.40s]  so you planning for your stress to be planned is planning it.
[134.40s -> 141.40s]  It's kind of a weird oxymoron there, but still, you need to be prepared for the worst possible situation.
[141.40s -> 145.40s]  I believe it's called Murphy's Law is the actual term for that.
[145.40s -> 148.40s]  That if a situation can go wrong, it will go wrong.
[148.40s -> 150.40s]  That is Murphy's Law.
[150.40s -> 156.83s]  And when you start applying your everyday life to things like Murphy's Law, stressful situations don't really get to you.
[156.83s -> 158.83s]  They don't really make you overreact.
[158.83s -> 166.83s]  They don't make you freak out or, you know, pull your hair out because you kind of expected something like this could potentially happen.
[166.83s -> 171.83s]  And that's really what I'm getting at here is stressful situations, although they cannot be avoided,
[171.83s -> 175.83s]  they can be managed by staying calm and not freaking out.
[175.83s -> 180.83s]  Last night, if I had freaked out, like, oh, dear God, the codes are out.
[180.83s -> 183.83s]  The codes are out. Everybody get to get into Winnebago.
[183.83s -> 184.83s]  We're going to get to get it.
[184.83s -> 189.83s]  Like if I had done something like that, it would have caused a major, major problem.
[189.83s -> 192.83s]  But instead, I just was like, all right, this happened.
[192.83s -> 196.83s]  How am I going to deal with it? And then you can apply that to everyday life.
[196.83s -> 199.83s]  That's something you have to apply on a daily basis.
[199.83s -> 201.83s]  It doesn't come that easily.
[201.83s -> 203.83s]  You're going to you're going to have some freak out moments.
[203.83s -> 207.83s]  Let me tell you right now, if like if you're like your car is going off a cliff,
[207.83s -> 210.83s]  like if you're like driving down the street and you go off the highway into like a ravine,
[210.83s -> 214.83s]  it's OK to scream because that's a pretty ridiculous situation.
[214.83s -> 219.07s]  You can't just sit there and be like, well, you know, this could have happened.
[219.07s -> 220.07s]  We could have gone off the ravine.
[220.07s -> 223.25s]  Like that's not really what I'm getting at here.
[223.25s -> 231.25s]  What I'm getting at is to keep your levels of stress down by preparing for bad things to actually happen to you.
[231.25s -> 235.25s]  Always be cautious, always be optimistic and always have a backup plan.
[235.25s -> 237.25s]  Those are the three things to manage your stress.
[237.25s -> 239.25s]  At least that's how I do it.
[239.25s -> 241.25s]  And that's going to end that little topic there.
[241.25s -> 246.25s]  Just wanted to bring that up and let you guys know how I deal with situations like the one that happened last night.
[246.25s -> 247.25s]  Now let's move on to the soda popper.
[247.25s -> 249.25s]  I want to talk about this for a couple of minutes.
[249.25s -> 254.25s]  Some various tips on how to not freak out and not get stressed out when you're using this weapon.
[254.25s -> 259.68s]  So the first thing to talk about is the fact that probably the most important thing is it only has two shots.
[259.68s -> 262.68s]  And I would say the same thing about the Force of Nature as well.
[262.68s -> 265.68s]  Never just unload both shots at the same time.
[265.68s -> 272.68s]  Even if you think you're going to hit somebody with this thing, both shots, you know in your head, I'm going to hit this guy with both shots.
[272.68s -> 275.68s]  Do not jump the gun and launch out both at the same time.
[275.68s -> 281.68s]  Because if you happen to miss, if you miss the person with the second shot, you're out of luck because then you got to reload the thing.
[281.68s -> 286.86s]  And even though it reloads quite quickly, you're still not shooting somebody for a couple of seconds.
[286.86s -> 287.86s]  You still have to get back into position.
[287.86s -> 288.86s]  You still have to aim at them.
[288.86s -> 295.03s]  So it's a better idea to wait till you know you have a guaranteed boom, wait, boom.
[295.03s -> 297.03s]  You want to time it accordingly.
[297.03s -> 304.27s]  Because when you jump the gun with this thing, and believe me, I'm guilty of this myself, you end up just shooting erratically.
[304.27s -> 306.27s]  You know, like bang, bang, bang, bang, bang, bang.
[306.27s -> 308.27s]  And you're missing every single shot.
[308.27s -> 316.58s]  And if you just took the time to calm down a little bit and plant one, plant one shot, especially if you have the mini crits activated,
[316.58s -> 325.94s]  that one shot, that two shots that you actually plant on them are going to be way more effective than if you're just spamming at them erratically trying to hit them with a random shot.
[325.94s -> 332.94s]  So the second thing I want to talk about, and I will end on this, is the fact that managing the mini crits doesn't have to be that complicated.
[332.94s -> 334.94s]  You don't have to really, I mean, it's good to store them.
