[0.31s -> 14.13s]  Hey, what is going on, everybody? Jerma here with The Mighty Quest for Epic Loot.
[14.13s -> 19.63s]  Said it correct. Good, because I've been saying, like, The Mighty Epic Quest for Loot, and that's not correct.
[19.63s -> 26.13s]  It's a pretty long title, and that can be a little bit of a pain sometimes, and you try to tell people about it when you get in a conversation with somebody.
[26.13s -> 29.13s]  You're like, hey, have you heard of this game, The Mighty Quest for Epic Loot?
[29.13s -> 32.13s]  They're like, uh, what did you just say? Are you okay? Do you need to go to the hospital?
[32.13s -> 41.13s]  But no, this is an action RPG, guys, and it's one of those action RPGs that's not really classified as a 100% action RPG.
[41.13s -> 46.30s]  It's sort of a mishmash of a few different genres, which makes it really, really cool.
[46.30s -> 51.30s]  And I really hope that before I really even get into this, this is in closed beta right now.
[51.30s -> 55.30s]  It just came out of alpha, and it's in a very early beta stage.
[55.30s -> 61.30s]  So if something changes from this video in the next six months or so as they're developing the game, then that's why.
[61.30s -> 70.30s]  But I really do hope, I'm praying to Ubisoft or the guys that are making this game, I really do pray that they take this game in a direction that is fun.
[70.30s -> 76.30s]  Because sometimes games like this can really just be a money sink, and I really hope that is absolutely not the case.
[76.30s -> 81.06s]  So with that being said, we're going to talk about the actual basics of the game here.
[81.06s -> 86.23s]  And the basics of this game are you build a castle or a dungeon, whatever one you want to call it.
[87.23s -> 90.23s]  And other players come to loot it.
[90.23s -> 99.23s]  Depending on how difficult you make it, how much time you spend getting resources to create the dungeon and create the monsters, other players are going to attack it.
[99.23s -> 106.23s]  If they succeed, they take a portion of your money and your gems or your diamonds or whatever you want to call them.
[106.23s -> 109.23s]  And the thing is, you do the exact same thing.
[109.23s -> 111.23s]  There are two different phases in this game.
[111.23s -> 120.23s]  There are the defense stage, where you build your castle up for people to come attack it, and the attack stage, where you go do the same thing that I just said to other people.
[120.23s -> 128.73s]  And the really cool thing about the defense aspect of the game is, unfortunately you can't see things happen in real time, somebody attacking your castle.
[128.73s -> 136.73s]  But after they're done, you can watch a replay of them going through and doing everything, almost in real time, but not quite.
[136.73s -> 137.73s]  It's a saved replay.
