[0.31s -> 16.74s]  Why hello there everybody, Jerma here with a Team Fortress 2 uncrating unboxing extravaganza video.
[16.74s -> 23.05s]  And I'm sure you've probably seen these before, but the reason why I'm doing this, and this is all live by the way.
[23.05s -> 28.05s]  I'm not gonna open these and then talk about it later. I want to do it all live, get live reactions.
[28.05s -> 36.22s]  But the reason why I'm doing this is because I have only like 33% of my backpack left, still waiting on the last person to contact me.
[36.22s -> 43.22s]  And I thought, what a cool idea, why not just unbox a ton of crates, and if I get something amazing, I will give it away.
[43.22s -> 49.59s]  So yes, you heard that here. Hold on, wait for it. Oh my god, look at all these keys, dude.
[49.59s -> 61.50s]  40 keys, 40 crates, ranging from 24 to 42. And like I just said before, if I get an unusual out of these crates, I'm gonna give it away.
[61.50s -> 67.50s]  And we'll do some kind of live stream auction or something where I give it to somebody, but I'm not sure what I'm gonna do about that.
[67.50s -> 72.50s]  I might not even get anything good. I might get like a thousand paints or 40 paints.
[72.50s -> 79.74s]  But you get the idea. I just wanted to make this for fun, for pure entertainment value. So what do you say we get this started?
[79.74s -> 87.78s]  I am so nervous right now. I really don't, I'm so, I'm scared. Let's do it. Start with crate number 24.
[89.54s -> 98.34s]  Are you sure? No, can't. So I don't think I want to do this. No, let's do it. Here we go. I'm sure. Oh my god, what is it gonna be? What is it gonna be?
[98.34s -> 111.78s]  A strange revolver. All right, that's okay. I'm cool with that. I'm cool with that. I'm sure. Come on, unusual. Get the chant going.
[111.78s -> 125.66s]  Strange ambassador. I'm gonna get all strange spy stuff. Let's keep it rolling here. Oh my god. Come on, something good, something good.
[125.66s -> 147.02s]  Strange flamethrower. All right. Uncrating your loot. Strange power jack. Go, go, go, go. At least give me a hat. Give me something worthwhile.
[147.02s -> 155.60s]  Actually, those are worthwhile. Strange crusader's crossbow. This is good because I really do want a bunch of strangers because I had to give them all away.
[155.60s -> 167.74s]  So what better way to do it than to do it through uncrating? Strange syringe gun. We're not even half, we're not even even a quarter of the way through this right now.
[167.74s -> 179.52s]  And oh, I thought I, you know, your brain sometimes deceives you. I thought that was a hat and I was like, oh, yeah. Nope, it's not.
[179.52s -> 193.21s]  Three, two, one. Oh, two strange Jirardis in a row. You got to be shooting me. Oh, you know what that means. That means this is going to be an unusual.
[193.21s -> 201.74s]  If I get it, it's given away. Oh, actually, that's good. That's good. I want that. I really actually wanted that. So that's a good thing.
[204.64s -> 217.39s]  So the strange parts are in these ones down here, I believe. That should be cool. Oh, yeah, baby. First hat. Safe and sound. I'm cool with that.
[217.39s -> 233.11s]  That's the engineer. Yeah. Level four hat. Why is it level four? I'm sure I should know that, but I don't. 29. Let's go. Something good. Another hat.
[233.11s -> 243.67s]  Strange razorback. I am totally sure about this. It's so funny how it keeps asking you that. Like, are you sure you want to do this?
[247.54s -> 260.82s]  Let's keep opening them, baby. Not even halfway there. Oh, this is good. This actually will give me a reason to equip this because I like that weapon.
[260.82s -> 278.01s]  All right. Now we warmed it up a little bit. Now we should be seeing some cool stuff. Oh, come on, stranger. Well, that's two of them. 32. Oh, wait, what did I do?
