[0.66s -> 1.16s]  How's it going?
[3.11s -> 3.61s]  What's up?
[18.30s -> 21.70s]  Today, we're going to play Bouncing Duck Simulator.
[23.16s -> 26.94s]  Those of you that watched the Team Fortress 2 Man vs.
[26.94s -> 34.98s]  Machine stream, you would know that Poke gave us a pretty, pretty good
[34.98s -> 36.32s]  recommendation to play this game.
[38.44s -> 39.22s]  So we'll find out.
[40.27s -> 45.55s]  I, I do trust Poke's game recommendations, plays a lot of interesting stuff.
[46.53s -> 48.47s]  So here we go.
[51.04s -> 52.90s]  It looks kind of, it looks kind of good.
[58.54s -> 59.66s]  It looks pretty good.
[60.81s -> 62.17s]  I feel like I'm going to have fun with this for a little while.
[70.86s -> 71.78s]  I thought you retired.
[72.50s -> 80.21s]  I mean, yeah, it doesn't mean I'm not going to, I'm going to stream when I feel
[80.21s -> 84.33s]  like it and make YouTube videos still and work it off brand and check in.
[85.37s -> 85.97s]  Yeah, what's up?
[85.97s -> 86.47s]  I'm here.
[86.89s -> 87.39s]  I'm right here.
[88.82s -> 89.32s]  I'm right here.
[89.70s -> 90.20s]  I'm still here.
[95.78s -> 96.98s]  He's a YouTuber now.
[105.27s -> 106.67s]  I can still hear him.
[106.71s -> 107.01s]  Yeah.
[107.01s -> 108.51s]  Cause I'm live right now.
[108.51s -> 111.43s]  About to play Bouncing Duck Simulator.
[113.24s -> 113.52s]  All right.
[113.56s -> 114.06s]  You guys ready?
[115.78s -> 116.02s]  I don't know.
[116.02s -> 117.46s]  The stream might not, might not be too long.
[117.46s -> 122.67s]  I know Armored Core 6 is the elephant in the room, but we'll see.
[123.11s -> 124.39s]  I did say I wanted to play this too.
[125.79s -> 128.47s]  Maybe I'll try Armored Core 6 on my own.
[128.47s -> 129.63s]  Maybe I'll stream it.
[129.67s -> 130.75s]  Maybe I won't.
[130.95s -> 132.47s]  Maybe we'll play Sorcery.
[132.91s -> 140.91s]  I don't know, but let's go.
[145.18s -> 145.68s]  You guys ready?
[146.30s -> 149.10s]  This song, by the way, has been stuck in my head since I was sitting here.
[151.75s -> 152.15s]  Listen to that.
[152.15s -> 152.79s]  Ready for the song?
[153.43s -> 153.83s]  Not the one.
[153.83s -> 155.51s]  I mean, this one's a, this is a banger too, but hold on.
[155.51s -> 156.01s]  Listen to this one.
[156.39s -> 162.16s]  This one has just been burning in my brain for a full, I want to say 20, 30
[162.16s -> 163.48s]  minutes of hanging out and getting ready.
[165.28s -> 166.12s]  You guys ready to hear this?
[176.19s -> 177.47s]  This is what I've been setting up to.
[181.41s -> 182.89s]  It's a, it, this thing's great.
[182.89s -> 183.45s]  It's great.
[191.46s -> 196.18s]  I can't, I, yeah, this is the game that poke mentioned.
[196.18s -> 196.68s]  Yeah.
[201.94s -> 205.22s]  I got to like DM poke and be like, Hey, I got to give him a review after this.
[206.13s -> 207.37s]  I will give him a full review.
[209.71s -> 214.14s]  That full review is going to be one sentence, but all right.
[214.14s -> 214.62s]  You guys ready?
[214.62s -> 215.12s]  Let's just play.
[215.12s -> 215.62s]  Let's hang out.
[217.94s -> 219.74s]  Make it louder, louder, louder, louder.
[221.61s -> 223.01s]  Um, it's kind of, it's all right.
[223.17s -> 224.05s]  That's good enough right here.
[224.53s -> 225.69s]  I don't know how loud the rest of the game is.
[225.69s -> 226.19s]  So not yet.
[227.39s -> 227.67s]  All right.
