[18.23s -> 19.43s]  I am back.
[24.08s -> 26.88s]  So this is a fast-paced moving shooter.
[28.35s -> 29.75s]  This is not a controller game, right?
[33.02s -> 34.02s]  What about viewfinder?
[35.73s -> 36.33s]  Yeah, that's true.
[42.01s -> 42.81s]  Yeah, that's true.
[44.32s -> 45.22s]  I already got it open though.
[48.20s -> 49.00s]  It's a Guggerda game.
[52.42s -> 54.53s]  I, I like Guggerda games.
[60.38s -> 62.48s]  All right, let me make sure this is good to go.
[64.15s -> 64.85s]  Should be.
[68.84s -> 69.64s]  Capture this.
[76.82s -> 78.72s]  I need to capture a game.
[80.00s -> 81.70s]  I would like to capture a game.
[81.70s -> 82.80s]  That'd be great.
[85.82s -> 87.12s]  How high should my sensitivity be?
[95.39s -> 95.79s]  Dude.
[95.89s -> 102.41s]  All right.
[102.41s -> 102.91s]  It looks good.
[103.11s -> 103.51s]  Let's go.
[107.19s -> 107.79s]  Is there a cutscene?
[108.69s -> 109.09s]  Probably.
[112.36s -> 113.36s]  Did I just skip the cutscene?
[114.98s -> 115.48s]  I didn't mean to.
[115.48s -> 117.28s]  Should have known it was going to end this way.
[119.66s -> 120.46s]  Did I skip the cutscene?
[122.16s -> 124.26s]  God's sick sense of humor or something.
[127.08s -> 129.38s]  People like me don't get second chances.
[130.76s -> 134.53s]  If I did, I swear.
[134.53s -> 136.33s]  I can't believe there are 10 Winnie the Pooh movies.
[136.33s -> 139.53s]  I'm so mad about that because I've never won the million in that game.
[140.10s -> 141.20s]  I'm just never going to be allowed to.
[141.30s -> 142.50s]  I'm just never going to be allowed to get it.
[148.48s -> 150.28s]  I shook my head the whole time I was peeing.
[150.58s -> 151.38s]  There's no way.
[154.37s -> 156.47s]  I swear I was just in the middle of something.
[156.77s -> 158.79s]  Remember a thing though.
[159.39s -> 160.39s]  Where the heck am I?
[160.59s -> 162.79s]  Do I know these people?
[168.75s -> 170.55s]  That's what's going to happen in about five seconds.
[171.23s -> 177.53s]  Neons rejoice for you've arrived in glorious heaven.
[177.63s -> 177.93s]  What?
[178.83s -> 183.03s]  We are the believers agents of God.
[185.40s -> 187.20s]  Okay, can one of the mods change the title?
[188.39s -> 190.09s]  Because that does not make sense for neon white.
[190.39s -> 196.59s]  And you dead mortals are what we refer to as neons sinners.
[196.59s -> 199.29s]  The goddess judged most unfavorably.
[199.39s -> 199.79s]  Okay.
[200.49s -> 203.29s]  Wait, am I meant to be in hell?
[204.25s -> 208.95s]  But fret not for we have granted you an opportunity for salvation in
[208.95s -> 210.45s]  our annual competition.
[210.65s -> 219.47s]  The 10 days keep it during these 10 days you neons will use your
[219.67s -> 225.37s]  villainous talents to annihilate the demons invading our Holy Land.
[226.82s -> 228.72s]  Okay, I think I can handle that.
[228.72s -> 229.32s]  This is for real.
[230.68s -> 231.78s]  Hey, guess what?
[231.88s -> 233.78s]  You died and God thinks you suck.
[234.08s -> 235.28s]  Go kill some crap.
[236.63s -> 236.93s]  That's me.
[236.93s -> 237.33s]  That's me.
[240.06s -> 242.66s]  You will each receive a soul card containing a weapon.
[242.66s -> 243.46s]  I'm that character.
[243.46s -> 244.26s]  I'm that character.
[252.46s -> 253.36s]  Tana soul card.
[254.80s -> 256.90s]  Soul card with a melee slash attack.
[256.90s -> 258.30s]  It cannot be discarded.
[258.80s -> 261.70s]  Attach note reads according to our records fights.
[261.70s -> 265.70s]  Ideal weapon is a totally sick Samurai sword.
[266.10s -> 270.10s]  The most competent Demon Slayer will receive the ultimate reward.
[270.60s -> 270.90s]  That's me.
[270.90s -> 271.30s]  That's me.
[272.30s -> 275.70s]  I'm very own place in what the fuck?
[275.70s -> 276.70s]  No, I want to be that character.
[276.70s -> 277.70s]  That's not like you at all.
[277.70s -> 279.80s]  You don't you don't act like that guy did.
[279.80s -> 280.10s]  That's me.
[280.40s -> 281.10s]  You can be the other one.
[281.10s -> 282.90s]  You can be like this like boss character or something.
[283.40s -> 289.29s]  But first some housekeeping.
[303.45s -> 303.85s]  That's me.
[312.09s -> 319.05s]  Aeon white do not forget you are here in heaven as guests.
[319.95s -> 323.55s]  These masks don't mean an explosive that we won't hesitate to
[323.55s -> 326.55s]  detonate if you step out of line.
[330.26s -> 333.56s]  And I guess I'm going to please refrain from removing them.
[333.76s -> 337.06s]  Unless of course you'd prefer to go out in flames.
[344.08s -> 344.68s]  Yeesh.
[345.18s -> 347.88s]  I guess lowly sinner shouldn't expect red carpet treatment.
[348.48s -> 354.39s]  But heaven kind of seems like a racket and yet forgiveness
[355.09s -> 359.39s]  strangely compelling to me like every inch of my body is calling
[359.39s -> 360.09s]  out for it.
[360.69s -> 363.09s]  It's almost painful voice act along.
[363.09s -> 364.39s]  That's that's what we're doing.
[364.39s -> 365.99s]  Who exactly did I used to be?
[367.86s -> 374.66s]  Now then go forth catch your boat at the glassport and kill
[374.66s -> 378.06s]  every demon you find will be counting.
[378.36s -> 382.33s]  All right, demons soul cards.
[382.33s -> 386.93s]  No sweat memories might be hazy, but I don't need a tutorial
[386.93s -> 387.93s]  on how to kick ass.
[387.93s -> 390.43s]  They are going to do a tutorial, right?
[390.43s -> 392.43s]  Love tutorials.
[394.78s -> 395.78s]  Okay, movement.
[397.38s -> 397.88s]  Sure.
[400.08s -> 410.93s]  W S A D it's W A S D use me way way way too hard.
[411.73s -> 412.43s]  Way too much.
[415.02s -> 419.32s]  I'm going to go with 30 and then how's the FOV should I be
[419.32s -> 421.72s]  a hundred or too much is 95.
[421.72s -> 429.05s]  All right, find out a little too low.
[430.37s -> 431.27s]  Looks really cool.
[432.04s -> 433.24s]  They like point 40.
[437.86s -> 438.96s]  Okay, what am I looking at here?
[442.13s -> 442.83s]  Is there a double jump?
[442.83s -> 443.93s]  There's a glide.
[444.43s -> 445.53s]  Oh, this is very pretty.
[450.35s -> 451.35s]  I have ammo for this.
[452.34s -> 457.67s]  Oh, now what?
[458.57s -> 470.49s]  Oh, you can walk in this jumping to your bunny hopping.
[470.49s -> 471.29s]  Is it be hopping?
[474.19s -> 483.30s]  Not really music's too loud.
[484.72s -> 485.22s]  I got you.
[486.09s -> 486.59s]  I got you.
[498.06s -> 498.56s]  That's all right.
[499.52s -> 500.42s]  I think that's a little bit better.
[513.90s -> 514.60s]  You did it.
[515.28s -> 518.48s]  You got a bronze medal bronze medal unlock insight level
[518.48s -> 521.68s]  one unlock for this level gifts findable.
[527.07s -> 532.93s]  Okay, press restart.
[532.93s -> 534.53s]  Wait, you can just quick restart.
[536.64s -> 537.84s]  Okay, that's a quick restart.
[538.74s -> 540.94s]  There are seven demons.
[547.58s -> 550.58s]  Terrify card fires like a machine gun.
[555.72s -> 557.22s]  Swap cards with Q.
[557.22s -> 559.42s]  I think I want to change that to a different button, but start
[559.42s -> 560.02s]  like this.
[562.98s -> 565.08s]  There's sprint or anything or am I just always sprinting?
[569.00s -> 570.53s]  Oh, what's next?
[572.90s -> 579.75s]  I level to nice TF to aim.
[580.62s -> 581.42s]  I was at an insult.
[590.04s -> 590.74s]  Okay, I get it.
[603.51s -> 604.31s]  That's pretty fast.
