[20.73s -> 32.18s]  Hello, and welcome to the easy bake oven stream. I don't can you hear me? Can you guys hear me?
[32.18s -> 39.13s]  We're just at the beach having a good time. Wait, hold on. I can't see anything. All right
[39.13s -> 44.94s]  So when I was setting this up, am I even fucking live? Hold on. Wait, wait, wait, wait, wait
[44.94s -> 61.52s]  I've got this elaborate setup. Hold on. Am I live? Am I even fucking live? I better be. I am!
[61.52s -> 70.80s]  All right, all right, all right. Wait, wait, wait, wait, wait. How does it sound? All right, go to chat only. Oh fuck
[70.80s -> 77.42s]  I can't go that way. I don't I can't get the chat to work. This is a fucking disaster
[77.42s -> 84.16s]  Disaster I got my tools ready as you see in front of you. I can't fucking believe I'm doing this stream
[84.26s -> 93.74s]  Yeah, I paid for studio time to be in this spot right now to do this stream
[93.74s -> 106.41s]  We'll be here tomorrow to do I still can't see what you guys saying. Is it connected? What the fuck? Hold on get
[111.10s -> 152.06s]  In a few minutes
[152.06s -> 156.38s]  There we go now can see you can see you
[180.46s -> 181.74s]  Scary
[181.74s -> 193.22s]  Your mic sucks. Well, um, I lost I lost the other mic and this is the if you want to know this this truth
[194.14s -> 201.86s]  This is this is the microphone from if you would believe it the lifeline stream. This is the lifeline microphone
[201.86s -> 210.34s]  It's for the PlayStation 2
[210.34s -> 214.18s]  I had a panic moment here like two or three hours ago where I was like
[214.18s -> 219.10s]  What happened to the mic that I actually always use? Where is it do a sexy pose?
[222.60s -> 226.48s]  Alright, that wasn't alright. Listen to me. This is important. Is it how is it crusty?
[226.48s -> 231.63s]  Is it like really crusty? I don't matter is it hold on
[231.63s -> 239.42s]  What if I move it a little bit? Is it how crusty is it move it away from my mouth?
[239.98s -> 250.68s]  How's that? Is that better? Is it a little bit better? Can that can now can you hear me? Do we sound better now?
[250.68s -> 258.54s]  All right. Okay. Excellent. It is actually better
[258.54s -> 263.50s]  Yeah, it's cuz I'm speaking out directly out this way and it looks like I'm on fucking QVC
[263.94s -> 267.86s]  Presenting the easy vague of them, which I'm not by the way, this is I gotta make this really really clear
[267.86s -> 269.92s]  This is really important
[269.92s -> 273.68s]  They have nothing to do with this. I know it's presented in a way like they would
[274.00s -> 278.00s]  They have nothing to do with this. This is not I know it looks like an ad stream, but I swear to God
[278.00s -> 280.74s]  This is not an ad stream
[281.18s -> 286.71s]  This is just something that we came up with this thing hot. Okay, it is I'm like afraid of this
[286.71s -> 287.91s]  Have we talked about that yet?
[287.91s -> 293.63s]  How like I'm actually kind of terrified of this fucking thing because the old easy baked oven had a window here
[293.71s -> 297.84s]  Well, you could see what the fuck was going on now this new one
[297.84s -> 306.98s]  This is like the new age one. They've just wait did I peel the plastic off this? No, that's supposed to stay on there
[306.98s -> 311.34s]  Okay, the old one had a window that you could look through but this one just
[312.04s -> 314.84s]  Fucking it. How are you supposed to know when the food is done?
[314.92s -> 318.48s]  You just stuff it in here and wait like five minutes and then pull it out
[318.60s -> 325.78s]  How are you supposed to know because those of you guys that are like me whenever I use a real oven
[325.78s -> 329.71s]  I have to go up to the oven turn the oven light on and just sit there and watch
[330.15s -> 332.75s]  Because I don't trust anything. I don't trust myself
[332.75s -> 335.23s]  I don't trust the oven there if it's like 400 degrees
[335.23s -> 339.03s]  You have to do a pizza for like 20 minutes that oven light has to be on at all times
[339.03s -> 341.75s]  And I have to fucking is it burnt is it burnt is it no no is it burnt is it burnt?
[341.87s -> 348.54s]  So I can't really do that with this. What a loser. I mean, that's what I do. I don't I don't cook
[348.54s -> 352.78s]  Okay, this is gonna this first cooking stream I've ever done. So which one of these do you want to start with?
[352.90s -> 357.05s]  We have what do we even have now?
[357.05s -> 362.81s]  I'll show them into the camera so you can see how delicious that you want to do pretzel. Hold on
[362.81s -> 370.94s]  Well, we're gonna do them all. Here's the pizza. That's pizza. This has egg wash
[374.13s -> 383.98s]  Adult supervision required how do I I don't I don't see how an eight-year-old can do this eight plus
[383.98s -> 391.34s]  I don't I don't think I I don't think I was able to even leave the house before I was a let alone use an
[391.34s -> 399.48s]  Oven eight plus. All right, so you should I start might as well start with the pizza. I got my shit ready
[400.24s -> 402.72s]  This I got my water bowl just in case I get thirsty
[402.72s -> 407.62s]  I was thinking about doing a joke when this first started where I was gonna like oh I'm thirsty and do a dog
[407.74s -> 412.64s]  Lapping up out of the bowl joke, but then I was like, no, that's fucked up. I don't think I want to do that
[412.64s -> 419.14s]  I was gonna be like, oh nice water, but then I would fucking ruin the day
[419.14s -> 425.86s]  I would just it's just too early for that. It's it's only been like ten minutes. That's why wait
[425.86s -> 432.35s]  This is an adults only stream. Oh shit. That's right
[432.95s -> 435.39s]  Mature audience thing is on why
[436.23s -> 441.80s]  Mature easy bake oven stream that doesn't make any sense. I bought stained
[441.80s -> 445.00s]  I mean, I'm gonna say the F word a few times. All right, let's get this open
[445.00s -> 452.92s]  I'm gonna do the pizza first. Is this ready? So it goes in and then out. All right, so let me
[453.56s -> 461.22s]  Do I need to have like an egg? I didn't bring anything else nice unboxing video for all of you that will care about it
[461.66s -> 471.16s]  Porn stream. Oh, I need an egg. Do I need an egg? I don't think I do
[471.16s -> 477.21s]  Do I actually need a fucking egg? By the way, I'm not gonna eat any of this
[477.21s -> 488.32s]  I just wanted to make that really clear with you guys. I'm not eating any of this easy big garlic garlic herb cheese mix
[488.32s -> 492.99s]  Oh my god, it's in like a bag
[493.51s -> 498.90s]  By the way, they have nothing to do with this stream. Like if I talk about how gross this is
[498.90s -> 504.78s]  I just just my my opinions on the product. Okay, this is my opinions on their product. That's it
[504.78s -> 510.06s]  This is my opinions on the product. Nobody had any fucking note that the Hasbro had nothing to do with this
[510.06s -> 515.05s]  Can you see me? This is my opinions on the product. That's it. Okay, here we go
[515.57s -> 517.57s]  easy bake marinara mix
[519.15s -> 522.28s]  egg wash
[522.28s -> 528.06s]  Pizza dough with pizza dough mix. Okay, I'm gonna I don't think I'm capable of doing this. Where's the instructions?
[528.06s -> 537.65s]  I got my bowls. Hold on. This is all powdered and this is gonna turn into a pizza with that's what I'm understanding
[537.65s -> 545.65s]  I feel like I'm doing a presentation at a county fair with the microphone and that there's the easy bake oven as you can see
[545.65s -> 549.85s]  It's all powdered. So your children are gonna love it. Yeah, and there's like one person in the audience
[550.01s -> 551.41s]  There's like
[551.41s -> 552.49s]  200 empty seats
[552.49s -> 561.38s]  I'm telling you your kids are gonna love this and then they got that's that one guy comes up and buys it and he
[561.70s -> 563.22s]  The guy walked back to his car
[563.22s -> 569.12s]  We could fucking sad because he's got like 60 of these in his trunk and he only got rid of one poor guy
[569.38s -> 574.67s]  Okay cheese pizza
[574.67s -> 583.63s]  Pre-heat the easy bake oven for 20 minutes, which I've done before the stream turned on spray baking pan with cooking spray. I
[584.47s -> 597.92s]  Don't have any cooking spray guys, it's like a lick it can I just like drag my tongue up and down this oh
