[0.31s -> 12.44s]  Hey, welcome back ladies and gentlemen, welcome to Hitman Absolution.
[13.08s -> 21.39s]  Currently evading a helicopter right now. So, uh, hi welcome to the show and welcome. Let's go. Just helicopter BEE!
[22.23s -> 29.94s]  How can this thing see me? Oh my word!
[30.56s -> 32.56s]  This thing is just lighting up the room.
[32.96s -> 37.21s]  Just stop like just jumping around. Just go, go man.
[41.53s -> 43.73s]  Go, just sprint. It's over, go.
[45.61s -> 47.91s]  I'm getting taken hits here.
[48.15s -> 52.82s]  Get me the hell.
[53.67s -> 62.82s]  I didn't do that. That was not the animation I was doing. Is there still a guard up here?
[62.82s -> 79.19s]  I thought I was done. There's more. All right, this guy's right here. Whoa. Hey, hey, hey, hey.
[79.71s -> 89.62s]  Damn it. Oh, damn it. Oh, damn it. Oh, damn it. Oh, damn it. Oh, damn it.
[89.84s -> 107.98s]  Where's the copper? The chopper? The chopper? Where's the chopper? Go, go hide from the helicopter.
[108.50s -> 113.61s]  Two cops, three cops over there, it looks like.
[114.25s -> 119.25s]  Damn, man, how on earth do you expect me to get by?
[119.97s -> 132.90s]  Go! Where's the helicopter? No, it's coming back, coming back.
[144.04s -> 146.04s]  Ex-military.
[150.95s -> 152.95s]  Can't go anywhere right now.
[155.31s -> 162.07s]  Hello, where you going? Where's your route? You don't have a route. Yes, you do. Yes, you do. Both have a route.
[164.89s -> 173.14s]  Oh, get out of here, man. No, I'm gonna have to go back this way.
[173.70s -> 179.74s]  No, I'm not. Perfect. Copper, get out. Get out of here, chopper. You're blowing my moves. Get out of here.
[180.02s -> 190.98s]  Good. The back, it looks like, maybe. What about that guy's all the way down there?
[200.17s -> 202.13s]  I should have made a move.
[202.13s -> 211.51s]  Should have made my move. Should have made my freaking move. It's time to make my move. Here we go.
[212.23s -> 214.71s]  Let's go. Make the move, make the move, make the move, make the move.
[215.19s -> 225.81s]  The helicopter can see me. This guy's gonna make his way back this way, and then I'm home free. That's the door right there.
[226.69s -> 230.50s]  Wait until the car, the chopper is... Oh, shoot.
[231.14s -> 235.18s]  Get out of my way.
[235.18s -> 246.96s]  Damn it. You prick. If I still had that hammer, I would have thrown it by now.
[247.28s -> 251.98s]  I'm going for a run. Right when this guy goes back the other way, I'm going for a run.
[251.98s -> 254.28s]  I'm just running the other way into the, I'm just gonna run.
