[0.31s -> 11.58s]  Hey, what is going on, everybody? Derma here with some live Dermalicious Man gameplay commentary.
[11.58s -> 23.67s]  Tonight I'm gonna be playing with the new items, the new demo items, because, you know, I haven't really had a chance to sit down with them consecutively, so let's go.
[23.67s -> 32.47s]  So I have to try to like figure out how this stuff works. It's been a week or so since I've played Team Fortress 2, but we're gonna give it a go.
[32.47s -> 41.22s]  So, when I first saw the sticky launcher, I was under the impression that I was probably going to like it, because you just shoot stuff and explode.
[41.22s -> 49.59s]  Shoot stuff and explode. Is that spy dead? I have no idea. Does anybody know if that spy is dead? Can I please hit...
[49.59s -> 57.26s]  You wanna go ham on ham? You wanna go ham on ham? It was a big mistake. You never go ham on ham with a demo.
[57.26s -> 64.57s]  Oh, you were a demo, so don't ever mind. You are a spy. If I've ever seen one, you are a goddamn spy.
[64.57s -> 81.67s]  No, he wasn't. He was a regular player. Look at you. Oh, no, don't. We can't lose. No, you fucker. Oh, I saw that happening too.
[81.67s -> 90.54s]  I legit just watched that happen and didn't do anything about it. I just kind of, my brain turned off and he's gonna get to the point here with crits.
[90.54s -> 97.83s]  Somebody do something about that. Oh, good job. Good job, Pyro. You flamed him. Nice job flaming him.
[97.83s -> 106.02s]  Now we lose. That guy charged on it and we lose. Alright, let's just restock the video. Hey, what's going on, everybody?
[106.02s -> 115.40s]  So, you're probably wondering why we're on cold front, and the answer to that is quite simple. It's really, really cold right now in the northeast.
[115.40s -> 123.42s]  There's like a big cold front passing through, and I figured why not show the implication that it's chilly out.
[123.42s -> 128.73s]  And it's like five degrees, and I'm sure a lot of you guys from really cold areas are probably like, wow, that's nothing.
[128.73s -> 136.03s]  You're telling me you're gonna close schools for like five degree weather? I walked to school in like negative 15.
[136.03s -> 142.37s]  What does this guy think he's doing? Oh, I didn't get anybody. I'm gonna wrap around.
[142.37s -> 149.74s]  I still don't understand this item. This item is like, what, a combination of the lock and load? Should I be treating it like a lock and load or what?
[149.74s -> 155.18s]  It's like lock and load in the default, kind of as one. I'm not even entirely sure how I should be playing with this.
[156.18s -> 160.86s]  But all I know is it's good for stuff like that, because it travels really far.
[160.86s -> 166.73s]  And that's what you should be using it for, at least in my opinion, is to launch stuff really far very quickly.
[166.73s -> 175.80s]  Well, let's try to get this capped. Hey, hey, that's two spies. No, it's not. It's just one. Where'd you go? Show yourself.
[175.80s -> 181.98s]  Give me this health. I don't feel like dying right now. Is he dead? All right, he's dead. We're gonna get this.
