[0.31s -> 12.86s]  I can't wait for sports Johnson and the football Barion's Christmas special.
[13.50s -> 17.26s]  You're telling me that that little kid has that like
[17.70s -> 24.15s]  47 year old man voice. I don't buy that at all. All right, let's go. We're gonna score a goal, right?
[24.47s -> 30.18s]  Score a goal. You got it. Do I gotta kick? Do I gotta use my feet?
[30.18s -> 36.01s]  Or can I use my hand? Because I know in soccer or football, I know it's supposed to be say, I know I'm American
[36.01s -> 41.50s]  I'm sorry. In football, you have to use your feet. So maybe I have to use my feet
[41.98s -> 51.00s]  Kick it. Don't think this is working very well. Okay, that was horrible. Don't even tell me okay
[51.00s -> 54.68s]  I was gonna say if I had to go like retrieve that I would have been so pissed about this
[54.86s -> 59.78s]  Kick it. Hold on. I think I figured it out. I think I figured it out
[59.78s -> 68.17s]  I gotta go way back cuz my stretchy ass legs. All right, fuck it. We're gonna use our hands
[68.17s -> 78.75s]  We're gonna play like hockey with my tentacles. Oh, this is way easier now. Okay, you little shit daddy's home
[79.19s -> 84.82s]  Yeah score a goal
[85.54s -> 90.77s]  Yeah, whatever whatever you say Shaggy from the Scooby-Doo crew
[93.21s -> 95.01s]  Zoinks dad
[95.01s -> 100.73s]  Knock down the tower of blocks simple. That was so easy
[101.86s -> 103.74s]  Couldn't have made it any easier
[103.74s -> 117.75s]  Stop. Oh Jesus. Where am I going? Don't just wait. I did it. What did come on activate? Oh my god
[117.75s -> 127.45s]  Oh, I gotta go behind. I should have done this before I broke all the stupid Jenga blocks quit getting your crotch stuck
[130.16s -> 144.49s]  That was so stupid I was standing at like a Buddha statue, did you see that I win your little games are over you little bastard
[144.49s -> 148.70s]  I currently have a table attached to me. Do you want a table too?
[149.70s -> 152.20s]  Cuz I brought it for you son. I love you
[153.66s -> 168.08s]  Where is it? Where's the suit? What the hell on you? Oh the clock it's in the clock
[168.08s -> 173.14s]  Well, why where's her why what's her suit doing in the clock? What kind of fucked-up family is this?
[173.86s -> 183.03s]  Okay, I'm sorry about this but this I have to do this. Hello my baby. Hello my honey. Hello my ragtime girl
[183.47s -> 185.75s]  Send me a kiss my wall, baby
[185.75s -> 192.35s]  My heart's on fire and if you abuse me then you'll lose me and I'll be left alone and tell me about oh and that's right
[193.59s -> 199.87s]  That's broken
[199.87s -> 203.74s]  Monsters, honey. There's no such thing as monsters
[204.50s -> 210.47s]  Sure, I'll check under the bed for you. What's that? Is that a little locked above the doll?
[210.75s -> 213.19s]  We got some new objectives
[213.19s -> 220.25s]  We've got to check the closet for monsters in my daughter's room. Stop the spiders bring Stacy
[220.25s -> 228.45s]  Well, there's a lot of stuff to do. All right, check the closet for monsters. Okay, sounds good. This is the closet, right?
[228.69s -> 236.82s]  There's a gut. There's a good what is in here. It's like that weird sushi chef
[238.70s -> 245.15s]  How did you get in my house, how did this guy get in the house?
[245.95s -> 249.67s]  What a psycho what a psycho?
[250.43s -> 258.30s]  You want a unicorn, honey, did I ever tell you the story of when I became a man
[258.70s -> 264.44s]  Yeah, this is great. This is great. I'm glad I know that my house is
[265.58s -> 272.52s]  Infested with bugs that that's great to know and they're all they're coming out of the vents you spiders
[273.12s -> 277.24s]  I'm just holy shit. There's a million of them. Oh my god
[277.72s -> 283.90s]  Oh my god, I don't know what to do. There's too many. They're gonna like eat my daughter. I
[287.18s -> 291.58s]  I
[297.07s -> 309.41s]  We're going in all right, where is it get down and dirty here get that block out
[309.89s -> 320.12s]  Get this whatever you don't need these. I'll buy you more. I'm a rich person. I'm a rich like octo dad. There it is
[320.56s -> 324.53s]  the beautiful dolphin
[327.91s -> 329.91s]  Yes, I know you're so pretty
[330.67s -> 334.80s]  Dolphin, let's go this way. Tada
[335.60s -> 345.38s]  Yeah, drop that this is a creepy-ass doll. Why would you be sleeping with this? Look at how mean this faces?
[345.58s -> 358.85s]  Yeah, you better off with a little dolphin the octopus. What's going on? What the hell is going on? What happened?
[358.93s -> 367.79s]  What what a game over? What did I do? I don't do shit. All right
[367.79s -> 372.03s]  I gotta be careful because the last time I did this she like I turned into sushi
[372.35s -> 378.11s]  Drop that on the ground get real close, but get really quiet
[378.67s -> 389.09s]  Don't want her to wake up. Thank you. Apparently that means you were a success and there is your dolly
[393.74s -> 395.74s]  Thanks for my dolly
