[0.31s -> 12.63s]  Hey, what is going on, everybody? Jerma here with Smite Sunday.
[12.63s -> 18.63s]  Welcome to the first Smite Sunday on this channel, where I break down a god, or I show you a good gameplay and talk about it potentially,
[18.63s -> 26.63s]  or I do a live commentary. But today is going to be a god breakdown. I'm going to talk about the god Anubis, the god of the dead.
[26.63s -> 33.13s]  And the reason why I'm picking Anubis first, to do sort of a god breakdown and sort of small tutorial video,
[33.13s -> 41.13s]  is because Anubis is one of those characters in this game that he's not a free god. He's not one of the free gods when you install the game.
[41.13s -> 47.13s]  But he's the one that I feel like everybody unlocks first and then plays him completely incorrectly.
[47.13s -> 53.13s]  I was one of these people that when I first downloaded this game, I said, oh my god, Anubis, the god of the dead.
[53.13s -> 57.13s]  Oh my god, I got to get this guy. I got to play with him. He's so cool. And I would just get trashed on.
[57.13s -> 65.13s]  Because Anubis is one of the most damaging gods in the game, but he also dies incredibly easily and incredibly quickly.
[65.13s -> 71.30s]  So I figured because of my early struggles with Anubis, I figured it would be a good one to start with.
[71.30s -> 77.30s]  Anubis, the god of the dead, the Egyptian lord of destruction. That's not even true, but it's Anubis, the god of the dead.
[77.30s -> 86.63s]  So instead of reading off of the wiki page and telling you all the damage numbers, which are very, very easy to find on the internet,
[86.63s -> 92.63s]  I'm just going to tell you what the moves do and when you should be utilizing them and when you should be not using them in different situations.
[92.63s -> 97.63s]  So we're going to talk about his number one, which is Plague of Locus. It's on the one key skill key number one.
[97.63s -> 104.63s]  And upon activation, Anubis will stand still and launch out a bunch of bugs at people in a cone. Kind of disgusting.
[104.63s -> 111.63s]  It lasts for three seconds and ticks for damage every 0.5 seconds. So when should you use this move?
[111.63s -> 117.63s]  Now, I would typically say that this should be part of your non-ultimate combo. I'll get into that in a few minutes.
[117.63s -> 123.63s]  But besides that, this move, although it does a ton of damage, you won't really be using this early game.
[123.63s -> 130.63s]  And here's why. Anubis does not have any escapes. And if you don't know what an escape is in this game, it's a jump.
[130.63s -> 136.63s]  It's a dash. It's really any way to distance yourself from another god or from another player.
[136.63s -> 143.63s]  So trying to utilize a move like this when you have to stand completely still, you're just going to get destroyed by the other lane.
[143.63s -> 148.63s]  Think of a situation like this. You're level one, level two, whatever, like really, very, very early game.
[148.63s -> 154.63s]  You're up in a lane with a buddy of yours. You're in playing Conquest and you have this move. You go up and you use it on a minion wave.
[154.63s -> 159.63s]  And you're standing still. The other team sees you. They know you're Anubis. They know you cannot get away.
[159.63s -> 169.63s]  So they jump on top of you. You got to play it safe. And standing still up at level two in a minion wave when there's two other guys about to kill you is really not playing safe.
[169.63s -> 174.63s]  You need to use your three early game for Anubis, I would say. But we'll get into that when we get to that.
[174.63s -> 180.63s]  Also, that kind of leads me to another point about some beginner tips for you guys. Standing still is bad. It's very bad.
[180.63s -> 186.63s]  If you stand still in this game because everything is a skill shot, well, most of the things in this game are skill shots.
[186.63s -> 192.63s]  There's so many stuns. There's so many slows. There's so many people that will be able to hit you with all of their moves.
[192.63s -> 197.63s]  You don't want to be standing still. So that's another reason why the number one is not the best choice early.
[197.63s -> 205.51s]  So moving on, let's talk about his two, which is arguably his best move. And that move is called Mummify.
