[0.31s -> 14.06s]  Hey, what's going on guys? Jerma here with a Team Fortress 2 gameplay commentary.
[14.06s -> 21.06s]  And Otto, my dog, is right here. I'm not talking to you, I'm talking to other people. What are you doing?
[21.06s -> 25.06s]  Anyways, playing as the Pyro tonight with the Reserve Shooter.
[25.06s -> 30.06s]  And we're going to talk about this weapon, we're going to break it down, we're going to discuss why you should use it,
[30.06s -> 33.06s]  the mentality you should be in when you use it.
[33.06s -> 40.06s]  And before we get right into this here, I'm not using the degreaser, I'm using the default flamethrower.
[40.06s -> 44.06s]  And a lot of people right off the bat are going to go, what the hell are you doing?
[44.06s -> 49.23s]  Put on the degreaser, why are you using the regular flamethrower? My god, I'm going to punch you.
[49.23s -> 56.41s]  Well, here's the reason. When I put on the degreaser in the Reserve Shooter, I don't know, leave me a comment if you get this as well,
[56.41s -> 61.41s]  a lot of times I'll try to compression blast somebody and quick switch over to the Reserve Shooter,
[61.41s -> 66.41s]  and I don't compression blast them at all, I just switch right over to the Reserve Shooter and nothing happens.
[66.41s -> 71.58s]  And I feel like I'm glitching out the game or something where I'm trying to do it too fast and it's in my head.
[71.58s -> 76.58s]  So I figured, okay, I'm going to go to the regular flamethrower, take my time with this,
[76.58s -> 80.58s]  just get them in the air and then switch and try and get one shot off.
[80.58s -> 82.58s]  And it seems to be working quite well for me.
[82.58s -> 89.82s]  And something I was thinking about, especially when I started watching this game playback, is why am I lighting people on fire?
[89.82s -> 97.13s]  Is there really a reason for that? Because for the most part, as you'll see, all of my kills come from one or two shots from the Reserve Shooter.
[97.13s -> 101.30s]  So why am I doing that extra light them on fire, blow them up, light them on fire?
[101.30s -> 104.54s]  Because that's really just wasting another compression blast.
[104.54s -> 112.54s]  Now maybe it would be worth looking into to not use your flamethrower at all, and the only reason you ever use it is to right click.
[112.54s -> 117.54s]  Now that may or may not work that well, but I think I want to give it a try the next time I do this.
[117.54s -> 120.54s]  Although you do lose that dot damage, that's kind of bad.
[120.54s -> 127.54s]  But at the same time, you're not going to be needing to scramble around looking for ammo crates or dispensers as much as you used to.
[127.54s -> 132.54s]  Because you'll probably get two or three extra compression blasts if you don't use the flame.
[132.54s -> 136.98s]  All right, so let's get into the most important part of this video, really.
[136.98s -> 139.98s]  The shotgun versus the Reserve Shooter.
[139.98s -> 144.22s]  So guys, right off the bat, both of these are shotguns.
