[3.45s -> 13.74s]  Hey, what is going on guys? It's Jerma here again with a Team Fortress 2 gameplay commentary.
[13.74s -> 21.74s]  This time I'm playing as the Engineer with the Strange Wrench, the Strange Pistol, and the Strange Frontier.
[21.74s -> 27.74s]  Justice, I am a weird bastard today. Strange everything. Break a lot of records in this gameplay.
[27.74s -> 35.35s]  I actually, let me think, I break my buildings built record, my kills record, and I think that's it.
[35.35s -> 41.35s]  But I break a couple records in this gameplay, and you're probably wondering, Jerma, these records seem like they're kind of low.
[41.35s -> 47.35s]  Well, they are kind of low. You've got to remember, when I play Team Fortress, I go all out balls to the wall.
[47.35s -> 53.35s]  I flip out, I go crazy, I go aggressive. I'm not one of those people that tries to save their own life.
[53.35s -> 59.35s]  I do really well in Team Fortress 2, but usually it's in spurts of two or three lives in a row.
[59.35s -> 67.35s]  My one life records are kind of atrocious, so if you're wondering, oh, Jerma, you only killed like 27 people in this gameplay.
[67.35s -> 73.35s]  I mean, that's really good, but that's not incredible because I'm a freak show and I go and shoot people with a shotgun
[73.35s -> 76.35s]  when I'm supposed to be at a sentry gun 10 feet behind me.
[76.35s -> 82.09s]  So this is going to be a couple of tips right here. I'm going to give you guys some dust ball tips, at least some dust ball tips.
[82.09s -> 88.09s]  Take a look at where the teleporter is right now. You want to stuff that teleporter in the corner as far back as it's going to go
[89.09s -> 94.09s]  because spam coming around this corner, demo men, soldiers launching all their projectiles.
[94.09s -> 97.09s]  There's a chance that it's going to blow anything up over here.
[97.09s -> 101.09s]  So be careful. Make sure the teleporter is all the way back stuffed in the corner.
[101.09s -> 107.26s]  The sentry and the dispenser, you don't really have to worry about too much because obviously you want the sentry gun to be pointed out,
[107.26s -> 114.26s]  shooting at people that are walking past it, and the dispenser needs to be in a place where you can get right to it right next to the sentry.
[114.26s -> 121.26s]  So don't really worry about that. As long as these two are kind of tucked behind the wall here, you should be okay because you're right here to repair it.
[121.26s -> 128.26s]  I know a lot of people like to go inside the building on the first point on defense. That's fine. I just don't like to deal with all the spam.
[128.26s -> 133.26s]  I think it's easier to stand out here and not have to worry about all the explosions and all the chaos
[133.26s -> 139.57s]  because if an Uber comes in, that sentry in the building is probably going to go down. It's just in such close quarters.
[139.57s -> 143.57s]  You come into the building and right next to you, two feet away from you is the sentry, you're going to get rid of it.
[143.57s -> 150.57s]  Spy came in and I just barely got every single thing saved, but they capped the first point, and let me tell you guys right now,
[150.57s -> 157.57s]  don't go down with the ship. I abandon it right here, I run away. Do this if you know you're going to die.
[157.57s -> 163.57s]  Don't glue yourself to the sentry. Just walk away, get back to your teammates, and get some secure position
[163.57s -> 167.57s]  because look at how many revenge crits I have right now. I have 20 revenge crits.
[167.57s -> 172.57s]  If I had stayed there and just kept whacking the sentry to try and stay, no, no, no, I can keep it up, I can do it.
[172.57s -> 177.57s]  You're not going to do it. I got news for you. It's not going to work. So just abandon the sentry.
[177.57s -> 181.74s]  If they already have the first point anyways, what's the point of you sticking around anyway? You know what I mean?
[181.74s -> 183.74s]  Just abandon. Control-alt-delete.
[183.74s -> 189.05s]  So now I just want to briefly talk about one thing to do with the revenge crits and the engineer in general.
[189.05s -> 192.05s]  Guys, especially medics. Medic, listen up. This is important.
[192.05s -> 198.29s]  So an engineer with the revenge crits, I have 19. Up close with one shot, it does 180 damage.
[198.29s -> 204.77s]  Pretty much you can kill any class in the game besides a soldier or a heavy in one shot.
[204.77s -> 210.38s]  Maybe two. See, I didn't land all the pellets right there, but I do right there. 180 damage.
[210.38s -> 213.38s]  That'll kill any class in one hit. It's unbelievable.
[213.38s -> 218.55s]  Heal your engineers. If you see the glowing bright shotgun, put the heal beam on him and walk around with him.
[218.55s -> 224.55s]  You will kill like five people guaranteed if he has more than a few shots. And he can land them.
[224.55s -> 231.86s]  Far too often I'll see engineers standing by their sentry guns with the glowing bright shotgun just doing nothing.
[231.86s -> 235.86s]  And I feel like if you start to heal those people and tell them over mic,
[235.86s -> 237.86s]  Hey, how many revenge crits do you have?
