[0.31s -> 12.96s]  Hey, what is going on everybody Jerma here with a crate unboxing video
[13.20s -> 17.72s]  I've done one of these in the past but not really at this scope
[17.72s -> 21.04s]  I did 40 just about a year ago and now we're gonna do
[21.24s -> 25.64s]  50 and I'm gonna try to do this in less than 15 20 minutes because I don't want to sit here and be like
[25.64s -> 28.64s]  Oh, yeah, I got like a spy watch. Let me like take a look at that though
[28.64s -> 30.64s]  we're gonna blow through this pretty quickly and
[31.64s -> 36.22s]  Most importantly if I unbox an unusual in this video
[36.64s -> 41.76s]  One of you guys is going to get it. So we'll cross that bridge if I actually get there or not
[41.76s -> 48.72s]  But okay, here we go. Not gonna waste any more time. We're gonna go with crate number 41. I'm nervous. Here we go
[48.72s -> 54.70s]  Use with 41. I'm sure blow through it baby uncrating your loot. What is it?
[56.22s -> 65.38s]  Strange diamond back sick. Let's go again. Not gonna waste any time here. No, no, no, no, no, I want to do that one
[65.38s -> 81.74s]  No, do it you idiot. I'm sure three two one strange part give kills adding this strange part to a strange quality
[81.74s -> 88.23s]  But we'll enable to track number of enemies you get with that weapon. Dr. Pepper moving on
[88.23s -> 95.41s]  Well, no, we still want to create number 41 use with so I got 41 42 and all 41
[95.95s -> 101.31s]  255 and then I got 1 2 3 4 5 here at the end. So we'll see how that goes. Yes
[101.31s -> 121.70s]  I'm sure strange part heavies killed. Okay, pretty sick. This one's gonna be the unusual now heavies killed again
[122.88s -> 133.88s]  Heavies killed again. Well, these give me some kind of hat strange pistol
[134.10s -> 138.90s]  You know, actually these are kind of I'm not upset with these I can put these on a lot of different things
[140.98s -> 150.54s]  Use with go we're almost through row number one almost through ten here another strange pistol
[150.54s -> 151.30s]  You gotta be kidding me
[151.30s -> 161.86s]  I'm gonna have enough strange pistol to shove into a bag to send back to Santa Claus that prick three strange
[162.86s -> 174.23s]  Pistols god damn it if I get a strange pistol right here, I'm gonna die. All right strange detonator. That's that that's not bad
[174.23s -> 187.64s]  I'm so like nervous right now. It's like ridiculous. How high my blood pressure is allies extinct allies extinguished allies
[187.90s -> 194.70s]  Extinguished would be a pretty big oxymoron moving on. No, we're still in 43. Yeah 43
[198.25s -> 209.24s]  Posthumous kills that's kills after you die. That only really works on pyro, doesn't it going through the second row?
[209.28s -> 222.10s]  Come on unusual straight short stop. I'm liking it. I'm liking it. I'm liking it
[222.10s -> 233.54s]  What else we got stout Shaco for to refight first had it only took like almost 15 keys to get to one hat. Oh
[238.75s -> 250.31s]  Nice critical kills strange part. That's awesome. That's awesome. I like that a lot create 44 the series of
[250.83s -> 255.81s]  44 critical kills again, I can use that on multiple items
[258.50s -> 267.00s]  Unusual the unusual is gonna be right here. I'm not gonna look Oh strange rocket launcher. That's a beauty
[267.10s -> 282.71s]  That's a real beaut almost through 20 strange rocket launcher again. All right, come on. I want to give an unusual away
[282.71s -> 294.32s]  Let's get it on. Let's get like like a burning team captain right now revenge kills. That's pretty sick. All right
[294.32s -> 306.86s]  What we got in this one? Oh, I got an unusual. I got an unusual
[308.79s -> 310.97s]  Alright, so oh man
[311.37s -> 317.07s]  So what's gonna happen here is in the comment section? I can't believe it
[317.07s -> 321.61s]  I got an unusual hustles Hallmark smoking in the comment section of this video
[321.65s -> 329.66s]  I'm picking a random person and you're getting this hat. That's awesome. I know I'm not even I'm not even halfway through yet. Oh
[330.82s -> 337.22s]  Man sick. I'm so glad that somebody's gonna get that hat. I can't tell you how happy I am right now guys
[337.83s -> 346.73s]  Hopefully I get another one again random person in the comment section is going to get this hat
[346.73s -> 349.39s]  So leave a comment doesn't matter what it is
[349.39s -> 354.01s]  As long as you don't spam because if you if you write more than one comment to try and get this hat
[354.01s -> 358.24s]  I'm gonna be pissed. So don't do that. Let's keep going. Let's go. Let's go
[358.24s -> 373.75s]  Let's go, baby. Another one right after the other strange Persian persuader. That's cool. I'm creating your loot god
