[0.31s -> 14.95s]  Hey, what is going on, everybody? Germa here with a Team Fortress 2 gameplay commentary.
[14.95s -> 23.13s]  And tonight, we're gonna be playing as... I don't know. It could be anything. It could be the Scout, it could be the Engineer, it could be the Spy.
[23.13s -> 27.13s]  You know what? We're gonna have a bet. I do this too often, so we're gonna make this interesting.
[27.13s -> 35.78s]  If I'm not playing as the Scout, the Engineer, or the Spy, then you all just won 20 Germa bucks.
[35.78s -> 38.78s]  Now, you're probably wondering, what can I do with Germa bucks?
[38.78s -> 45.78s]  Well, you can head on over to the Germa store. There's one pretty much on every corner, every Walmart that exists.
[45.78s -> 51.78s]  There's at least two Germa stores. People think it's a little excessive, but I said, I didn't think so.
[51.78s -> 54.78s]  I think there had to be a Germa store on every single corner.
[54.78s -> 58.78s]  And there's like Germa koozies in there. You can put my face on a koozie.
[58.78s -> 63.78s]  There's a mouse pad in there you can get. There's a couple of little... This is not real. I don't even know what I'm doing anymore.
[63.78s -> 69.96s]  Anyways, guys, we're gonna talk about a few things before I go completely crazy in this commentary.
[69.96s -> 74.96s]  First and foremost, this is gonna be casual commentary. As you probably could already tell, this is pretty casual.
[74.96s -> 81.96s]  I got my coffee here. I got my Razor Nostromo here, which I'm not gonna own in a couple of weeks,
[81.96s -> 84.96s]  because one of you guys is going to own this. Let me give you the story.
[84.96s -> 92.70s]  So I bought a Razor Nostromo the other day, well, like a week ago, and I can't get used to it.
[92.70s -> 97.70s]  It's advertised as a keyboard replacement for hardcore gamers.
[97.70s -> 101.70s]  Like if you play games all the time on a keyboard, and you want to get like better comfort,
[101.70s -> 106.70s]  and you want more buttons and more flexibility, it's supposed to replace this whole keyboard.
[106.70s -> 113.70s]  And according to what people have said, once you try it, you never go back, and it's like the best thing ever.
[113.70s -> 121.70s]  But I didn't really have that experience. I've been playing PC games for like almost 20 years with a keyboard and mouse.
[121.70s -> 128.70s]  And this thing was just like putting my hand into a jar of mayonnaise. I could not get used to it.
[128.70s -> 133.70s]  So one of you guys is gonna get it. So I'm gonna ship it to you. We'll exchange addresses.
[133.70s -> 138.70s]  Do not put your address in the comments section. That is a very terrible idea. Don't do that.
[138.70s -> 146.70s]  If you win, I'll pick you. How to be eligible to win is just write a comment.
[146.70s -> 153.70s]  Make sure you write razor dash so I can decipher the comments so I'm not picking random people that don't want it.
[153.70s -> 158.70s]  That's how you can be chosen, and I'll get your address, and I'll ship it to you, and you can check it out for yourself.
[158.70s -> 169.82s]  And now that that's kind of over and done with, I want to talk about TF2 in a sense, because TF2 I think does this very well.
[169.82s -> 176.06s]  And we're gonna bring up another game that just recently released, and I was actually gonna make an entire video on this game,
[176.06s -> 184.06s]  but I scratched it because I did the commentary a few times and I really couldn't get it right because I didn't want to piss anybody off
[184.06s -> 189.06s]  and I didn't want to poke and prod at a company that I actually very highly respect.
[189.06s -> 197.92s]  We'll go into that in a second, but TF2 has a fantastic free-to-play model. I think we can all agree on that.
[197.92s -> 203.92s]  The free-to-play model, the freemium way that you play TF2 is very well done.
[203.92s -> 212.92s]  You don't have to buy anything. You can just play. You can just unlock items with achievements, and you can just play, and you'll get drops.
[212.92s -> 217.92s]  And none of the things that you unlock are better than the originals. Everything has a downside.
[217.92s -> 223.92s]  Nothing is just a pure straight upgrade than anything of the defaults. We can all agree on that. It's a great model.
[223.92s -> 231.42s]  I played Plants vs. Zombies 2, and I put probably five to six hours into Plants vs. Zombies 2,
[231.42s -> 237.91s]  and I gotta say, that game's really, really heavy with the in-app purchases.
[237.91s -> 245.91s]  It really encourages you to spend a ton of money inside that app store, inside Plants vs. Zombies 2.
[245.91s -> 253.41s]  And I was kind of shocked by this because, first of all, Plants vs. Zombies 2 is not even on PC.
[253.41s -> 260.78s]  I couldn't believe that. When I found out that Plants vs. Zombies 2 was not even installable on the PC,
[260.78s -> 267.02s]  it's only on iOS, I kind of had a little freak out. I was like, why would they do that?
[267.02s -> 272.02s]  Why wouldn't you just put it out on everything at the same time? But that's really besides the point.
[272.02s -> 277.38s]  Besides that, which I don't agree with, I didn't really agree with the way that they have purchases in the game.
[277.38s -> 282.38s]  You have to buy some of the old plants that we all used to use and we all used to love.
[282.38s -> 287.62s]  It actually costs money to continue playing through the game. If you get past the first ten levels,
