[0.31s -> 12.82s]  Hey, what is going on everybody? Jerma here with Facecam Fortress 2.
[12.82s -> 17.24s]  Gonna be playing on Harvest, just casually playing some Sniper.
[17.24s -> 20.24s]  Try to shave some people's heads down a size.
[20.24s -> 24.06s]  I love Harvest, you all know that.
[24.06s -> 29.11s]  Where the hell is everybody? Am I gonna have to go like Super Secret Sniper?
[29.11s -> 37.62s]  Let's go. Watch your head. Watch your head. That's a two piece double cheeseburger.
[37.62s -> 44.62s]  I'm actually very, very tired right now. So anytime I play Sniper, if I'm really, really tired, I can do very, very well.
[44.62s -> 48.18s]  I don't know why. I think it's because... Ah, there's a spy.
[48.18s -> 54.18s]  I think it's because I just relax a whole lot more than if I was, you know, stressed out and trying to get headshots and stuff.
[54.18s -> 57.18s]  But I just, you know, just... Who cares? Let's just play. Who cares?
[57.18s -> 67.76s]  Ready? Ready? Come on out. Come on out and meet your maker. Anybody. Any second now. Any... I missed.
[67.76s -> 70.96s]  Right here. Pyro.
[77.09s -> 81.33s]  Are we gonna win? Oh, we did it. Good thing I was here for the whole round. Let's do another one.
[81.33s -> 88.32s]  Try to win Shiv, huh? Let's go in the spawn and just like smash, smash, smash.
[88.32s -> 95.02s]  Uh oh. I ran out of coffee. Trying to keep myself awake and I just completely ran out of coffee.
[95.02s -> 97.02s]  That can't happen for a Jerma video.
[97.02s -> 102.02s]  There has to be a full coffee here at all times, ready to go down my throat, into my stomach, into my brain.
[102.02s -> 104.02s]  And let's do it, baby.
[104.02s -> 109.06s]  A zoo.
[111.06s -> 119.98s]  Oh, heavy. If you didn't have crits, I would have killed you. I still might.
[119.98s -> 123.54s]  Oh, sneaky little snake.
[123.54s -> 130.49s]  And that's how you snipe somebody's skullcap off. You're real. Let's get it again.
[130.49s -> 136.98s]  That is... That's a spy. You are def... You are not a real Pyro. I do... Yeah, I knew it. I could tell. I could tell.
[136.98s -> 141.48s]  Neither are you. You're not real either and I just keep missing these spies.
[141.48s -> 147.94s]  I love that hat, by the way. That Antla hat that that engineer has on right now. I love that thing.
[147.94s -> 150.24s]  That's like one of my favorite hats.
[150.24s -> 154.76s]  What is it? Merasmus's hat, I think is what it is.
[154.76s -> 162.29s]  This is a very bad spot for me to be right now. Very... Oh, damn it.
[162.29s -> 168.61s]  Come on. What's going on, y'all?
[168.61s -> 177.27s]  I'll take it. I'll take it. Oh, no. I'll get this guy. I'll get this guy. I'll get this guy.
[177.27s -> 184.85s]  I backed up right into that. How many people are in this server? There's plenty of people in here.
