[0.31s -> 13.76s]  Hey, what is going on, everybody? Jerma here with a Team Fortress 2 gameplay commentary.
[13.76s -> 19.76s]  And tonight, gonna be playing as the Sniper with the... no, no, that was... I almost said the Machina.
[19.76s -> 25.76s]  With the Heatmaker, the... Darwin's Danger Shield? I god damn it, I just don't remember.
[25.76s -> 29.76s]  I think... I actually think it's the Razorback because there are a lot of spies on the other team.
[29.76s -> 31.76s]  And the Tribalman Shiv.
[31.76s -> 38.94s]  So this video, we're gonna talk about... I started this sort of little mini-series a while ago, and I never really followed up on it.
[38.94s -> 43.94s]  So today, we're gonna follow up on it. It is, what would I add into Team Fortress 2?
[43.94s -> 47.94s]  And we're gonna be covering the Sniper today, because I'm playing as the Sniper.
[47.94s -> 52.94s]  And of course, I wanna get your guys' opinions on all this stuff. Last time, when I talked about the Engineer,
[52.94s -> 56.94s]  we had a really, really good discussion going in the comments section, so do that again.
[56.94s -> 60.94s]  Whatever you'd like to see added for the Sniper, or what you think would be cool for the Sniper.
[60.94s -> 66.94s]  Whether it's a melee secondary or a new primary, please put it in the comments section. Let's keep that going.
[66.94s -> 72.94s]  So, talking about the Sniper, of course, he has his primary, which is the Sniper Rifle.
[72.94s -> 78.94s]  And they didn't really deviate that much, except for the Huntsman. The Huntsman is a huge deviation from his typical primary.
[78.94s -> 81.94s]  And that's kind of where I wanna go here.
[81.94s -> 87.94s]  And it's something that a lot of people have actually talked about, and I think there is a Steam Workshop item of this.
[87.94s -> 92.94s]  And I think it is an incredible idea, and they really should think about implementing this.
[92.94s -> 97.94s]  It is a Boomerang primary. Not a secondary, a Boomerang primary.
[97.94s -> 105.37s]  And after sitting here for about 45 minutes or so, just thinking about it and talking about what I'm gonna do with this commentary to myself,
[105.37s -> 108.37s]  I've come up with this. And let me know what you guys think about this.
[108.37s -> 113.37s]  I'm not sure if this is 100% the best thing that could possibly be for this item, but it's what I think would be cool.
[113.37s -> 119.37s]  So, you cock it back. Let's say you have it in your left hand. You come out of spawn, and there's a Demoman 50 yards in front of you on the enemy team.
[119.37s -> 122.37s]  You cock it back, and there's a bar in the lower right that fills up.
[122.37s -> 129.61s]  Once that thing's filled up, it's gonna go max distance, and maybe it would mini-crit if you filled that bar up all the way.
[129.61s -> 135.61s]  And the bar wouldn't be just one second. I would think it would be something around two or three full seconds before you got a mini-crit.
[135.61s -> 140.61s]  Therefore, making it not just an easy weapon, just a bang, bang, bang, just get mini-crits over and over again with this thing.
[141.61s -> 145.61s]  So picture this. A Demoman is coming at you, and he's spamming his stickies at you.
