[0.31s -> 12.39s]  Hey, what is going on, everybody? Yo, what's up? How you doing? How you been? How's your day?
[12.79s -> 16.31s]  Jerma here with a Team Fortress 2 gameplay commentary.
[16.31s -> 25.28s]  And that was a little different than my usual intro, but tonight I'm gonna be playing as the Scout with the default Scouter Gun, the Mad Milk, and the Candy Cane.
[25.28s -> 30.24s]  And this is gonna be a very casual gameplay commentary, kinda jump about a few things.
[30.72s -> 36.01s]  What happened right here? What happened right here? Look at this. How am I still alive?
[36.89s -> 39.13s]  You got a Demoman, a Soldier, and a Medic.
[39.53s -> 44.85s]  And I have the Candy Cane. I don't know how I made it out of that alive, I really can't tell you.
[44.85s -> 46.85s]  But anyways, I wanna talk about a few things.
[46.85s -> 54.13s]  Very importantly, the gameplay. We're gonna do a little bit of a play-by-play here, as to watch me missing this Medic over and over again.
[54.13s -> 60.50s]  It's Yellow Gibbous Night, apparently, on this server. You're gonna see more than one, two, or even three of those.
[60.50s -> 65.50s]  See the guy right there? What's with the Medics wearing the Yellow Gibbouses? I don't know. Maybe they're friends, I have no idea.
[65.70s -> 70.06s]  But anyways, I wanna say, apologize, very, very quickly, right first off the bat here.
[70.06s -> 74.63s]  I'm sorry that my livestream didn't happen last weekend.
[74.63s -> 82.21s]  And there was a couple reasons why. It was mostly due to the fact that I didn't... My internet's been, like, acting really stupid lately.
[82.21s -> 88.33s]  Uploading videos to YouTube and trying to stream, and really anything to do with online, it's been very slow.
[88.33s -> 94.73s]  So I'm hoping that I have the capabilities to stream for more than a couple hours,
[94.73s -> 98.85s]  because I initially wanted to do almost an entire day of streaming.
[98.85s -> 104.45s]  And if my internet can't handle it, then that's gonna suck really badly if I don't have the capabilities to be able to do it.
[104.45s -> 114.25s]  So what I'm gonna do is I'm gonna plan the stream. Hopefully, if it doesn't happen this weekend, then it's just going to happen next weekend.
[114.25s -> 122.05s]  Because I'm not gonna put it off any further. If my internet's still being stupid, then I'm just gonna have to deal with it if it's still like that in a couple weeks.
[122.09s -> 125.61s]  Maybe I'll drop the settings a little bit. I don't know. I haven't really crossed that bridge yet.
[125.61s -> 131.12s]  But let's get back into talking about the things happening on the screen, because I never do that.
[131.12s -> 137.16s]  I know a lot of you guys want to see more of the kind of gameplay-oriented content.
[137.16s -> 140.68s]  I do a lot of goofy stuff and a lot of weird, crazy, like, live shenanigans.
[140.68s -> 145.56s]  But I am gonna try to get back at least once a month to talk about the gameplay here.
[145.56s -> 150.46s]  So it is on Turbine, as you probably already have guessed. I think I've said that already in the beginning.
[150.46s -> 158.44s]  But we're on Turbine right now, and Turbine for Scout is, like, impossible to play.
[158.44s -> 168.40s]  And the only reason why that is, is as a Scout, your main goal is to, at least on this particular game type, on Capture the Flag, you're supposed to go pick up the flag.
[168.40s -> 173.48s]  There are always at least two or three engineers in that flag room on Turbine, and on two forts.
[173.48s -> 177.98s]  So it's almost impossible to play Scout on maps like this, but I don't know why I'm doing it.
[177.98s -> 183.26s]  I think I just felt like doing it, and I said to myself, I don't care if I don't cap the flag or not.
[183.26s -> 191.15s]  I just want to run around and kill people in mid and try to hang around the hallways here and not go for the flag, if that makes any sense at all.
[191.15s -> 198.23s]  And a lot of you guys watching right now might say, well, Jerma, why didn't you just change to Demoman or a medic or something or a soldier or something?
