[0.31s -> 8.59s]  Minecraft, Minecraft, Minecraft.
[8.59s -> 11.59s]  Oops, that was the wrong one, wasn't it?
[11.59s -> 14.28s]  Hey, what is going on everybody?
[14.28s -> 17.28s]  Jerma here with a new Minecraft series.
[17.28s -> 19.28s]  And a lot of people have been asking me.
[19.28s -> 22.28s]  They said, Jerma, what happened to JermaCraft?
[22.28s -> 24.28s]  I know you ended it at that 10 episodes,
[24.28s -> 26.28s]  but are we gonna get any more Minecraft?
[26.28s -> 28.28s]  And here's the answer.
[28.28s -> 31.58s]  Absolutely, my friend.
[31.58s -> 32.58s]  And on the screen right now,
[32.58s -> 35.58s]  I'll give you a couple of lowdown of the maps and who I'm playing with.
[35.58s -> 38.58s]  So the map is gonna be the Frozen Caverns,
[38.58s -> 40.58s]  is the name of this survival map.
[40.58s -> 43.58s]  And I'm not sure how far I'm gonna go with this.
[43.58s -> 45.58s]  I'm not sure how many episodes.
[45.58s -> 47.58s]  I don't think I'm gonna have like 55 million episodes.
[47.58s -> 50.58s]  But I'm gonna get enough where you guys can see some of the funny things,
[50.58s -> 53.58s]  some of the highlights, some of the interesting things that happened.
[53.58s -> 55.58s]  And the people in this video, this is with Lepter1,
[55.58s -> 58.58s]  who a lot of you know of, and Italics.
[58.58s -> 61.58s]  And both of those links, of course, will be in the description.
[61.58s -> 62.58s]  Go check them out.
[62.58s -> 65.58s]  Two cool dudes in my personal opinion.
[65.58s -> 67.58s]  So what do you say we get this started?
[67.58s -> 69.58s]  And before I go any further, I forgot to mention,
[69.58s -> 74.58s]  both of these two guys, they're gonna be doing videos of this series on their own channels.
[74.58s -> 76.58s]  So if you want to see it from somebody else's perspective
[76.58s -> 79.58s]  or from a different viewpoint, then definitely go check them out.
[79.58s -> 80.89s]  So let's get this started now.
[80.89s -> 82.89s]  Everybody, I hope you enjoy the video.
[82.89s -> 83.89s]  And I will see you all soon.
[83.89s -> 85.89s]  Take care, everybody.
[85.89s -> 86.89s]  Zombie up here.
[86.89s -> 88.38s]  Oh, don't worry, take care.
[88.38s -> 91.65s]  The zombie's got nothing.
[91.65s -> 94.23s]  Oh, God.
[94.23s -> 95.23s]  Oh, God.
[95.23s -> 97.23s]  I just said something.
[97.23s -> 99.23s]  Something just exploded.
[99.23s -> 102.30s]  That would be me.
[102.30s -> 104.30s]  This guy is like whooping my butt.
[104.30s -> 109.18s]  It's okay, I'm just collecting a ton of snowballs
[109.18s -> 112.18s]  from which we will make a ton.
[112.18s -> 114.18s]  And I mean a ton.
[114.18s -> 115.18s]  We've got a tag team this guy.
[115.18s -> 116.18s]  There we go.
[116.18s -> 119.18s]  Okay, we were just like hammering on that guy and he didn't die.
[119.18s -> 120.55s]  All right, what do we have in here?
[120.55s -> 123.98s]  We have some leather and we have some fishing rods.
[123.98s -> 124.98s]  Fishing rods.
[124.98s -> 125.98s]  I will fish.
[125.98s -> 126.98s]  We can make food.
[126.98s -> 127.98s]  Yeah.
[127.98s -> 128.98s]  We can make armor with that, can't we?
[128.98s -> 129.98s]  We have an Enderman up there.
[129.98s -> 130.98s]  Yes.
[130.98s -> 132.86s]  All right.
[132.86s -> 134.86s]  I dare you to throw a snowball at the Enderman.
[134.86s -> 135.86s]  Dare you.
[139.74s -> 140.74s]  What?
[140.74s -> 141.74s]  He's gone.
[141.74s -> 142.74s]  I don't even know where he went.
[142.74s -> 143.74s]  Hold on.
[143.74s -> 145.74s]  Oh, there he is.
[145.74s -> 149.18s]  Oh, this is not going to end well.
[149.18s -> 152.18s]  You can't double dog dare me.
[152.18s -> 154.80s]  I'll always do it.
[154.80s -> 155.80s]  No, I'm running.
[155.80s -> 158.80s]  Lepter is using up the fishing rod on the Enderman.
[158.80s -> 163.51s]  Get out of here, you tall bastard.
[163.51s -> 168.07s]  Jerma, you can jump and do crit hits.
[168.07s -> 169.07s]  Yeah.
[169.07s -> 170.07s]  My food.
[170.07s -> 173.07s]  All right, so that was good.
[173.07s -> 176.07s]  I've already got six rotten flesh.
[176.07s -> 179.07s]  All right, so before taking on hard areas, prepare yourself.
[179.07s -> 180.07s]  That's over here.
[180.07s -> 181.07s]  Oh, skeleton.
[181.07s -> 183.07s]  Watch out, there's a skeleton on your left.
[183.07s -> 186.21s]  Jump and crit this guy.
[189.37s -> 193.99s]  Man, we are not even going to make it out of the starting.
[193.99s -> 194.99s]  He is freaking out.
[194.99s -> 195.99s]  OK.
[195.99s -> 198.99s]  All right, so is there anything else that we need to know about this place?
[198.99s -> 202.38s]  Maybe underneath.
[202.38s -> 204.38s]  I'm going ice fishing, baby.
[204.38s -> 205.38s]  Should we go down?
[205.38s -> 208.38s]  But the point is we're trying to find records, right?
[208.38s -> 213.38s]  Right, but we also have to find supplies to live off of.
[213.38s -> 217.38s]  Well, I'm sinking like a goddamn rock.
[217.38s -> 218.38s]  Oh, God.
