[0.31s -> 9.70s]  Let's ditch him.
[9.70s -> 15.30s]  Those are some big tires you've got there, Jerma.
[16.30s -> 21.44s]  They're better to see you with. They're better to eat you with, my dear.
[24.44s -> 27.44s]  Yep, those are all solid objects. Okay, that is two.
[27.44s -> 31.44s]  Alright, this is where I want to go. I want to get on this because I'm going to turn around.
[31.44s -> 33.44s]  We're going to get some big air.
[36.54s -> 42.54s]  Alright, what's the proper way to change weapons while inside of a vehicle?
[42.54s -> 45.54s]  Mouse... No, that's not going to do it.
[45.54s -> 48.54s]  It's mouse scroll outside of the vehicle.
[48.54s -> 50.54s]  Not sure what it is inside, though.
[50.54s -> 52.54s]  Whoa, that cop was flying.
[52.54s -> 56.54s]  Inside the vehicle it is change radio stations.
[56.54s -> 58.54s]  Ready for some dukes of hazards?
[58.54s -> 60.54s]  Let's try and catch the mirror with this little leap.
[60.54s -> 62.54s]  Oh, we didn't get in the air.
[62.54s -> 64.54s]  That was the leap back there.
[64.54s -> 67.54s]  I thought it was the leap, but I guess not.
[67.54s -> 69.71s]  I guess not, huh?
[70.71s -> 73.71s]  Switch to the driver's seat.
[73.71s -> 77.07s]  Okay, maybe not.
[80.46s -> 86.78s]  I probably would have been better off just sitting in the vehicle.
[103.43s -> 107.43s]  I just spawned and you like flew by the screen.
[109.80s -> 112.80s]  Why did I spawn at the perfect time? That was awesome.
[112.80s -> 115.55s]  Oh, how surreal.
[115.55s -> 117.98s]  I flew you out of the car.
[123.90s -> 135.47s]  I picked up something that looked remotely like statue charges,
[135.47s -> 138.47s]  and I clicked the button right as you ran into me.
[138.47s -> 144.47s]  So, I can only assume that I successfully planted C4 on your vehicle.
[144.47s -> 147.47s]  You smacked your face on the car.
[149.61s -> 152.36s]  One of us is going to have a bad day.
[152.36s -> 156.33s]  A real bad day.
[156.33s -> 158.63s]  Where's Boo? I see him coming, but I don't see him.
[158.63s -> 160.63s]  Boo, where you at?
[160.63s -> 162.63s]  Oh my, police.
[162.63s -> 164.63s]  Turn around, Boo.
