[0.31s -> 15.02s]  Hey, what is going on, everybody? Jerma here with chapter 3 of Nightmare House 2.
[15.02s -> 21.84s]  Before we get started, crack open a fresh Dr. Pepper. Cherry Dr. Pepper. I actually haven't had this.
[21.84s -> 31.54s]  So let's see how good this is. Ah, smooth cherry Dr. Pepper. It's been too long, doctor.
[31.54s -> 40.67s]  Alright, so let's just go here. There's my bed. Pretty disheveled. Looks like a rotten corpse was lying on that.
[40.67s -> 51.94s]  Chair, get out of my face. Nothing in... No, let's just go. Time to go. Hello!
[51.94s -> 57.18s]  I remember that guy. I remember that guy from the end of the last chapter. God!
[57.18s -> 63.41s]  Don't want to have to deal with that guy.
[69.59s -> 75.59s]  Okay, so if I go into the maintenance room, I'm going to light on fire. Sweet!
[75.59s -> 83.50s]  Anything in here? Where's my flashlight? My flashlight wasn't even turned on.
[83.50s -> 89.77s]  Um, I don't think there's anything in here. I'm taking the gun out, though, because that thing...
[89.77s -> 96.06s]  Oh, I hate this chapter already, and I haven't even started playing.
[96.06s -> 106.46s]  Oh, can I open this door? No, but... Can I break this?
[106.46s -> 111.22s]  So what is this for? Well, how come I can... Oh, I can blow a hole in the wall, can't I?
[111.22s -> 116.86s]  Oh, what? No, I can't. Oh, yeah, I can. Cool.
[116.86s -> 129.87s]  So what the hell was in here? Oh, storage. Okay. I didn't mean to shoot the gun.
[129.87s -> 138.50s]  Ooh, a revolver. No, I didn't die. That's not that long.
[138.50s -> 152.70s]  Yeah, the little girl. She's a freak. Yeah, easier said than done.
[152.70s -> 164.35s]  By the way, where is this guy? How come he's not, like, chased by monsters?
[164.35s -> 171.17s]  Okay. Will do. So that guy's just not being attacked or anything. He's just kind of...
[171.17s -> 173.17s]  I thought the fire was a monster.
[173.17s -> 179.65s]  Ah! What the hell's going on? Oh, it was the fire again!
[179.65s -> 182.95s]  Man, I'm losing my mind here, guys.
[184.19s -> 191.18s]  Oh, that's nothing. Yeah. Nice, nice. Why? Why? Why? Why is it saying that?
[191.18s -> 195.58s]  Why does it keep saying that? Don't look behind you. Don't look behind you.
[195.58s -> 202.68s]  Dude, there's no vent here. Unless I can, like, blow this up.
[202.68s -> 212.10s]  Oh, okay, here it is. I would call this the first washing machine and not the third washing machine.
[212.10s -> 225.08s]  Another vent. Fantastic. Where's my gun? Ah! Is this thing you wear in a bikini?
[226.08s -> 228.08s]  Oh, no, that's just, like, charred flesh.
[228.08s -> 233.22s]  I'm just going to pre... Oh, I lost all my bullets in my revolver. Good job, Jerma.
[233.22s -> 251.24s]  That wasn't totally stupid. What? Hi. Oh, no! I hate these vents so much. Come on!
[251.24s -> 258.00s]  All right, home free. Home free. Ooh. Okay, we're good.
[258.00s -> 263.07s]  God, those things are so nerve-wracking. Charge the flashlight.
[265.78s -> 270.98s]  Can I go in? Okay. Somebody's in the bathroom. Nope.
[270.98s -> 280.21s]  Anything of interest in here? I don't think so. Nope. Let's go.
[280.21s -> 288.57s]  Flashlight. Thank you. This looks very bad. No bullets. Bullets. Bullets. Good.
[288.57s -> 295.22s]  What just laughed at me? That just sounded like somebody went...
