[1.66s -> 3.66s]  Just because.
[3.66s -> 9.16s]  Alright, so now you're in the party? Okay.
[9.16s -> 15.11s]  We're getting playstationed. Yeah, that doesn't matter.
[15.11s -> 17.99s]  Alright, so, join the party.
[17.99s -> 20.30s]  Here we are. Okay.
[20.30s -> 23.86s]  Now play together.
[23.86s -> 25.86s]  Play together is a feature that makes it easy to play multiple games
[25.86s -> 29.90s]  with a place to play to power up the AI. Okay.
[29.90s -> 32.46s]  How do you want to play together? Join game session.
[32.46s -> 40.70s]  What's the method?
[40.70s -> 43.64s]  And then join friends game.
[43.64s -> 47.54s]  Oh, okay, okay. That would make sense.
[47.54s -> 50.30s]  Alright, so I'm just going to look into
[50.30s -> 52.30s]  free roam and just try to jump into your game.
[52.30s -> 56.52s]  That would make sense, wouldn't it?
[56.52s -> 60.36s]  Oh, okay.
[60.36s -> 62.36s]  So while we're doing this, have you played through all the single player yet in this?
[62.36s -> 64.36s]  Uh, I have not.
[64.36s -> 66.36s]  I'm like 40% of the way through.
[66.36s -> 69.24s]  Okay, so you're on like chapter 3 then?
[69.24s -> 71.24s]  Yeah.
[71.24s -> 73.24s]  I just barely am like into chapter 3, I think.
[73.24s -> 77.34s]  Yeah, there's a lot left.
[77.34s -> 79.34s]  I mean, there's a hot air balloon.
[79.34s -> 81.77s]  Really? There's a hot air balloon?
[81.77s -> 83.77s]  No, that was you.
[83.77s -> 86.14s]  Ooh.
[86.14s -> 88.14s]  There's an Elvis impersonator. I love those things.
[88.14s -> 90.14s]  That's some of my favorite means of travel.
[90.14s -> 92.50s]  I'm glad you're bringing it up.
[92.50s -> 94.87s]  Yeah, I want to know all about that in a couple minutes.
[94.87s -> 96.87s]  But before we, um,
[96.87s -> 98.87s]  before we do that, I want to also say there's a game called Rust
[98.87s -> 100.87s]  that just implemented hot air balloons.
[100.87s -> 102.87s]  Oh my god, are you serious?
[102.87s -> 104.87s]  Yeah, swear to god.
[104.87s -> 106.87s]  Alright, let me, uh, give me one second.
[106.87s -> 109.94s]  I have to say hello to somebody.
[109.94s -> 111.94s]  Somebody just knocked on my door.
[111.94s -> 113.94s]  I gotta say hello to them. Hold on.
[113.94s -> 115.94s]  Hey, it's you guys! It's my stream!
[115.94s -> 117.94s]  My stream!
[117.94s -> 119.94s]  I'm half expecting this to be
[119.94s -> 121.94s]  It's not.
[121.94s -> 123.94s]  Uh, oh.
[123.94s -> 126.25s]  I just want to say hello.
[126.25s -> 128.25s]  Playing Red Dead Online with Vinnie.
[128.25s -> 132.02s]  In case you didn't know, just want to make sure you're aware of that.
[132.02s -> 134.02s]  Hey, how you doing?
[134.02s -> 136.71s]  It's me, Elvis.
[136.71s -> 138.71s]  Vinnie Vinesauce.
[138.71s -> 140.71s]  That was fucking really good.
[140.71s -> 142.71s]  That was really,
[142.71s -> 144.71s]  that was really good.
[144.71s -> 146.71s]  I had to come back and say that.
[146.71s -> 148.71s]  I'm half expecting this to be a skit.
[148.71s -> 150.71s]  I had to fucking clown here.
[150.71s -> 152.71s]  I just sent him home.
[152.71s -> 155.08s]  Hey, that's Vinnie!
[155.08s -> 157.90s]  Wait, is that Vinnie?
