[0.38s -> 3.82s]  This is your new high-tech suit. Please put on the mask.
[31.54s -> 37.16s]  School is fucking fine. Why is everybody always asking about school? Like, oh, how's school? It's it's it's fine
[37.16s -> 40.54s]  Like what do you mean? I go home and do my homework and I get fucking decent grades
[40.54s -> 43.34s]  I got a pluses when I was in school, but that's besides the point
[43.62s -> 46.38s]  I've turned into your estranged family member
[46.38s -> 52.50s]  And yes, this is the three out of four videos on this main channel have been me talking about the main channel
[52.50s -> 56.02s]  So before we do anything before I talk about a single thing that I want to talk about
[56.02s -> 59.22s]  I mean, we're gonna put another video in here that we're gonna put a funny
[59.22s -> 63.34s]  I'm gonna make a funny video and it's gonna go in this video. So there's two videos in this video
[63.34s -> 68.58s]  So watch the first video first funny fucking video coming up here. You're gonna be laughing about it. I'm tired. Trust me
[76.86s -> 86.40s]  So main channel here we are where one year of just about one year anniversary for my absentee from my main channel and
[87.16s -> 91.92s]  Let's talk about it cuz yeah, you guys have a you guys do have a lot of points here
[91.96s -> 97.40s]  If you're absent from school for a year you get an F you just get an F
[97.40s -> 102.74s]  So imagine like you guys are the teachers and I'm like just stumbling in with a bunch of notebooks
[102.92s -> 106.16s]  One month before the school year is over and I'm like just wait a second
[106.16s -> 112.40s]  I can take all the tests right now and I'll pass them and you're like, okay, sure you can I'm gonna pass them
[112.40s -> 117.36s]  I'm gonna get fucking at least a d-minus on all these exams that you guys are giving me right now all your concerns
[117.44s -> 119.76s]  So concern number one main channel what happened?
[120.40s -> 126.48s]  Well, a lot of things happened there are four projects that are currently being worked on two of them are already written
[126.48s -> 131.96s]  They're the whole thing's written. We just have to secure some warehouse space and then we're gonna get shooting
[131.96s -> 134.44s]  I would have liked to have started shooting already
[134.52s -> 138.46s]  but there was a pretty significant hold up and without giving any details or
[138.74s -> 143.74s]  Saying anything is this is a couple of companies were involved. There was potential for
[144.91s -> 149.91s]  Me to get a very large production budget for one of these projects
[150.11s -> 156.98s]  And I kind of had to wait to see how that was gonna play out and it fell through so that's not
[156.98s -> 158.98s]  That's that I don't think that's happening anymore
[159.18s -> 162.74s]  But there was some potential with that was going to be the case
[163.02s -> 170.08s]  Now just like the last one got to get the team together strap on the boots pull up the pants and get to work
[170.12s -> 176.28s]  That dishes that was kind of a little at least the last couple of months was stopping our flow of quote
[176.60s -> 178.60s]  Production on at least two of these projects
[178.68s -> 185.14s]  So once we actually get going not against the idea of putting out production stills or showing some sets
[185.46s -> 186.78s]  But I got to be careful
[186.78s -> 191.50s]  I don't really want to give away projects don't want to tell you guys what's gonna happen in the videos
[191.70s -> 194.58s]  Because I like having to like the little bit of magic there
[194.58s -> 197.38s]  I like how you guys not knowing what's gonna happen or what you're gonna see
[197.54s -> 202.62s]  So doing a bunch of behind-the-scenes videos and production stills before you see a video
[203.06s -> 206.50s]  You kind of it kind of like blows it and you get to see
[206.62s -> 208.98s]  Everything kind of before you get to see it in the first place
[209.46s -> 217.26s]  And we're gonna get serious now about something that is hard to talk about and we mean about my like production
[217.54s -> 220.30s]  Friends and people we've sat down we talked about this a bunch of times
[220.46s -> 224.31s]  But I've never talked about it with you guys and it's money
[224.77s -> 230.37s]  And it's not a subject that I really love to talk about especially with viewers because
